"ITAG"	"logFC"	"logCPM"	"PValue"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g013180.1.1"	-2.04144523313336	8.08736446294956	0.000747107955220134	"NADH-ubiquinone oxidoreductase chain 4 (AHRD V1 ***- Q5M9Z8_TOBAC); contains Interpro domain(s)  IPR001750  NADH:ubiquinone/plastoquinone oxidoreductase "	"ATMG00580"	"NAD4"	"NADH dehydrogenase subunit 4"	92.91	141	7e-70	259	79.0960452
"Solyc00g014830.2.1"	-1.39026909912914	8.11283524993	0.0197834341436881	"NADH-quinone oxidoreductase subunit D (AHRD V1 ***- C4YU74_9RICK); contains Interpro domain(s)  IPR010219  NADH dehydrogenase I, D subunit "	"ATMG00510"	"NAD7"	"NADH dehydrogenase subunit 7"	94.67	394	0	778	99.49367089
"Solyc00g024150.2.1"	-1.53278051314933	5.62857984815625	0.016767282834766	"Pterin-4-alpha-carbinolamine dehydratase (AHRD V1 *-** B6T9C1_MAIZE); contains Interpro domain(s)  IPR001533  Transcriptional coactivator/pterin dehydratase "	"AT5G51110"	NA	"similar to dehydratase family [Arabidopsis thaliana] (TAIR:AT1G29810.1); similar to expressed protein [Oryza sativa (japonica cultivar-group)] (GB:ABF93463.1); contains InterPro domain Transcriptional coactivator/pterin dehydratase; (InterPro:IPR001533)"	56.31	222	2e-56	215	98.1042654
"Solyc00g026160.2.1"	-3.89744843687305	3.53902895890307	0.0001092635632182	"Ferric reductase oxidase (AHRD V1 **** D6RVS5_HORVU); contains Interpro domain(s)  IPR013121  Ferric reductase, NAD binding "	"AT5G23980"	"ATFRO4"	"Encodes a ferric chelate reductase that is expressed at low levels in roots,shoots and cotyledons, but not flowers. Its transcription is regulated by FIT1."	58.46	455	3e-140	495	99.5505618
"Solyc00g187050.2.1"	-9.09304283874635	6.6141509694995	2.80113628540544e-20	"Leucyl aminopeptidase (AHRD V1 ***- D7DWG6_NOSA0); contains Interpro domain(s)  IPR011356  Peptidase M17, leucyl aminopeptidase "	"AT4G30920"	NA	"cytosol aminopeptidase family protein; Identical to Leucine aminopeptidase 3, chloroplast precursor (EC 3.4.11.1) (LAP 3) (Leucyl aminopeptidase 3) (Proline aminopeptidase 3) (EC 3.4.11.5) (Prolyl aminopeptidase 3) [Arabidopsis Thaliana] (GB:Q944P7;GB:O65557); similar to cytosol aminopeptidase [Arabidopsis thaliana] (TAIR:AT2G24200.1); similar to cytosol aminopeptidase family protein [Arabidopsis thaliana] (TAIR:AT4G30910.1); similar to Leucine aminopeptidase 2, chloroplast precursor (LAP 2) (Leucyl aminopeptidase 2) (Proline aminopeptidase 2) (Prolyl aminopeptidase 2) (GB:Q42876); similar to neutral leucine aminopeptidase preprotein; preLAP-N; metallo-exopeptidase; leucyl aminopeptidase; LAP [Lycopersicon esculentum] (GB:AAO15916.1); similar to Cytosol aminopeptidase family, catalytic domain, putative [Medicago truncatula] (GB:ABE88725.1); contains InterPro domain Peptidase M17, leucyl aminopeptidase, N-terminal; (InterPro:IPR008283); contains InterPro domain Peptidase M17, leucyl aminopeptidase, C-terminal; (InterPro:IPR000819)"	66.39	488	4e-177	617	95.08840864
"Solyc00g277510.1.1"	-2.45347430794912	5.72902293945524	0.000117407592961366	"Photosystem Q(B) protein (AHRD V1 ***- Q95B48_PRUPE); contains Interpro domain(s)  IPR000484  Photosynthetic reaction centre, L/M "	"ATCG00020"	"PSBA"	"Encodes chlorophyll binding protein D1, a part of the photosystem II reaction center core"	91.04	67	4e-23	102	97.01492537
"Solyc00g282510.1.1"	-3.16802026815546	2.74695690904398	0.00328371966455251	"Phenylalanine ammonia-lyase (AHRD V1 ***- B5LAW0_CAPAN); contains Interpro domain(s)  IPR005922  Phenylalanine ammonia-lyase "	"AT2G37040"	"ATPAL1"	"encodes a protein similar to phenylalanine ammonia-lyase"	80.55	581	0	1013	97.97297297
"Solyc01g005120.2.1"	1.3477448199588	4.21570077287446	0.0466838344832071	"Xyloglucan endotransglucosylase/hydrolase 13 (AHRD V1 **** C0IRH2_ACTDE); contains Interpro domain(s)  IPR016455  Xyloglucan endotransglucosylase/hydrolase "	"AT1G14720"	"ATXTH28"	"member of Glycoside Hydrolase Family 16"	68.54	302	1e-127	452	89.28571429
"Solyc01g005270.2.1"	-1.8496012499559	5.88614543527606	0.0032862950853539	"SEC14 cytosolic factor family protein (AHRD V1 **-- D7M8H6_ARALY); contains Interpro domain(s)  IPR001251  Cellular retinaldehyde-binding/triple function, C-terminal "	"AT1G14820"	NA	"SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein; similar to SEC14 cytosolic factor, putative / phosphoglyceride transfer protein, putative [Arabidopsis thaliana] (TAIR:AT1G01630.1); similar to Cellular retinaldehyde binding/alpha-tocopherol transport; Cellular retinaldehyde-binding/triple function, N-terminal [Medicago truncatula] (GB:ABE80207.1); contains InterPro domain Phosphatidylinositol transfer protein-like, N-terminal; (InterPro:IPR011074); contains InterPro domain Cellular retinaldehyde-binding/triple function, C-terminal; (InterPro:IPR001251)"	66.24	237	1e-93	339	97.51037344
"Solyc01g005280.2.1"	1.86449402713237	3.42801953014932	0.0277892277589059	"SEC14 cytosolic factor (AHRD V1 **-- B2W8N2_PYRTR); contains Interpro domain(s)  IPR001251  Cellular retinaldehyde-binding/triple function, C-terminal "	"AT1G14820"	NA	"SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein; similar to SEC14 cytosolic factor, putative / phosphoglyceride transfer protein, putative [Arabidopsis thaliana] (TAIR:AT1G01630.1); similar to Cellular retinaldehyde binding/alpha-tocopherol transport; Cellular retinaldehyde-binding/triple function, N-terminal [Medicago truncatula] (GB:ABE80207.1); contains InterPro domain Phosphatidylinositol transfer protein-like, N-terminal; (InterPro:IPR011074); contains InterPro domain Cellular retinaldehyde-binding/triple function, C-terminal; (InterPro:IPR001251)"	63.18	239	4e-91	330	98.34024896
