"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g011150.1.1"	2.58577936853362	6.19186248291055	0.000366926488852667	0.0279989031042563	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011160.1.1"	3.428633495584	7.17897236477975	2.44671521446117e-05	0.00467672136707007	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g105750.1.1"	6.62261382485823	5.93643265007845	1.11955254259035e-05	0.00274626238697412	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g323130.2.1"	2.97451780955104	4.41575231329285	0.000302793668116545	0.024621642029499	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g005000.2.1"	3.3454473519502	3.52184890545835	0.000715298534239883	0.0438662632739004	"Glutamate decarboxylase (AHRD V1 ***- Q1I1D8_CITSI); contains Interpro domain(s)  IPR010107  Glutamate decarboxylase "	"AT2G02010"	"GAD4"	"glutamate decarboxylase, putative; similar to GAD (Glutamate decarboxylase 1), calmodulin binding [Arabidopsis thaliana] (TAIR:AT5G17330.1); similar to glutamate decarboxylase, putative [Arabidopsis thaliana] (TAIR:AT3G17760.1); similar to glutamate decarboxylase, putative [Arabidopsis thaliana] (TAIR:AT2G02000.1); similar to glutamate decarboxylase 4b [Brassica juncea] (GB:AAS79671.1); similar to glutamate decarboxylase 4a [Brassica juncea] (GB:AAS79670.1); similar to glutamate decarboxylase isozyme 1 [Nicotiana tabacum] (GB:AAC24195.1); contains InterPro domain Glutamate decarboxylase; (InterPro:IPR010107); contains InterPro domain Pyridoxal-dependent decarboxylase; (InterPro:IPR002129)"	82.42	495	0	816	99.58762887
"Solyc01g005790.1.1"	3.45170469558213	4.49000643354191	7.60699288333027e-05	0.00948811197091991	"Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7KKP4_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat "	"AT1G10330"	NA	"pentatricopeptide (PPR) repeat-containing protein; similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT5G66520.1); similar to Pentatricopeptide repeat [Medicago truncatula] (GB:ABE89006.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990)"	50.22	458	3e-124	442	99.34640523
"Solyc01g005850.1.1"	3.90730523670692	5.8489776214312	3.14283894461032e-05	0.00531681650422697	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g009000.2.1"	3.47814155937311	5.76951851372464	8.43833376695886e-06	0.00221777493539465	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g009390.2.1"	4.33179941223811	6.97676797281948	5.94962889858556e-08	5.47291488308639e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g016330.1.1"	3.13163691330187	4.099708959582	0.000319959411705682	0.0254549330891039	NA	NA	NA	NA	NA	NA	NA	NA	NA
