"ITAG"	"logFC"	"logCPM"	"PValue"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g007090.2.1"	1.55937216632311	4.1355289518432	0.0229457330650226	"Multi-pass transmembrane protein (AHRD V1 *--- Q5CMR0_CRYHO); contains Interpro domain(s)  IPR019328  GPI-GlcNAc transferase complex, PIG-H component "	"AT4G35530"	NA	"phosphatidylinositolglycan-related; similar to Os05g0165400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001054745.1); similar to Os01g0166400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001042115.1); contains domain gb def: Hypothetical protein (PTHR15231:SF1); contains domain FAMILY NOT NAMED (PTHR15231)"	55.68	185	4e-51	197	96.75675676
"Solyc00g013180.1.1"	-2.24625822083857	8.23943467842099	0.000684264113759398	"NADH-ubiquinone oxidoreductase chain 4 (AHRD V1 ***- Q5M9Z8_TOBAC); contains Interpro domain(s)  IPR001750  NADH:ubiquinone/plastoquinone oxidoreductase "	"ATMG00580"	"NAD4"	"NADH dehydrogenase subunit 4"	92.91	141	7e-70	259	79.0960452
"Solyc00g014830.2.1"	-1.48347983338645	8.21874326666103	0.0215382742080466	"NADH-quinone oxidoreductase subunit D (AHRD V1 ***- C4YU74_9RICK); contains Interpro domain(s)  IPR010219  NADH dehydrogenase I, D subunit "	"ATMG00510"	"NAD7"	"NADH dehydrogenase subunit 7"	94.67	394	0	778	99.49367089
"Solyc00g026160.2.1"	-1.61466506540377	3.80217447363783	0.0455582061737454	"Ferric reductase oxidase (AHRD V1 **** D6RVS5_HORVU); contains Interpro domain(s)  IPR013121  Ferric reductase, NAD binding "	"AT5G23980"	"ATFRO4"	"Encodes a ferric chelate reductase that is expressed at low levels in roots,shoots and cotyledons, but not flowers. Its transcription is regulated by FIT1."	58.46	455	3e-140	495	99.5505618
"Solyc00g187050.2.1"	-5.69759325088765	6.81486315572937	1.73443660886116e-12	"Leucyl aminopeptidase (AHRD V1 ***- D7DWG6_NOSA0); contains Interpro domain(s)  IPR011356  Peptidase M17, leucyl aminopeptidase "	"AT4G30920"	NA	"cytosol aminopeptidase family protein; Identical to Leucine aminopeptidase 3, chloroplast precursor (EC 3.4.11.1) (LAP 3) (Leucyl aminopeptidase 3) (Proline aminopeptidase 3) (EC 3.4.11.5) (Prolyl aminopeptidase 3) [Arabidopsis Thaliana] (GB:Q944P7;GB:O65557); similar to cytosol aminopeptidase [Arabidopsis thaliana] (TAIR:AT2G24200.1); similar to cytosol aminopeptidase family protein [Arabidopsis thaliana] (TAIR:AT4G30910.1); similar to Leucine aminopeptidase 2, chloroplast precursor (LAP 2) (Leucyl aminopeptidase 2) (Proline aminopeptidase 2) (Prolyl aminopeptidase 2) (GB:Q42876); similar to neutral leucine aminopeptidase preprotein; preLAP-N; metallo-exopeptidase; leucyl aminopeptidase; LAP [Lycopersicon esculentum] (GB:AAO15916.1); similar to Cytosol aminopeptidase family, catalytic domain, putative [Medicago truncatula] (GB:ABE88725.1); contains InterPro domain Peptidase M17, leucyl aminopeptidase, N-terminal; (InterPro:IPR008283); contains InterPro domain Peptidase M17, leucyl aminopeptidase, C-terminal; (InterPro:IPR000819)"	66.39	488	4e-177	617	95.08840864
"Solyc00g277510.1.1"	-1.82613399503476	5.99323767595053	0.00635402413712912	"Photosystem Q(B) protein (AHRD V1 ***- Q95B48_PRUPE); contains Interpro domain(s)  IPR000484  Photosynthetic reaction centre, L/M "	"ATCG00020"	"PSBA"	"Encodes chlorophyll binding protein D1, a part of the photosystem II reaction center core"	91.04	67	4e-23	102	97.01492537
"Solyc00g282510.1.1"	-2.15372485269878	2.65232699847621	0.0208367447173927	"Phenylalanine ammonia-lyase (AHRD V1 ***- B5LAW0_CAPAN); contains Interpro domain(s)  IPR005922  Phenylalanine ammonia-lyase "	"AT2G37040"	"ATPAL1"	"encodes a protein similar to phenylalanine ammonia-lyase"	80.55	581	0	1013	97.97297297
"Solyc01g005120.2.1"	1.64533530881285	4.33018192406115	0.0148791754695511	"Xyloglucan endotransglucosylase/hydrolase 13 (AHRD V1 **** C0IRH2_ACTDE); contains Interpro domain(s)  IPR016455  Xyloglucan endotransglucosylase/hydrolase "	"AT1G14720"	"ATXTH28"	"member of Glycoside Hydrolase Family 16"	68.54	302	1e-127	452	89.28571429
"Solyc01g005270.2.1"	-1.87009776505152	6.01982384432705	0.00542237690647721	"SEC14 cytosolic factor family protein (AHRD V1 **-- D7M8H6_ARALY); contains Interpro domain(s)  IPR001251  Cellular retinaldehyde-binding/triple function, C-terminal "	"AT1G14820"	NA	"SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein; similar to SEC14 cytosolic factor, putative / phosphoglyceride transfer protein, putative [Arabidopsis thaliana] (TAIR:AT1G01630.1); similar to Cellular retinaldehyde binding/alpha-tocopherol transport; Cellular retinaldehyde-binding/triple function, N-terminal [Medicago truncatula] (GB:ABE80207.1); contains InterPro domain Phosphatidylinositol transfer protein-like, N-terminal; (InterPro:IPR011074); contains InterPro domain Cellular retinaldehyde-binding/triple function, C-terminal; (InterPro:IPR001251)"	66.24	237	1e-93	339	97.51037344
"Solyc01g005790.1.1"	-2.01029403956446	3.34241395856434	0.0129009644825685	"Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7KKP4_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat "	"AT1G10330"	NA	"pentatricopeptide (PPR) repeat-containing protein; similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT5G66520.1); similar to Pentatricopeptide repeat [Medicago truncatula] (GB:ABE89006.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990)"	50.22	458	3e-124	442	99.34640523
