ITAG	logFC	logCPM	PValue	FDR	SGN_annotation	AGI	symbol	gene_name	X..identity	alignment.length	e.value	bit.score	percent.query.align
Solyc00g006470.1.1	-5.613095004	11.64895377	1.04E-12	5.85E-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g006680.1.1	-5.715641179	12.40084127	4.45E-13	2.97E-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g006690.2.1	-5.375205173	8.165720917	5.28E-10	1.68E-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g008580.1.1	-6.053091982	7.964669112	4.30E-13	2.97E-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g009760.2.1	-5.258626379	10.64323503	1.03E-11	4.68E-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g010530.1.1	-5.761856569	6.801851668	3.50E-11	1.44E-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g011150.1.1	-6.240188081	9.372440383	1.64E-14	2.29E-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g011160.1.1	-7.94902439	11.31950333	7.09E-19	9.94E-15	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g011170.1.1	-4.89889425	10.3205913	1.78E-10	5.95E-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g012430.1.1	-6.082956112	9.191925735	2.87E-13	2.12E-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g012440.1.1	-6.160501691	13.29562683	2.07E-14	2.64E-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g013160.1.1	-2.778304685	5.363703102	0.001070984	0.036691019	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g013180.1.1	-2.36781612	8.10180309	0.000704683	0.027736026	NADH-ubiquinone oxidoreductase chain 4 (AHRD V1 ***- Q5M9Z8_TOBAC); contains Interpro domain(s)  IPR001750  NADH:ubiquinone/plastoquinone oxidoreductase 	ATMG00580	NAD4	NADH dehydrogenase subunit 4	92.91	141	7.00E-70	259	79.0960452
Solyc00g014800.1.1	4.502287907	7.830082096	8.52E-07	0.000119373	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g019990.1.1	-2.85471481	5.847652987	0.000992935	0.035382931	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g050430.2.1	3.842676355	7.925910835	2.16E-06	0.000247625	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g068970.2.1	-7.215323093	13.10293283	1.73E-17	6.06E-14	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g068980.1.1	-3.375172878	9.149297393	3.92E-06	0.000391975	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g071180.2.1	-10.78061297	6.691317706	1.41E-13	1.16E-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
