Row.names	logFC	logCPM	PValue	SGN_annotation	AGI	symbol	gene_name	X..identity	alignment.length	e.value	bit.score	percent.query.align
Solyc02g081340.2.1	-7.461848732	3.636476005	1.36E-12	"Glutathione S-transferase (AHRD V1 **** O24261_PETHY); contains Interpro domain(s)  IPR004046  Glutathione S-transferase, C-terminal "	AT3G03190	ATGSTF11	Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).	51.66	211	2.00E-63	239	90.90909091
Solyc03g007410.2.1	-7.243696696	3.480296873	4.00E-12	BHLH transcription factor (AHRD V1 *-** Q401N4_9LILI); contains Interpro domain(s)  IPR011598  Helix-loop-helix DNA-binding 	NA	NA	NA	NA	NA	NA	NA	NA
Solyc05g047590.2.1	-6.95173337	3.239739302	1.64E-10	"Pectinesterase (AHRD V1 ***- C0SPH5_PRUPE); contains Interpro domain(s)  IPR000070  Pectinesterase, catalytic "	AT2G26440	NA	"pectinesterase family protein; similar to pectinesterase family protein [Arabidopsis thaliana] (TAIR:AT1G02810.1); similar to papillar cell-specific pectin methylesterase-like protein [Brassica napus] (GB:AAK84428.1); similar to Os06g0193200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001057041.1); contains InterPro domain Virulence factor, pectin lyase fold; (InterPro:IPR011050); contains InterPro domain Plant invertase/pectin methylesterase inhibitor; (InterPro:IPR007186); contains InterPro domain Pectinesterase; (InterPro:IPR000070); contains InterPro domain Pectinesterase inhibitor; (InterPro:IPR006501)"	62.64	538	0	645	92.54766031
Solyc03g098720.2.1	-6.603098677	2.991003426	9.63E-09	Kunitz trypsin inhibitor (AHRD V1 ***- Q4W188_POPTN); contains Interpro domain(s)  IPR011065  Kunitz inhibitor ST1-like 	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g073700.2.1	-6.531267413	2.912127824	2.52E-08	"26S protease regulatory subunit 8 homolog (AHRD V1 *--- PRS8_ENCCU); contains Interpro domain(s)  IPR003959  ATPase, AAA-type, core "	NA	NA	NA	NA	NA	NA	NA	NA
Solyc03g025190.2.1	-6.476060575	2.868544564	4.11E-08	Multidrug resistance protein mdtK (AHRD V1 **-- MDTK_YERP3); contains Interpro domain(s)  IPR002528  Multi antimicrobial extrusion protein MatE 	AT4G25640	ATDTX35	MATE efflux family protein; similar to MATE efflux family protein [Arabidopsis thaliana] (TAIR:AT4G00350.1); similar to Multi antimicrobial extrusion protein MatE [Medicago truncatula] (GB:ABE85324.1); similar to putative anthocyanin permease [Lycopersicon esculentum] (GB:AAQ55183.1); contains InterPro domain Multi antimicrobial extrusion protein MatE; (InterPro:IPR002528)	72.19	471	0	652	92.70216963
Solyc01g109610.2.1	-6.450401941	2.857453499	4.11E-08	2-hydroxyacid dehydrongenase (Fragment) (AHRD V1 *-*- C6F725_PSEMZ)	AT1G19400	NA	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G75180.3); similar to hypothetical protein [Oryza sativa (japonica cultivar-group)] (GB:AAN65010.1); similar to Os03g0775600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051432.1); contains domain 2-HYDROXYACID DEHYDROGENASE (PTHR10996:SF1); contains domain 2-HYDROXYACID DEHYDROGENASE (PTHR10996)	59.57	282	8.00E-73	270	89.67741935
Solyc08g078910.1.1	-5.973658689	2.521943509	4.40E-06	"Cortical cell-delineating protein (AHRD V1 **-- B6U436_MAIZE); contains Interpro domain(s)  IPR013770  Plant lipid transfer protein and hydrophobic protein, helical "	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g080990.2.1	-5.949948688	2.498862716	4.40E-06	Carboxyl methyltransferase 4 (AHRD V1 **** B0ZB58_HUMLU); contains Interpro domain(s)  IPR005299  SAM dependent carboxyl methyltransferase 	NA	NA	NA	NA	NA	NA	NA	NA
Solyc03g006980.2.1	-5.897529338	2.464863768	7.65E-06	"Alpha-L-fucosidase 1 (AHRD V1 **** B6U1Y8_MAIZE); contains Interpro domain(s)  IPR000933  Glycoside hydrolase, family 29 "	AT2G28100	ATFUC1	"Encodes a protein with &#945;-fucosidase activity. The activity was assessed on 2'-fucosyl-lactitol. AtFUC1 was not able to act on XXFG substrates, at least when heterologously expressed in <i>Pichia pastoris</i>. The enzyme has been postulated to act on fucosylated substrates other than xyloglucan oligosaccharides.  was shown (<i>Pichia pastoris</i>) to hydrolyze fucose in 3- and 4-linkage , hence was characterized as alpha-L-3,4-fucosidase"	52.69	446	9.00E-138	487	90.32921811
Solyc07g007350.1.1	-5.648024174	2.313035971	7.44E-05	Jp18 (AHRD V1 *-*- Q8H6R4_PONTR); contains Interpro domain(s)  IPR010993  Sterile alpha motif homology 	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g087690.1.1	-5.605581838	2.281966466	7.44E-05	"RNA polymerase sigma factor (AHRD V1 ***- Q59965_SYNP2); contains Interpro domain(s)  IPR013325  RNA polymerase sigma factor, region 2 "	NA	NA	NA	NA	NA	NA	NA	NA
Solyc12g036500.1.1	-5.576370146	2.255410679	7.44E-05	cDNA clone J023065D24 full insert sequence (AHRD V1 *-*- B7EKP5_ORYSJ); contains Interpro domain(s)  IPR012870  Protein of unknown function DUF1666 	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g079760.2.1	-5.530086077	2.23899466	0.000133783	BHLH transcription factor-like protein (AHRD V1 *-*- Q5ZAK6_ORYSJ); contains Interpro domain(s)  IPR011598  Helix-loop-helix DNA-binding 	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g090120.1.1	-5.511172195	2.232316651	0.000133783	Unknown Protein (AHRD V1)	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g079470.2.1	-5.503822663	2.21324068	1.58E-05	CP12 (AHRD V1 ***- O24136_TOBAC); contains Interpro domain(s)  IPR003823  Protein of unknown function CP12 	NA	NA	NA	NA	NA	NA	NA	NA
Solyc11g072580.1.1	-5.462440467	2.198806579	2.99E-05	"Proton-dependent oligopeptide transport family protein (AHRD V1 **-- D7LMP9_ARALY); contains Interpro domain(s)  IPR000109  TGF-beta receptor, type I/II extracellular region "	AT3G45650	NAXT1	"proton-dependent oligopeptide transport (POT) family protein; similar to proton-dependent oligopeptide transport (POT) family protein [Arabidopsis thaliana] (TAIR:AT3G45680.1); similar to proton-dependent oligopeptide transport (POT) family protein [Arabidopsis thaliana] (TAIR:AT3G45660.1); similar to proton-dependent oligopeptide transport (POT) family protein [Arabidopsis thaliana] (TAIR:AT3G45710.1); similar to Major Facilitator Superfamily protein [Solanum demissum] (GB:AAT39312.2); contains InterPro domain TGF-beta receptor, type I/II extracellular region; (InterPro:IPR000109)"	51.91	549	2.00E-145	513	98.54545455
Solyc04g080710.2.1	-5.461264184	2.198466079	2.99E-05	BHLH transcription factor-like protein (AHRD V1 *-*- Q5ZAK6_ORYSJ); contains Interpro domain(s)  IPR011598  Helix-loop-helix DNA-binding 	NA	NA	NA	NA	NA	NA	NA	NA
Solyc03g006670.2.1	-5.456681359	2.196706822	2.99E-05	Cyclin D1 (AHRD V1 **** Q8GVE0_HELTU); contains Interpro domain(s)  IPR015451  Cyclin D 	NA	NA	NA	NA	NA	NA	NA	NA
Solyc03g044090.2.1	-5.440131322	2.190907141	2.99E-05	Phototropic-responsive NPH3 family protein (AHRD V1 **-- D7KEU3_ARALY); contains Interpro domain(s)  IPR004249  NPH3 	AT2G14820	NPY2	"phototropic-responsive NPH3 family protein; similar to phototropic-responsive NPH3 family protein [Arabidopsis thaliana] (TAIR:AT5G67440.1); similar to Os12g0583500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001067147.1); similar to transposon protein, putative, Mutator sub-class, expressed [Oryza sativa (japonica cultivar-group)] (GB:ABF94544.1); similar to Os03g0609800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001050649.1); contains InterPro domain NPH3; (InterPro:IPR004249)"	56.47	556	2.00E-179	625	87.00475436
Solyc04g082540.1.1	-5.394603465	2.141117158	1.58E-05	Ser/Thr-rich protein T10 in DGCR region (AHRD V1 **-- B6TDB2_MAIZE); contains Interpro domain(s)  IPR008551  Protein of unknown function DUF833 	NA	NA	NA	NA	NA	NA	NA	NA
Solyc04g082710.2.1	-5.388477291	2.156257786	2.99E-05	"Cathepsin B-like cysteine proteinase 3 (AHRD V1 **-- CPR3_CAEEL); contains Interpro domain(s)  IPR013128  Peptidase C1A, papain "	AT4G35350	XCP1	tracheary element vacuolar protein	73.77	305	2.00E-138	488	99.34640523
Solyc06g060510.1.1	-5.306867838	2.111158426	5.74E-05	Transcription elongation factor SPT5 (AHRD V1 *--- SPT5H_DANRE); contains Interpro domain(s)  IPR010605  Protein of unknown function DUF1191 	NA	NA	NA	NA	NA	NA	NA	NA
Solyc06g066680.2.1	-5.272633863	2.082211954	5.74E-05	Mitochondrial carrier protein (AHRD V1 ***- D2VIZ2_NAEGR); contains Interpro domain(s)  IPR002067  Mitochondrial carrier protein 	AT1G79900	ATMBAC2	encodes a mitochondrial ornithine transporter that exports ornithine from the mitochondria to the cytosol	72.91	299	8.00E-120	426	93.98734177
Solyc05g007420.1.1	-5.268111865	2.080653937	5.74E-05	"TCP family transcription factor (AHRD V1 *-*- A6MCZ2_9ORYZ); contains Interpro domain(s)  IPR005333  Transcription factor, TCP "	NA	NA	NA	NA	NA	NA	NA	NA
