"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005070.1.1"	5.62542274016929	7.23306589189304	4.87746180759179e-10	1.60701763382307e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g014800.1.1"	6.46572893139173	8.1703823028843	4.21230559967346e-12	2.20143805753969e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g095760.1.1"	5.89812702957345	5.50234628884977	1.32810815417930e-09	4.19350149682112e-07	"1-aminocyclopropane-1-carboxylate synthase (AHRD V1 ***- Q96580_SOLLC); contains Interpro domain(s)  IPR004839  Aminotransferase, class I and II "	"AT3G61510"	"ACS1"	"Encodes a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC 4.4.1.14) gene family. The gene is transcriptionally active but enzymatically inactive. The predicted amino-acid sequence of ACS1 is missing the highly conserved tripeptide, Thr-Asn-Pro (TNP), between Ile204 and Ser205. Introduction of TNP into ACS1 restores the ACS activity."	58.76	291	2e-95	345	83.53293413
"Solyc00g121730.1.1"	6.74230358223544	9.39478405741279	3.67013315625345e-13	2.41845817896423e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g131710.1.1"	7.11901208030243	10.625746756138	2.5433669401419e-14	3.50429721316278e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g195360.1.1"	5.19558013258077	8.28568842620087	2.31734473040975e-09	7.16768912940615e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g206460.1.1"	4.92184813287144	8.42080631508045	8.34792107869709e-09	2.21966827839883e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g281110.1.1"	3.18241505331879	5.34839697189321	0.000143384939242627	0.0147832798582398	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g005790.1.1"	3.40072951119447	4.43267554507575	0.000141829869774735	0.0147231062075745	"Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7KKP4_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat "	"AT1G10330"	NA	"pentatricopeptide (PPR) repeat-containing protein; similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT5G66520.1); similar to Pentatricopeptide repeat [Medicago truncatula] (GB:ABE89006.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990)"	50.22	458	3e-124	442	99.34640523
"Solyc01g005850.1.1"	4.0398089714402	5.80161926777194	3.52067488929273e-06	0.000573756436796996	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g005880.1.1"	5.98023324201879	5.24798429677142	6.32331759961518e-09	1.71136074178157e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g007240.2.1"	3.5264497576509	3.67880636086842	0.000313354379843764	0.0277730934556263	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g009390.2.1"	4.27654684936021	6.93255069869291	3.6620296439003e-07	7.70857240041014e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g014500.1.1"	6.49366119849055	6.72069839398915	2.30720561611934e-11	1.02847083287955e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g015070.2.1"	-7.07902546292008	4.02743363272963	0.000132558319223452	0.0138555440424182	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g015220.1.1"	7.62311926523817	7.22949274167785	1.59126174512011e-13	1.14843633376383e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g016330.1.1"	3.24486804832157	4.15928636693532	0.000607736617849073	0.0469941641842885	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g016710.1.1"	3.87524500389903	5.79277007268077	6.17283254804375e-06	0.000935554500981511	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g016950.1.1"	5.25193552771278	7.31209167550586	2.62090698022121e-09	7.78871886122209e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g017230.1.1"	4.66652255784223	5.70906382172882	1.56053912695584e-07	3.42775811712213e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g020250.1.1"	7.47968090837854	7.40719988136901	1.50577084012357e-13	1.14107314264564e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g022770.1.1"	7.20631747935884	7.38474195997075	9.18523653549446e-13	5.80047687216475e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g022780.1.1"	7.58051055535157	8.70381683224004	1.37680442655661e-14	2.93743658510858e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g028970.1.1"	7.271318054939	9.99540988484959	1.55050756669759e-14	2.93743658510858e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g034160.1.1"	5.26982075143116	7.65203705150919	2.38314330107354e-09	7.22378397421412e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g049700.2.1"	7.54821520087196	8.40680555393946	8.14294024644259e-15	2.93743658510858e-11	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g079930.1.1"	3.31736385932857	4.62738465803244	0.000215197291954704	0.0203845634804094	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g080450.2.1"	4.5006108733566	4.64729522043068	1.07358402897247e-06	0.000205965057507681	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g081320.2.1"	3.93664711799508	4.71697889432206	8.26003362917503e-06	0.0012037410546517	"Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7M643_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat "	"AT5G27460"	NA	"pentatricopeptide (PPR) repeat-containing protein; similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT1G02150.1); similar to Tetratricopeptide-like helical [Medicago truncatula] (GB:ABD28679.1); similar to Os12g0527900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001066910.1); similar to Os02g0796400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001048388.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885)"	50.45	442	6e-124	441	81.31021195
"Solyc01g090390.1.1"	3.81291042831763	4.32792207238895	4.58817515483421e-05	0.00530827348447842	"Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7LBT2_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat "	"AT2G44880"	NA	"pentatricopeptide (PPR) repeat-containing protein; similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT3G29230.1); similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT1G08070.1); similar to Asp/Glu racemase [Medicago truncatula] (GB:ABE92336.1); similar to Asp/Glu racemase; Polynucleotidyl transferase, Ribonuclease H fold [Medicago truncatula] (GB:ABE89255.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990)"	54.75	537	0	638	89.76510067
"Solyc01g095140.2.1"	3.41612892339832	4.70402681516413	0.000215197291954704	0.0203845634804094	"Late embryogenesis abundant protein (Fragment) (AHRD V1 **-- B7TGG5_PINSY); contains Interpro domain(s)  IPR013990  Water Stress and Hypersensitive response "	"AT1G01470"	"LEA14"	"Encodes late-embryogenesis abundant protein whose mRNA levels are induced in response to wounding and light stress. Might be involved in protection against dessication."	56.29	151	3e-45	177	91.30434783
"Solyc01g095950.1.1"	4.36018475846011	6.43045481610471	5.40545627857852e-07	0.000109233460477515	"DNA-directed RNA polymerase subunit beta (AHRD V1 ***- B1NWE2_MANES); contains Interpro domain(s)  IPR015712  DNA-directed RNA polymerase, subunit 2 "	"ATCG00190"	"RPOB"	"Chloroplast DNA-dependent RNA polymerase B subunit. The transcription of this gene is regulated by a nuclear encoded RNA polymerase. This gene has been transferred to mitochondrial genome during crucifer evolution."	76.29	97	3e-34	139	81.89655172
