"","ITAG","SGN_annotation","AGI","symbol","gene_name","X..identity","alignment.length","e.value","bit.score","percent.query.align"
"1","Solyc00g005070.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Solyc00g006470.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Solyc00g006670.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Solyc00g006680.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Solyc00g006690.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Solyc00g008580.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Solyc00g009760.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Solyc00g010530.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Solyc00g011150.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Solyc00g011160.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Solyc00g011170.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Solyc00g012430.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Solyc00g012440.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Solyc00g013160.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Solyc00g013180.1.1","NADH-ubiquinone oxidoreductase chain 4 (AHRD V1 ***- Q5M9Z8_TOBAC); contains Interpro domain(s)  IPR001750  NADH:ubiquinone/plastoquinone oxidoreductase ","ATMG00580","NAD4","NADH dehydrogenase subunit 4",92.91,141,7e-70,259,79.0960452
"16","Solyc00g019990.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Solyc00g068970.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Solyc00g068980.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Solyc00g071180.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Solyc00g094520.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Solyc00g094540.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Solyc00g099580.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Solyc00g102000.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Solyc00g127660.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Solyc00g187050.2.1","Leucyl aminopeptidase (AHRD V1 ***- D7DWG6_NOSA0); contains Interpro domain(s)  IPR011356  Peptidase M17, leucyl aminopeptidase ","AT4G30920",NA,"cytosol aminopeptidase family protein; Identical to Leucine aminopeptidase 3, chloroplast precursor (EC 3.4.11.1) (LAP 3) (Leucyl aminopeptidase 3) (Proline aminopeptidase 3) (EC 3.4.11.5) (Prolyl aminopeptidase 3) [Arabidopsis Thaliana] (GB:Q944P7;GB:O65557); similar to cytosol aminopeptidase [Arabidopsis thaliana] (TAIR:AT2G24200.1); similar to cytosol aminopeptidase family protein [Arabidopsis thaliana] (TAIR:AT4G30910.1); similar to Leucine aminopeptidase 2, chloroplast precursor (LAP 2) (Leucyl aminopeptidase 2) (Proline aminopeptidase 2) (Prolyl aminopeptidase 2) (GB:Q42876); similar to neutral leucine aminopeptidase preprotein; preLAP-N; metallo-exopeptidase; leucyl aminopeptidase; LAP [Lycopersicon esculentum] (GB:AAO15916.1); similar to Cytosol aminopeptidase family, catalytic domain, putative [Medicago truncatula] (GB:ABE88725.1); contains InterPro domain Peptidase M17, leucyl aminopeptidase, N-terminal; (InterPro:IPR008283); contains InterPro domain Peptidase M17, leucyl aminopeptidase, C-terminal; (InterPro:IPR000819)",66.39,488,4e-177,617,95.08840864
"26","Solyc00g195360.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Solyc00g206460.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
