"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g014800.1.1"	-4.44279798090613	7.64503222450779	3.2208790593697e-08	3.19167642256475e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g019970.2.1"	2.522829850369	6.76835371251124	0.000470109527792527	0.0289450944633173	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g023580.1.1"	3.06360287049814	5.50379959272992	0.000456878387762239	0.0285337830071341	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g052540.1.1"	-3.57235022747172	4.16291628158815	7.36324619279244e-05	0.00759592485667289	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g072100.2.1"	4.13439910660458	4.18099634334901	0.000363612163375456	0.0242364627641829	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g085070.2.1"	4.12333439044997	8.12595080728996	1.31851759477428e-07	9.79922276436247e-05	"Squalene monooxygenase (AHRD V1 ***- Q506K3_DATIN); contains Interpro domain(s)  IPR013698  Squalene epoxidase "	"AT4G37760"	"SQE3"	"squalene monooxygenase, putative / squalene epoxidase, putative; similar to XF1, oxidoreductase [Arabidopsis thaliana] (TAIR:AT1G58440.1); similar to squalene monooxygenase, putative / squalene epoxidase, putative [Arabidopsis thaliana] (TAIR:AT2G22830.1); similar to squalene monooxygenase [Datura innoxia] (GB:AAY22200.1); similar to squalene monooxygenase 2 [Medicago truncatula] (GB:CAD23248.1); similar to putative squalene epoxidase [Lycopersicon esculentum] (GB:AAQ13595.1); contains InterPro domain NAD-binding site; (InterPro:IPR000205); contains InterPro domain Squalene epoxidase; (InterPro:IPR013698); contains InterPro domain FAD dependent oxidoreductase; (InterPro:IPR006076); contains InterPro domain Aromatic-ring hydroxylase; (InterPro:IPR003042)"	81.45	442	0	753	95.04310345
"Solyc00g112190.2.1"	-4.76232928926991	6.08813484519552	2.0067216298354e-08	2.1305650218481e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g121730.1.1"	-2.5977970353117	7.25363006665557	0.00051774606394538	0.0313275146610661	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g131710.1.1"	-2.62795965433951	8.66024571578554	0.000320595343197581	0.0223724374708396	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g005280.2.1"	3.47015039276861	5.52849825083569	7.40863917533713e-06	0.00139394952787609	"SEC14 cytosolic factor (AHRD V1 **-- B2W8N2_PYRTR); contains Interpro domain(s)  IPR001251  Cellular retinaldehyde-binding/triple function, C-terminal "	"AT1G14820"	NA	"SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein; similar to SEC14 cytosolic factor, putative / phosphoglyceride transfer protein, putative [Arabidopsis thaliana] (TAIR:AT1G01630.1); similar to Cellular retinaldehyde binding/alpha-tocopherol transport; Cellular retinaldehyde-binding/triple function, N-terminal [Medicago truncatula] (GB:ABE80207.1); contains InterPro domain Phosphatidylinositol transfer protein-like, N-terminal; (InterPro:IPR011074); contains InterPro domain Cellular retinaldehyde-binding/triple function, C-terminal; (InterPro:IPR001251)"	63.18	239	4e-91	330	98.34024896
