"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005070.1.1"	4.61398654669216	9.05982795677734	1.90063805341918e-06	0.000114070361484533	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g005870.1.1"	4.21722791932465	6.99515662117164	0.000114490852400163	0.00425200492046976	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011150.1.1"	-3.25544243901217	7.04080573263591	0.00117711692211505	0.0322607150292186	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g020010.1.1"	9.80563331902253	11.3796658467369	3.52635383715494e-17	2.5079428489846e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g023710.1.1"	6.26769477389524	7.66856596484253	1.03864724307669e-08	1.49229478641645e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g052430.2.1"	3.2388783010565	5.5398217264748	0.0016373406708423	0.0424217371622238	"Cytochrome c biogenesis FC (AHRD V1 ***- D5I3C4_CITLA)"	"ATMG00180"	"CCB452"	"cytochrome c biogenesis orf452"	89.29	364	4e-167	584	94.47368421
"Solyc00g056680.1.1"	6.63269420661241	6.97414139528496	3.83720593022753e-10	9.57551178097481e-08	"Lipase-like protein (AHRD V1 ***- Q949E1_ORYSA); contains Interpro domain(s)  IPR002921  Lipase, class 3 "	"AT4G16820"	"PLA-I{beta]2"	"lipase class 3 family protein; similar to DAD1 (DEFECTIVE ANTHER DEHISCENCE 1), triacylglycerol lipase [Arabidopsis thaliana] (TAIR:AT2G44810.1); similar to lipase-like protein [Oryza sativa] (GB:CAC39051.1); similar to Os02g0653900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047607.1); contains InterPro domain Lipase, class 3; (InterPro:IPR002921)"	57.25	531	3e-161	565	97.76951673
"Solyc00g069880.2.1"	5.18295989284883	4.27678751657842	9.24685241011799e-05	0.00352619916036242	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g075440.1.1"	6.80519608888154	9.31269079879322	1.09994360330840e-09	2.30082320786156e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g095760.1.1"	5.53731354279635	6.43097130681445	8.78533820235579e-07	5.89446465048626e-05	"1-aminocyclopropane-1-carboxylate synthase (AHRD V1 ***- Q96580_SOLLC); contains Interpro domain(s)  IPR004839  Aminotransferase, class I and II "	"AT3G61510"	"ACS1"	"Encodes a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC 4.4.1.14) gene family. The gene is transcriptionally active but enzymatically inactive. The predicted amino-acid sequence of ACS1 is missing the highly conserved tripeptide, Thr-Asn-Pro (TNP), between Ile204 and Ser205. Introduction of TNP into ACS1 restores the ACS activity."	58.76	291	2e-95	345	83.53293413
"Solyc00g112190.2.1"	3.13409704661759	9.01562844734395	0.000492031656245002	0.0153143507186628	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g121730.1.1"	4.89708761821933	11.6049865779398	1.71033392527651e-07	1.45988016486615e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g126000.1.1"	3.21630904605556	4.83205020845447	0.000900110099232231	0.0257608974878858	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g131710.1.1"	4.16978252773437	12.2789571563854	3.75071256530032e-06	0.000205985079261899	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g142160.1.1"	5.93720635591512	7.42944343748237	2.40042593878708e-09	4.26795731916342e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g166690.1.1"	6.17058941784802	9.68418064081533	3.82877165237989e-09	6.33154524756986e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g195360.1.1"	4.2828894152214	10.1001214754602	3.70500474361901e-06	0.000204263517338127	NA	NA	NA	NA	NA	NA	NA	NA	NA
