"Dataset S7 Hub (> 1,000 edges) genes of network of LC+ genes",,,,
Gene ID,Number of edges,Arabidopsis orthologue,Symbol,Human readable description
Solyc02g083810,1126,AT1G20020,ATLFNR2,"ATLFNR2, FNR2 | FNR2 (FERREDOXIN-NADP(+)-OXIDOREDUCTASE 2); NADPH dehydrogenase/ oxidoreductase/ poly(U) binding | chr1:6942851-6944868 FORWARD"
Solyc08g076220,1125,AT1G32060,PRK,PRK | PRK (PHOSPHORIBULOKINASE); ATP binding / phosphoribulokinase/ protein binding | chr1:11532668-11534406 FORWARD
Solyc01g005520,1122,AT1G55480,NA,binding / protein binding | chr1:20713822-20715351 FORWARD
Solyc09g011810,1122,AT3G54050,HCEF1,"fructose-1,6-bisphosphatase, putative / D-fructose-1,6-bisphosphate 1-phosphohydrolase, putative / FBPase, putative | chr3:20016951-20018527 FORWARD"
Solyc03g058190,1121,AT5G13650,NA,elongation factor family protein | chr5:4397821-4402364 FORWARD
Solyc04g081970,1121,AT1G76080,ATCDSP32,"ATCDSP32, CDSP32 | CDSP32 (CHLOROPLASTIC DROUGHT-INDUCED STRESS PROTEIN OF 32 KD) | chr1:28548063-28549348 REVERSE"
Solyc03g114930,1120,AT3G55330,PPL1,PPL1 | PPL1 (PsbP-like protein 1); calcium ion binding | chr3:20514031-20515275 REVERSE
Solyc03g111610,1120,AT3G48420,NA,haloacid dehalogenase-like hydrolase family protein | chr3:17929743-17931551 FORWARD
Solyc12g009600,1118,AT4G02530,NA,chloroplast thylakoid lumen protein | chr4:1112335-1114005 REVERSE
Solyc08g068230,1117,AT5G25630,NA,pentatricopeptide (PPR) repeat-containing protein | chr5:8947426-8949424 FORWARD
Solyc07g054820,1117,AT2G20890,PSB29,"PSB29, THF1 | PSB29 | chr2:8987783-8989185 FORWARD"
Solyc04g077510,1116,AT2G22840,NA,AtGRF1 | AtGRF1 (GROWTH-REGULATING FACTOR 1); transcription activator | chr2:9728841-9731141 FORWARD
Solyc04g081320,1116,AT1G75690,NA,chaperone protein dnaJ-related | chr1:28422273-28423170 REVERSE
Solyc03g059170,1115,AT3G59780,NA,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: nucleus, chloroplast; EXPRESSED IN: guard cell; BEST Arabidopsis thaliana protein match is: CaS (Calcium sensing receptor) (TAIR:AT5G23060.1); Has 1338 Blast hits to 316 proteins in 95 species: Archae - 0; Bacteria - 274; Metazoa - 264; Fungi - 88; Plants - 42; Viruses - 4; Other Eukaryotes - 666 (source: NCBI BLink). | chr3:22087345-22090324 FORWARD"
Solyc08g013670,1115,AT5G64040,PSAN,PSAN | PSAN; calmodulin binding | chr5:25628724-25629409 REVERSE
Solyc09g064500,1115,AT4G28660,PSB28,PSB28 | PSB28 (PHOTOSYSTEM II REACTION CENTER PSB28 PROTEIN) | chr4:14150008-14150933 FORWARD
Solyc04g010260,1114,AT3G55200,NA,"splicing factor, putative | chr3:20460533-20464361 FORWARD"
Solyc11g008990,1114,AT1G65260,PTAC4,PTAC4 | PTAC4 (PLASTID TRANSCRIPTIONALLY ACTIVE4) | chr1:24236329-24240428 FORWARD
Solyc05g052600,1114,AT3G55800,SBPASE,SBPASE | SBPASE (sedoheptulose-bisphosphatase); phosphoric ester hydrolase/ sedoheptulose-bisphosphatase | chr3:20709640-20711421 FORWARD
Solyc06g005710,1114,AT3G46780,NA,PTAC16 | PTAC16 (PLASTID TRANSCRIPTIONALLY ACTIVE 16); binding / catalytic | chr3:17228766-17231021 FORWARD
