"Row.names"	"logFC"	"logCPM"	"PValue"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005070.1.1"	-2.86732969642271	3.8723507163689	0.000204539607442357	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006470.1.1"	-3.09313825599432	11.7174454491907	5.859921100618e-07	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006670.2.1"	-3.56645448662714	6.00182399330482	5.0377074629008e-08	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006680.1.1"	-2.2202435948564	12.6423091295605	0.000228349956127148	"Plant senescence-associated protein (Fragment) (AHRD V1 *-*- D7PDP5_9HYPO)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006690.2.1"	-2.73438125177232	8.1273253372564	1.02050569422187e-05	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g007260.2.1"	1.75362288749932	5.06177077055846	0.0170235584645837	"Sentrin-specific protease 7 (AHRD V1 *-*- SENP7_HUMAN); contains Interpro domain(s)  IPR003653  Peptidase C48, SUMO/Sentrin/Ubl1 "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g007590.1.1"	3.12289913765704	2.82426433380942	0.014570730339547	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008580.1.1"	-2.75269849891395	7.91077364221368	9.8362911306139e-06	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009760.2.1"	-2.7260225806793	10.7581387435904	8.3702511824415e-06	"Cytochrome P450 monooxygenase (Fragment) (AHRD V1 *-*- Q6T4Q1_PYRCO)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010530.1.1"	-2.76934624801123	6.57388832949383	1.42182096762506e-05	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011150.1.1"	-3.04652366522976	9.38499255123315	9.48077020823059e-07	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011160.1.1"	-4.2146292658053	11.2909179897962	7.16121247207953e-11	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011170.1.1"	-2.72658584804467	10.3958444773356	8.37581240444145e-06	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g012430.1.1"	-3.06103170594065	9.19892717196136	8.71589728374082e-07	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g012440.1.1"	-2.51523728066272	13.4871638447529	3.45929075793987e-05	"TO54-2 (Fragment) (AHRD V1 ***- Q3LVL5_TAROF)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g013160.1.1"	-1.86478923518492	5.14213263974511	0.00326111798357043	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g013180.1.1"	-2.04144523313336	7.96089502008907	0.000747107955220134	"NADH-ubiquinone oxidoreductase chain 4 (AHRD V1 ***- Q5M9Z8_TOBAC); contains Interpro domain(s)  IPR001750  NADH:ubiquinone/plastoquinone oxidoreductase "	"ATMG00580"	"NAD4"	"NADH dehydrogenase subunit 4"	92.91	141	7e-70	259	79.0960452
"Solyc00g014800.1.1"	-1.67411908673782	3.33851331987252	0.0284669066678059	"Zinc-finger protein 1 (AHRD V1 *-*- D7KX25_ARALY); contains Interpro domain(s)  IPR007087  Zinc finger, C2H2-type "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g014830.2.1"	-1.39026909912914	8.03289584579739	0.0197834341436881	"NADH-quinone oxidoreductase subunit D (AHRD V1 ***- C4YU74_9RICK); contains Interpro domain(s)  IPR010219  NADH dehydrogenase I, D subunit "	"ATMG00510"	"NAD7"	"NADH dehydrogenase subunit 7"	94.67	394	0	778	99.49367089
"Solyc00g019990.1.1"	-3.80704380314557	4.8973668285817	2.58547129378756e-08	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g024150.2.1"	-1.53278051314933	5.62545136346512	0.016767282834766	"Pterin-4-alpha-carbinolamine dehydratase (AHRD V1 *-** B6T9C1_MAIZE); contains Interpro domain(s)  IPR001533  Transcriptional coactivator/pterin dehydratase "	"AT5G51110"	NA	"similar to dehydratase family [Arabidopsis thaliana] (TAIR:AT1G29810.1); similar to expressed protein [Oryza sativa (japonica cultivar-group)] (GB:ABF93463.1); contains InterPro domain Transcriptional coactivator/pterin dehydratase; (InterPro:IPR001533)"	56.31	222	2e-56	215	98.1042654
"Solyc00g025290.1.1"	-1.49216791665342	7.90511989197519	0.0124611015080671	"Hypothetical protein (nad5 intron) (AHRD V1 **-- Q7M2D8_WHEAT)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g026160.2.1"	-3.89744843687305	3.42756080198599	0.0001092635632182	"Ferric reductase oxidase (AHRD V1 **** D6RVS5_HORVU); contains Interpro domain(s)  IPR013121  Ferric reductase, NAD binding "	"AT5G23980"	"ATFRO4"	"Encodes a ferric chelate reductase that is expressed at low levels in roots,shoots and cotyledons, but not flowers. Its transcription is regulated by FIT1."	58.46	455	3e-140	495	99.5505618
"Solyc00g030100.1.1"	-1.51721314593358	3.21326035153254	0.0476223336033153	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g036540.1.1"	-1.89861269243473	5.02729767704087	0.00351686787096327	"50S ribosomal protein L2 chloroplastic (AHRD V1 *-*- A6YA71_9MAGN); contains Interpro domain(s)  IPR002171  Ribosomal protein L2 "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g050430.2.1"	1.65375378512515	6.1865334025983	0.00936475043003868	"BHLH transcription factor (AHRD V1 *-*- A9YWR2_MEDTR); contains Interpro domain(s)  IPR011598  Helix-loop-helix DNA-binding "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g068970.2.1"	-4.17024276143833	13.0921411209736	1.01579324775802e-10	"Cytochrome P450 like_TBP (AHRD V1 ***- O04892_TOBAC)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g068980.1.1"	-1.71804041072091	9.31811989159294	0.00409422069875983	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g071180.2.1"	-9.13589274508339	6.71382003995372	1.44006404119009e-20	"Cysteine proteinase inhibitor (AHRD V1 *-** Q2VY67_9ERIC); contains Interpro domain(s)  IPR000010  Proteinase inhibitor I25, cystatin "	NA	NA	NA	NA	NA	NA	NA	NA
