"","ITAG","SGN_annotation","AGI","symbol","gene_name","X..identity","alignment.length","e.value","bit.score","percent.query.align"
"1","92.5170068",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","and",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","cytosol",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","functions.\""""",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","indirectly",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","involved,",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","PEX12.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","PTS1-containing",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Solyc00g005840.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Solyc00g006800.2.1","Transaldolase (AHRD V1 ***- Q9FVH1_SOLLC); contains Interpro domain(s)  IPR014634  Transaldolase, bacterial/plant type ","AT5G13420",NA,"transaldolase, putative; similar to transaldolase [Solanum tuberosum] (GB:AAB54016.1); similar to transaldolase-like protein [Solanum tuberosum] (GB:ABB17002.1); similar to transaldolase [Lycopersicon esculentum] (GB:AAG16981.1); contains InterPro domain Transaldolase; (InterPro:IPR001585); contains InterPro domain Transaldolase subfamily; (InterPro:IPR004732)",80.83,412,0,658,93.83561644
"11","Solyc00g082550.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Solyc00g142160.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Solyc01g005100.2.1","Prolyl 3-hydroxylase 1 (AHRD V1 *--- P3H1_CHICK); contains Interpro domain(s)  IPR006620  Prolyl 4-hydroxylase, alpha subunit ","AT1G68080",NA,"oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors; similar to Os03g0238700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001049501.1); similar to hypothetical protein SwitDRAFT_3374 [Sphingomonas wittichii RW1] (GB:ZP_01607997.1); contains InterPro domain Prolyl 4-hydroxylase, alpha subunit; (InterPro:IPR006620)",57.25,400,3e-119,425,98.01488834
"14","Solyc01g006400.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Solyc01g006690.2.1","Unknown Protein (AHRD V1)","AT5G12900",NA,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G12330.1); similar to Os08g0508100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001062195.1); similar to Peptidase M14, carboxypeptidase A [Medicago truncatula] (GB:ABE94280.1); similar to Os09g0488800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001063532.1)",54.55,539,3e-152,535,86.53530378
"16","Solyc01g006990.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Solyc01g007230.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Solyc01g007250.2.1","U3 small nucleolar ribonucleoprotein protein IMP4 (AHRD V1 ***- D0N3A6_PHYIN); contains Interpro domain(s)  IPR007109  Brix domain ","AT1G63780","IMP4","Small nucleolar ribonucleoprotein protein involved in ribosomal RNA processing. Located in nucleolus and cajal bodies.",77.89,294,8e-137,483,99.31972789
"19","Solyc01g007510.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Solyc01g010390.2.1","Beta-glucosidase (AHRD V1 ***- D3YJ59_VITVI); contains Interpro domain(s)  IPR001360  Glycoside hydrolase, family 1 ","AT1G26560","BGLU40","glycosyl hydrolase family 1 protein; similar to glycosyl hydrolase family 1 protein [Arabidopsis thaliana] (TAIR:AT5G54570.1); similar to Os03g0212800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001049358.1); similar to beta-glucosidase, putative [Medicago truncatula] (GB:ABE90952.1); similar to Putative beta-glucosidase [Oryza sativa] (GB:AAK92581.1); contains InterPro domain Glycoside hydrolase, family 1; (InterPro:IPR001360)",70.66,484,0,754,95.07874016
"21","Solyc01g010590.2.1","Peptidyl-prolyl cis-trans isomerase A (AHRD V1 ***- B6TSE8_MAIZE); contains Interpro domain(s)  IPR002130  Peptidyl-prolyl cis-trans isomerase, cyclophilin-type ","AT1G26940",NA,"peptidyl-prolyl cis-trans isomerase cyclophilin-type family protein; similar to peptidyl-prolyl cis-trans isomerase cyclophilin-type family protein [Arabidopsis thaliana] (TAIR:AT3G44600.1); similar to 51434 (GB:AAD14500.1); contains InterPro domain Peptidyl-prolyl cis-trans isomerase, cyclophilin type; (InterPro:IPR002130)",79.19,221,8e-100,359,95.19650655
"22","Solyc01g010710.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Solyc01g014280.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
