"","ITAG","SGN_annotation","AGI","symbol","gene_name","X..identity","alignment.length","e.value","bit.score","percent.query.align"
"1","Solyc01g006260.2.1","Ribonuclease P/MRP protein subunit POP5 (AHRD V1 **** POP5_HUMAN); contains Interpro domain(s)  IPR002759  Ribonuclease P-related ","AT1G04635","EMB1687","EMB1687 (EMBRYO DEFECTIVE 1687); ribonuclease P; Identical to Probable ribonuclease P protein subunit 2 (EC 3.1.26.5) [Arabidopsis Thaliana] (GB:Q6AWV1;GB:O23021); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:AAV67833.1); similar to Os04g0295100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001052398.1); similar to OSJNBa0041M21.1 [Oryza sativa (japonica cultivar-group)] (GB:CAD40443.2); contains InterPro domain Ribonuclease P-related protein; (InterPro:IPR002759)",61.38,145,4e-48,186,98.62068966
"2","Solyc01g079740.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Solyc01g080770.2.1","Receptor like kinase, RLK","AT4G20270","BAM3","Encodes a CLAVATA1-related receptor kinase-like protein required for both shoot and flower meristem function.  It has a broad expression pattern and is involved in vascular strand development in the leaf, control of leaf shape, size and symmetry, male gametophyte development and ovule specification and function.",62.56,967,0,1149,96.77419355
"4","Solyc01g091040.2.1","Cysteine-rich repeat secretory protein 15 (AHRD V1 ***- CRR15_ARATH); contains Interpro domain(s)  IPR002902  Protein of unknown function DUF26 ","AT3G60720","PDLP8","receptor-like protein kinase-related; similar to 33 kDa secretory protein-related [Arabidopsis thaliana] (TAIR:AT2G01660.1); similar to Os04g0537800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001053427.1); similar to receptor-like protein kinase-like [Oryza sativa (japonica cultivar-group)] (GB:BAD25786.1); contains InterPro domain Protein of unknown function DUF26; (InterPro:IPR002902)",54.86,257,4e-56,214,84.66666667
"5","Solyc01g091920.2.1","Subtilisin-like protease (AHRD V1 **-- A9XG40_TOBAC); contains Interpro domain(s)  IPR015500  Peptidase S8, subtilisin-related ","AT1G01900","ATSBT1.1","subtilase family protein; similar to subtilase family protein [Arabidopsis thaliana] (TAIR:AT5G51750.1); similar to ARA12, subtilase [Arabidopsis thaliana] (TAIR:AT5G67360.1); similar to Orn/DAP/Arg decarboxylase 2; Protease-associated PA; Proteinase inhibitor I9, subtilisin propeptide [Medicago truncatula] (GB:ABE87035.1); similar to OSIGBa0147H17.8 [Oryza sativa (indica cultivar-group)] (GB:CAH66960.1); contains InterPro domain Protease-associated PA; (InterPro:IPR003137); contains InterPro domain Peptidase S8 and S53, subtilisin, kexin, sedolisin; (InterPro:IPR000209); contains InterPro domain Proteinase inhibitor I9, subtilisin propeptide; (InterPro:IPR010259); contains InterPro domain Proteinase inhibitor, propeptide; (InterPro:IPR009020)",59.08,699,0,789,91.43610013
"6","Solyc01g106690.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Solyc01g107370.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Solyc01g108530.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Solyc01g111840.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Solyc02g072440.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Solyc02g081340.2.1","Glutathione S-transferase (AHRD V1 **** O24261_PETHY); contains Interpro domain(s)  IPR004046  Glutathione S-transferase, C-terminal ","AT3G03190","ATGSTF11","Encodes glutathione transferase belonging to the phi class of GSTs. Naming convention according to Wagner et al. (2002).",51.66,211,2e-63,239,90.90909091
"12","Solyc02g083860.2.1","Flavanone 3-hydroxylase (AHRD V1 ***- A9ZMI9_TOBAC); contains Interpro domain(s)  IPR005123  Oxoglutarate and iron-dependent oxygenase ","AT3G51240","F3'H","Encodes flavanone 3-hydroxylase that is coordinately expressed with chalcone synthase and chalcone isomerases. Regulates flavonoid biosynthesis.",80.39,362,4e-174,607,99.44903581
