"","ITAG","SGN_annotation","AGI","symbol","gene_name","X..identity","alignment.length","e.value","bit.score","percent.query.align"
"1","Solyc00g012430.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Solyc00g323130.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Solyc01g058320.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Solyc01g058670.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Solyc01g079880.2.1","Asparagine synthetase (AHRD V1 *--- Q9ZST6_ARATH)","AT5G19140","AILP1","auxin/aluminum-responsive protein, putative; similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G43830.1); similar to aluminum-induced [Brassica napus] (GB:BAA25999.1); contains domain ASPARAGINE SYNTHETASE (PTHR11772); contains domain no description (G3D.3.60.20.10); contains domain N-terminal nucleophile aminohydrolases (Ntn hydrolases) (SSF56235)",79.83,233,6e-112,399,97.89029536
"6","Solyc01g080580.2.1","Inosine-uridine preferring nucleoside hydrolase family protein (AHRD V1 **** D7LYI5_ARALY); contains Interpro domain(s)  IPR001910  Inosine/uridine-preferring nucleoside hydrolase ","AT5G18860",NA,"inosine-uridine preferring nucleoside hydrolase family protein; similar to inosine-uridine preferring nucleoside hydrolase family protein [Arabidopsis thaliana] (TAIR:AT5G18890.1); similar to putative inosine-uridine preferring nucleoside hydrolase [Oryza sativa (japonica cultivar-group)] (GB:AAT38028.1); similar to hypothetical protein [Cleome spinosa] (GB:ABD96887.1); similar to putative inosine-uridine preferring nucleoside hydrolase [Oryza sativa (japonica cultivar-group)] (GB:AAT38027.1); contains InterPro domain Inosine/uridine-preferring nucleoside hydrolase; (InterPro:IPR001910)",58.23,857,0,936,95.06781751
"7","Solyc01g088250.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Solyc01g090970.2.1","Cortical cell-delineating protein (AHRD V1 **-- B6UGA2_MAIZE); contains Interpro domain(s)  IPR013770  Plant lipid transfer protein and hydrophobic protein, helical ","AT4G00165",NA,"protease inhibitor/seed storage/lipid transfer protein (LTP) family protein; similar to protease inhibitor/seed storage/lipid transfer protein (LTP) family protein [Arabidopsis thaliana] (TAIR:AT2G45180.1); similar to Plant lipid transfer/seed storage/trypsin-alpha amylase inhibitor [Medicago truncatula] (GB:ABE84488.1); contains InterPro domain Plant lipid transfer/seed storage/trypsin-alpha amylase inhibitor; (InterPro:IPR003612)",62.5,96,6e-32,132,76.42276423
"9","Solyc01g096260.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Solyc01g105680.2.1","Phototropic-responsive NPH3 family protein (AHRD V1 **-- D7KEU3_ARALY); contains Interpro domain(s)  IPR004249  NPH3 ","AT5G64330","JK218","Involved in blue light response signaling pathway; interacts with the blue light photoreceptor NPH1.Null mutations abolish phototrophic responses of etiolated seedlings to low fluence blue light.  Protein contains multiple protein-protein interaction domains.",70.68,723,0,955,96.86567164
