"Row.names"	"logFC"	"logCPM"	"PValue"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005070.1.1"	-2.67184131665504	3.84443642132485	0.000426043351122591	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006470.1.1"	-5.54566141921574	11.8307913781893	3.44019775278807e-13	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006680.1.1"	-5.59666182594354	12.5944480748377	2.2633492517598e-13	"Plant senescence-associated protein (Fragment) (AHRD V1 *-*- D7PDP5_9HYPO)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006690.2.1"	-5.58108793633517	8.08599092087785	7.81997395906715e-13	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g007060.2.1"	-2.04707224749876	2.57083228727486	0.0139534351739509	"Serine/threonine kinase-like protein ABC1063 (AHRD V1 **** Q1KMP8_HORVD); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g007090.2.1"	1.55937216632311	4.21979160420868	0.0229457330650226	"Multi-pass transmembrane protein (AHRD V1 *--- Q5CMR0_CRYHO); contains Interpro domain(s)  IPR019328  GPI-GlcNAc transferase complex, PIG-H component "	"AT4G35530"	NA	"phosphatidylinositolglycan-related; similar to Os05g0165400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001054745.1); similar to Os01g0166400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001042115.1); contains domain gb def: Hypothetical protein (PTHR15231:SF1); contains domain FAMILY NOT NAMED (PTHR15231)"	55.68	185	4e-51	197	96.75675676
"Solyc00g008580.1.1"	-5.98017206140007	7.85145351653077	6.20939550328608e-14	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009760.2.1"	-5.09244834692634	10.8064517039456	9.04124930048342e-12	"Cytochrome P450 monooxygenase (Fragment) (AHRD V1 *-*- Q6T4Q1_PYRCO)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010530.1.1"	-5.70672122924827	6.34586500035255	1.59842187063305e-12	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011150.1.1"	-6.11146226955732	9.45991035328314	1.04971792264088e-14	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
