"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g010770.1.1"	-3.26307795320719	4.0038735241193	1.60333560649942e-06	0.000228650233265059	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g019970.2.1"	-2.66150234659335	6.54127531068886	2.65003920738943e-06	0.000352298008867102	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g023580.1.1"	-2.7612855684312	5.33632217514157	2.74123100453971e-06	0.000358451577014995	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g072100.2.1"	-3.10218990155765	4.18520345150901	8.09778756743233e-07	0.000132322909969074	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g085070.2.1"	-4.44214871517555	7.87186414099158	9.88920114092038e-14	2.21616997568026e-10	"Squalene monooxygenase (AHRD V1 ***- Q506K3_DATIN); contains Interpro domain(s)  IPR013698  Squalene epoxidase "	"AT4G37760"	"SQE3"	"squalene monooxygenase, putative / squalene epoxidase, putative; similar to XF1, oxidoreductase [Arabidopsis thaliana] (TAIR:AT1G58440.1); similar to squalene monooxygenase, putative / squalene epoxidase, putative [Arabidopsis thaliana] (TAIR:AT2G22830.1); similar to squalene monooxygenase [Datura innoxia] (GB:AAY22200.1); similar to squalene monooxygenase 2 [Medicago truncatula] (GB:CAD23248.1); similar to putative squalene epoxidase [Lycopersicon esculentum] (GB:AAQ13595.1); contains InterPro domain NAD-binding site; (InterPro:IPR000205); contains InterPro domain Squalene epoxidase; (InterPro:IPR013698); contains InterPro domain FAD dependent oxidoreductase; (InterPro:IPR006076); contains InterPro domain Aromatic-ring hydroxylase; (InterPro:IPR003042)"	81.45	442	0	753	95.04310345
"Solyc00g121730.1.1"	-2.33858737271742	4.69295561202628	8.52667808407422e-05	0.00607990905022147	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g131710.1.1"	-2.10380094672103	6.03259899685618	0.000157997222441319	0.00968165011108194	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g166690.1.1"	-2.39769568014337	3.07917741983483	0.000870944834857697	0.0380867170387266	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g005280.2.1"	-2.49794957841194	5.41561247943414	3.74515392596013e-05	0.00304405334904334	"SEC14 cytosolic factor (AHRD V1 **-- B2W8N2_PYRTR); contains Interpro domain(s)  IPR001251  Cellular retinaldehyde-binding/triple function, C-terminal "	"AT1G14820"	NA	"SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein; similar to SEC14 cytosolic factor, putative / phosphoglyceride transfer protein, putative [Arabidopsis thaliana] (TAIR:AT1G01630.1); similar to Cellular retinaldehyde binding/alpha-tocopherol transport; Cellular retinaldehyde-binding/triple function, N-terminal [Medicago truncatula] (GB:ABE80207.1); contains InterPro domain Phosphatidylinositol transfer protein-like, N-terminal; (InterPro:IPR011074); contains InterPro domain Cellular retinaldehyde-binding/triple function, C-terminal; (InterPro:IPR001251)"	63.18	239	4e-91	330	98.34024896
"Solyc01g006110.2.1"	-2.14437385353608	7.58950196464906	0.000107570624907323	0.00724231928292347	"PP2A regulatory subunit TAP46 (AHRD V1 **-- B6TVR5_MAIZE); contains Interpro domain(s)  IPR007304  TAP42-like protein "	"AT5G53000"	"TAP46"	"PP2A-associated protein with a possible function in the chilling response"	71.11	405	2e-133	472	99.50738916
"Solyc01g007880.2.1"	-2.43969353798321	4.64562180607649	4.53603674343178e-05	0.003593778201728	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g008800.1.1"	-3.15981308127287	4.56595771564865	4.23573474092465e-07	7.99588100263885e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g008930.2.1"	-3.61831187252869	5.66354029236381	2.51518343418695e-09	9.86392063302266e-07	"Phycoerythrobilin ferredoxin oxidoreductase (AHRD V1 **** Q6E5A3_MAIZE); contains Interpro domain(s)  IPR009249  Ferredoxin-dependent bilin reductase "	"AT3G09150"	"ATHY2"	"Required for biosynthesis of the tetrapyrrole phytochrome chromophore phytochromobilin.  Encodes phytochromobilin synthase, a ferredoxin-dependent biliverdin reductase.  It is necessary for coupling the expression of some nuclear genes to the functional state of the chloroplast."	60.92	284	5e-106	381	82.50728863
"Solyc01g011450.1.1"	-5.0029147591623	2.89075868767943	6.71581823316765e-07	0.000115770374311759	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g014280.2.1"	2.40198802756547	3.60119518156736	0.000996254784693923	0.0414542408686832	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g016950.1.1"	-2.06141630417236	4.45224308702763	0.000508786357563133	0.0248639613429684	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g017330.1.1"	-2.47934160793527	5.57966599269651	1.39793388175922e-05	0.0013879360001998	"Photosystem I P700 chlorophyll a apoprotein A1 (AHRD V1 ***- D3WCE1_NEROL); contains Interpro domain(s)  IPR001280  Photosystem I psaA and psaB "	"ATCG00350"	"PSAA"	"Encodes psaA protein comprising the reaction center for photosystem I along with psaB protein; hydrophobic protein encoded by the chloroplast genome."	59.46	185	4e-52	199	98.56115108
