"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005840.2.1"	3.21141534902236	7.67207959100455	7.76853913347458e-06	0.00104861405910597	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006800.2.1"	2.84673342415404	9.33636322741497	3.19724964016902e-05	0.00338014126294232	"Transaldolase (AHRD V1 ***- Q9FVH1_SOLLC); contains Interpro domain(s)  IPR014634  Transaldolase, bacterial/plant type "	"AT5G13420"	NA	"transaldolase, putative; similar to transaldolase [Solanum tuberosum] (GB:AAB54016.1); similar to transaldolase-like protein [Solanum tuberosum] (GB:ABB17002.1); similar to transaldolase [Lycopersicon esculentum] (GB:AAG16981.1); contains InterPro domain Transaldolase; (InterPro:IPR001585); contains InterPro domain Transaldolase subfamily; (InterPro:IPR004732)"	80.83	412	0	658	93.83561644
"Solyc00g020040.1.1"	2.32391653952003	9.6056399157634	0.000535880085094713	0.0355326102037802	"Cytochrome c biogenesis (Fragment) (AHRD V1 ***- A4KXV6_9ROSI); contains Interpro domain(s)  IPR003544  Cytochrome c-type biogenesis protein CcmB "	"ATMG00110"	"CCB206"	"Encodes a mitochondria-encoded cytochrome c biogenesis protein."	94.66	206	7e-87	316	99.03381643
"Solyc00g082550.1.1"	2.65721947306336	7.63364126701394	0.00019239891512193	0.0157226313449369	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g005850.1.1"	3.02565346780112	5.65601096094059	0.00032196870364599	0.023289583070431	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g006400.2.1"	4.69816682438695	11.2164533039626	9.58997870706549e-11	8.52831165255388e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g006990.2.1"	2.97895968165267	8.42613811818123	2.20139429524282e-05	0.00256005222734469	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g007230.2.1"	4.31338370801579	6.43318459978288	5.67495046772548e-08	1.99520700397846e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g007250.2.1"	4.34485293741697	7.82913012314785	9.84672479572838e-09	4.51099349884308e-06	"U3 small nucleolar ribonucleoprotein protein IMP4 (AHRD V1 ***- D0N3A6_PHYIN); contains Interpro domain(s)  IPR007109  Brix domain "	"AT1G63780"	"IMP4"	"Small nucleolar ribonucleoprotein protein involved in ribosomal RNA processing. Located in nucleolus and cajal bodies."	77.89	294	8e-137	483	99.31972789
"Solyc01g007640.2.1"	2.26880173019123	10.9917879658675	0.000548945129129259	0.0360824020094615	"Ycf2 (AHRD V1 ***- D2KLP5_OLEEU); contains Interpro domain(s)  IPR008543  Chloroplast Ycf2 "	"ATCG01280"	"YCF2.2"	"Identical to Protein ycf2 (ycf2-B) [Arabidopsis Thaliana] (GB:P56786); similar to hypothetical chloroplast RF2 [Vitis vinifera] (GB:YP_567121.1); similar to Hypothetical protein [Gossypium barbadense] (GB:BAF41290.1); similar to hypothetical chloroplast RF2 [Gossypium hirsutum] (GB:YP_538978.1); contains InterPro domain Chloroplast Ycf2; (InterPro:IPR008543); contains InterPro domain AAA ATPase; (InterPro:IPR003593); contains InterPro domain AAA ATPase, central region; (InterPro:IPR003959)"	87.1	2310	0	3842	99.91224221
