ITAG	logFC	logCPM	PValue	FDR	SGN_annotation	AGI	symbol	gene_name	X..identity	alignment.length	e.value	bit.score	percent.query.align
Solyc00g014800.1.1	-3.695969292	7.614454726	6.77E-06	0.004506979	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc00g112190.2.1	-4.574306214	6.152170201	4.82E-07	0.000783909	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g005880.1.1	-4.113156835	5.340260992	5.04E-06	0.003846369	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g008920.2.1	3.998837959	5.299038341	7.18E-05	0.020232279	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g009670.2.1	2.935823964	6.419696022	0.000129293	0.030538086	CCA-adding enzyme (AHRD V1 *-*- CCA_STAES); contains Interpro domain(s)  IPR002646  Polynucleotide adenylyltransferase region 	AT5G23690	NA	polynucleotide adenylyltransferase family protein; similar to polynucleotide adenylyltransferase family protein / RNA recognition motif (RRM)-containing protein [Arabidopsis thaliana] (TAIR:AT3G48830.1); similar to Os03g0131400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001048863.1); similar to Putative poly(A) polymerase [Oryza sativa (japonica cultivar-group)] (GB:AAM22707.1); similar to Os04g0395900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001052662.1); contains InterPro domain Nucleotidyltransferase/Poly(A) polymerase; (InterPro:IPR012277); contains InterPro domain Polynucleotide adenylyltransferase region; (InterPro:IPR002646)	62.91	461	7.00E-163	570	88.73786408
Solyc01g014280.2.1	5.674627005	5.559447664	1.61E-06	0.001961427	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g014290.1.1	7.040365922	4.07496197	6.57E-06	0.004506979	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g034160.1.1	-2.944492326	6.572060151	0.000229619	0.04427565	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g095090.2.1	-3.371223501	6.002423187	4.19E-05	0.014594558	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g095460.2.1	-3.270556122	5.750792114	0.000192528	0.04086054	"G-box binding factor 3 (AHRD V1 **** D7LDY1_ARALY); contains Interpro domain(s)  IPR012900  G-box binding, MFMR "	AT2G46270	GBF3	"encodes a bZIP G-box binding protein whose expression is induced by ABA. It has been shown to bind to Adh that contains the G-box and is induced by cold and water deprivation. GBF3 has been shown to be expressed mostly in the root and dark-grown leaves. GBF3 can act as homodimers and as heterodimers with GFB1, GBF2 and GBF4. In addition, GBF3¡¯s DNA binding activity is enhanced by GIP1, GPRI1 and GPRI2."	50.59	423	9.00E-93	337	99.52267303
Solyc01g096710.2.1	-3.12747281	6.867907069	6.39E-05	0.018350375	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g098240.1.1	3.004150501	9.02846095	0.000165332	0.03668374	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g104790.2.1	-3.465679954	5.445489393	5.57E-05	0.017308237	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g105690.2.1	6.250957179	5.824012806	5.92E-07	0.000867006	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc01g109650.2.1	3.55608493	6.130234042	3.02E-05	0.011790331	"Receptor like kinase, RLK"	AT2G16250	NA	"leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT4G39270.1); similar to Os03g0724300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051121.1); similar to Os07g0134600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001058843.1); similar to putative receptor-like protein kinase [Oryza sativa (japonica cultivar-group)] (GB:AAP68881.1); contains InterPro domain Serine/threonine protein kinase; (InterPro:IPR002290); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Leucine-rich repeat, typical subtype; (InterPro:IPR003591); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Tyrosine protein kinase; (InterPro:IPR001245); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090)"	58.14	817	0	803	89.00226757
Solyc02g021700.2.1	-3.887678313	5.367071471	1.59E-05	0.007708128	"Alpha N-terminal protein methyltransferase 1 (AHRD V1 **** NTM1_ARATH); contains Interpro domain(s)  IPR008576  Protein of unknown function DUF858, methyltransferase-like "	AT5G44450	NA	"similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:AAK09232.1); contains InterPro domain SAM (and some other nucleotide) binding motif; (InterPro:IPR000051); contains InterPro domain Generic methyltransferase; (InterPro:IPR001601); contains InterPro domain Protein of unknown function DUF858, methyltransferase-like; (InterPro:IPR008576)"	67.91	187	3.00E-73	271	80.43478261
Solyc02g038740.2.1	3.481781102	5.359339244	2.71E-05	0.011034374	"3-hydroxy-3-methylglutaryl coenzyme A reductase (AHRD V1 **** Q9FS01_SOLTU); contains Interpro domain(s)  IPR004554  Hydroxymethylglutaryl-CoA reductase, class I, catalytic "	AT1G76490	HMG1	"Encodes a 3-hydroxy-3-methylglutaryl coenzyme A reductase, which is involved in melavonate biosynthesis and performs the first committed step in isoprenoid biosynthesis. Expression is activated in dark in leaf tissue but not controlled by light in the root (confine"	67.31	621	0	815	99.35587762
Solyc02g065030.1.1	-4.092769152	5.640875881	1.99E-06	0.002243987	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g065610.2.1	3.087068461	5.650221555	0.000107536	0.027150908	"Leaf senescence protein-like (AHRD V1 ***- Q8RV74_ORYSJ); contains Interpro domain(s)  IPR004253  Protein of unknown function DUF231, plant "	AT5G15900	TBL19	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G15890.1); similar to hypothetical protein [Cleome spinosa] (GB:ABD96865.1); contains InterPro domain Protein of unknown function DUF231, plant; (InterPro:IPR004253)"	57.88	368	2.00E-130	462	78.07017544
Solyc02g080170.1.1	-4.878971137	4.018905202	3.94E-05	0.014078211	NA	NA	NA	NA	NA	NA	NA	NA	NA
Solyc02g082210.2.1	-4.763747142	4.685145273	9.24E-06	0.00588139	Genomic DNA chromosome 3 P1 clone MOJ10 (AHRD V1 ***- Q9LSE0_ARATH)	AT3G26950	NA	similar to Os11g0507400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001067953.1)	59.55	534	0	638	96.53284672
Solyc02g083660.1.1	3.314630143	5.425050975	0.000200382	0.041329494	NA	NA	NA	NA	NA	NA	NA	NA	NA
