"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc01g005000.2.1"	3.3454473519502	3.94190044387059	0.000715298534239883	0.0438662632739004	"Glutamate decarboxylase (AHRD V1 ***- Q1I1D8_CITSI); contains Interpro domain(s)  IPR010107  Glutamate decarboxylase "	"AT2G02010"	"GAD4"	"glutamate decarboxylase, putative; similar to GAD (Glutamate decarboxylase 1), calmodulin binding [Arabidopsis thaliana] (TAIR:AT5G17330.1); similar to glutamate decarboxylase, putative [Arabidopsis thaliana] (TAIR:AT3G17760.1); similar to glutamate decarboxylase, putative [Arabidopsis thaliana] (TAIR:AT2G02000.1); similar to glutamate decarboxylase 4b [Brassica juncea] (GB:AAS79671.1); similar to glutamate decarboxylase 4a [Brassica juncea] (GB:AAS79670.1); similar to glutamate decarboxylase isozyme 1 [Nicotiana tabacum] (GB:AAC24195.1); contains InterPro domain Glutamate decarboxylase; (InterPro:IPR010107); contains InterPro domain Pyridoxal-dependent decarboxylase; (InterPro:IPR002129)"	82.42	495	0	816	99.58762887
"Solyc01g005790.1.1"	3.45170469558213	4.79618881468344	7.60699288333027e-05	0.00948811197091991	"Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7KKP4_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat "	"AT1G10330"	NA	"pentatricopeptide (PPR) repeat-containing protein; similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT5G66520.1); similar to Pentatricopeptide repeat [Medicago truncatula] (GB:ABE89006.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990)"	50.22	458	3e-124	442	99.34640523
"Solyc01g073750.2.1"	2.9145597987206	8.23566365068339	8.51966262171278e-05	0.0103630078071379	"Glucan synthase like 3 (AHRD V1 ***- D8R8I5_SELML); contains Interpro domain(s)  IPR003440  Glycosyl transferase, family 48 "	"AT1G05570"	"ATGSL06"	"Encodes a callose synthase 1 catalytic subunit . Member of Glycosyltransferase Family- 48."	79.65	1808	0	2898	99.77765425
"Solyc01g081320.2.1"	3.36558880224856	5.05629465166041	5.20128392526947e-05	0.00725684207802928	"Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7M643_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat "	"AT5G27460"	NA	"pentatricopeptide (PPR) repeat-containing protein; similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT1G02150.1); similar to Tetratricopeptide-like helical [Medicago truncatula] (GB:ABD28679.1); similar to Os12g0527900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001066910.1); similar to Os02g0796400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001048388.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885)"	50.45	442	6e-124	441	81.31021195
"Solyc01g090390.1.1"	2.76083993952895	4.49269669731931	0.000852887937602959	0.0498127169271443	"Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7LBT2_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat "	"AT2G44880"	NA	"pentatricopeptide (PPR) repeat-containing protein; similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT3G29230.1); similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT1G08070.1); similar to Asp/Glu racemase [Medicago truncatula] (GB:ABE92336.1); similar to Asp/Glu racemase; Polynucleotidyl transferase, Ribonuclease H fold [Medicago truncatula] (GB:ABE89255.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990)"	54.75	537	0	638	89.76510067
"Solyc01g094660.2.1"	2.668024365584	4.97606658450767	0.000668180838903123	0.0423045042612866	"Receptor-like protein kinase (AHRD V1 *-*- Q9FZP2_ARATH); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase "	"AT2G45910"	NA	"protein kinase family protein / U-box domain-containing protein; similar to protein kinase family protein / U-box domain-containing protein [Arabidopsis thaliana] (TAIR:AT3G49060.1); similar to Protein kinase; U box [Medicago truncatula] (GB:ABD32822.1); contains InterPro domain Serine/threonine protein kinase; (InterPro:IPR002290); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271); contains InterPro domain U box; (InterPro:IPR003613)"	50.53	843	0	822	93.96648045
"Solyc01g095950.1.1"	4.08338823202384	6.60081669121649	2.68802819900576e-07	0.000172010430578117	"DNA-directed RNA polymerase subunit beta (AHRD V1 ***- B1NWE2_MANES); contains Interpro domain(s)  IPR015712  DNA-directed RNA polymerase, subunit 2 "	"ATCG00190"	"RPOB"	"Chloroplast DNA-dependent RNA polymerase B subunit. The transcription of this gene is regulated by a nuclear encoded RNA polymerase. This gene has been transferred to mitochondrial genome during crucifer evolution."	76.29	97	3e-34	139	81.89655172
"Solyc01g096050.2.1"	3.39865167263399	6.38714281766752	6.62978300192457e-05	0.00871224519842195	"Transcription factor (AHRD V1 *--* Q9M4A8_MAIZE); contains Interpro domain(s)  IPR011598  Helix-loop-helix DNA-binding "	"AT1G01260"	NA	"basic helix-loop-helix (bHLH) family protein; similar to basic helix-loop-helix (bHLH) family protein [Arabidopsis thaliana] (TAIR:AT2G46510.1); similar to Os01g0235700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001042524.1); similar to bHLH protein -like [Oryza sativa (japonica cultivar-group)] (GB:BAD81265.1); contains InterPro domain Helix-loop-helix DNA-binding; (InterPro:IPR011598); contains InterPro domain Basic helix-loop-helix dimerisation region bHLH; (InterPro:IPR001092)"	51.01	643	3e-164	575	99.669967
"Solyc01g096210.2.1"	2.58626379416569	5.15280604727064	0.000647253889892146	0.0421101741730651	"Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7M846_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat "	"AT5G16420"	NA	"pentatricopeptide (PPR) repeat-containing protein; similar to MEE40 (maternal effect embryo arrest 40), binding [Arabidopsis thaliana] (TAIR:AT3G53700.1); similar to Putative indole-3-acetate beta-glucosyltransferase [Oryza sativa (japonica cultivar-group)] (GB:AAM15782.1); similar to Os06g0125300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001056649.1); similar to Os03g0597200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001050605.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990)"	59.4	500	0	632	88.5509839
"Solyc01g096280.1.1"	3.10269437197412	3.99566160309162	0.000595228174267668	0.0405581864299609	"Cytochrome P450"	"AT2G46660"	"CYP78A6"	"member of CYP78A"	65.62	541	0	695	98.7012987
