LC genes,Arabidopsis orthologue,Gene_name
Solyc08g065420,AT4G32980,ARABIDOPSIS HOMEOBOX 1
Solyc08g081400,AT5G41410,BEL 1
Solyc06g074120,AT2G35940,BEL1-LIKE HOMEODOMAIN 1
Solyc11g068950,AT2G35940,BEL1-LIKE HOMEODOMAIN 1
Solyc01g007070,AT2G35940,BEL1-LIKE HOMEODOMAIN 1
Solyc04g080790,AT1G75410,BEL1-LIKE HOMEODOMAIN 3
Solyc01g109980,AT4G34610,BEL1-LIKE HOMEODOMAIN 6
Solyc11g069890,AT2G27990,BEL1-LIKE HOMEODOMAIN 8
Solyc09g011380,AT5G02030,BEL1-LIKE HOMEODOMAIN 9
Solyc10g086640,AT5G02030,BEL1-LIKE HOMEODOMAIN 9
Solyc04g080780,AT1G75430,BEL1-LIKE HOMEODOMAIN 11
Solyc04g077210,AT4G08150,BREVIPEDICELLUS
Solyc03g112740,AT1G70510,KNAT2
Solyc01g100510,AT1G23380,KNAT6
Solyc05g005090,AT1G23380,KNAT6
Solyc06g072480,AT1G14760,KNATM
Solyc02g089940,AT4G36870,SAWTOOTH 1
Solyc04g079830,AT4G36870,SAWTOOTH 1
Solyc02g065490,AT2G23760,SAWTOOTH 2
Solyc02g081120,AT1G62360,SHOOT MERISTEMLESS
Solyc02g085930,AT4G33870,Arabidopsis thaliana peroxidase12a
Solyc03g120800,AT4G33870,Arabidopsis thaliana peroxidase12a
Solyc02g077890,AT5G44280,ARABIDOPSIS THALIANA RING 1A
Solyc07g053800,AT5G44280,ARABIDOPSIS THALIANA RING 1A
Solyc06g083060,AT1G68310,AS1/2 ENHANCER7
Solyc08g076120,AT1G68310,AS1/2 ENHANCER7
Solyc09g010840,AT2G37630,ASYMMETRIC LEAVES 1
Solyc00g017220,AT2G37630,ASYMMETRIC LEAVES 1
Solyc11g008830,AT1G65620,ASYMMETRIC LEAVES 2
Solyc03g063140,AT1G65620,ASYMMETRIC LEAVES 2
Solyc02g093190,AT2G23380,CURLY LEAF
Solyc03g044380,AT2G23380,CURLY LEAF
Solyc02g093200,AT2G23380,CURLY LEAF
Solyc07g064090,AT3G20740,FERTILIZATION-INDEPENDENT ENDOSPERM
Solyc07g056670,AT1G78440,GIBBERELLIN 2-OXIDASE 1
Solyc10g007570,AT1G78440,GIBBERELLIN 2-OXIDASE 1
Solyc07g061720,AT1G30040,GIBBERELLIN 2-OXIDASE 2
Solyc07g061730,AT1G30040,GIBBERELLIN 2-OXIDASE 2
Solyc02g070430,AT1G30040,GIBBERELLIN 2-OXIDASE 2
Solyc08g016660,AT1G30040,GIBBERELLIN 2-OXIDASE 2
Solyc10g007560,AT1G30040,GIBBERELLIN 2-OXIDASE 2
Solyc01g058030,AT1G47990,GIBBERELLIN 2-OXIDASE 4
Solyc01g058040,AT1G02400,GIBBERELLIN 2-OXIDASE 6
Solyc01g079200,AT1G02400,GIBBERELLIN 2-OXIDASE 6
Solyc05g053340,AT1G02400,GIBBERELLIN 2-OXIDASE 6
Solyc02g080120,AT4G21200,GIBBERELLIN 2-OXIDASE 8
Solyc04g008670,AT4G21200,GIBBERELLIN 2-OXIDASE 8
Solyc10g005360,AT4G21200,GIBBERELLIN 2-OXIDASE 8
Solyc06g035530,AT4G25420,GIBBERELLIN 20-OXIDASE 1
Solyc03g006880,AT4G25420,GIBBERELLIN 20-OXIDASE 1
Solyc01g093980,AT4G25420,GIBBERELLIN 20-OXIDASE 1
Solyc09g009110,AT4G25420,GIBBERELLIN 20-OXIDASE 1
Solyc09g018410,AT4G25420,GIBBERELLIN 20-OXIDASE 1
Solyc09g018420,AT4G25420,GIBBERELLIN 20-OXIDASE 1
Solyc11g072310,AT4G25420,GIBBERELLIN 20-OXIDASE 1
Solyc06g050110,AT5G51810,GIBBERELLIN 20-OXIDASE 2
Solyc10g045690,AT5G51810,GIBBERELLIN 20-OXIDASE 2
Solyc10g046820,AT5G51810,GIBBERELLIN 20-OXIDASE 2
Solyc11g013360,AT5G51810,GIBBERELLIN 20-OXIDASE 2
Solyc09g042210,AT5G07200,GIBBERELLIN 20-OXIDASE 3
Solyc10g045770,AT5G07200,GIBBERELLIN 20-OXIDASE 3
