"itag"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005870.1.1"	2.21836198738387	2.98682939598698	8.93055410876985	0.00280439254726521	0.0292039938651547	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g007180.1.1"	3.41050798600351	1.58853215206645	9.94403466991291	0.001613714702306	0.0195378405856706	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009090.2.1"	-1.0085783256237	5.23809240901542	10.4385237515648	0.00123413870360162	0.0160064496113172	"Receptor like kinase, RLK"	"AT1G34110"	NA	"leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT3G24240.1); similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT5G48940.1); similar to ATP binding / protein serine/threonine kinase [Arabidopsis thaliana] (TAIR:AT5G56040.2); similar to putative Receptor-like protein kinase precursor [Oryza sativa (japonica cultivar-group)] (GB:BAD46328.1); similar to receptor protein kinase [Pinus sylvestris] (GB:CAC20842.1); similar to CLAVATA-like kinase [Triticum aestivum] (GB:CAJ19346.1); contains InterPro domain Serine/threonine protein kinase; (InterPro:IPR002290); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Leucine-rich repeat, typical subtype; (InterPro:IPR003591); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271); contains InterPro domain Leucine rich repeat, N-terminal; (InterPro:IPR013210)"	73.97	1064	0	1330	96.41873278
"Solyc00g010930.1.1"	4.18530500281371	1.77735623142527	9.8066414184666	0.00173882768760622	0.0205563518875383	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g024570.1.1"	2.84593927091943	1.52906468116816	7.68598350275592	0.00556513433130975	0.0480973990710974	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g042840.1.1"	2.15177470221234	2.37556715397483	8.76375946066741	0.00307275005626059	0.0311973350144689	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g072100.2.1"	2.82818482198021	3.15496256812379	23.0134150171514	1.60874896438524e-06	6.70851838387079e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g094550.1.1"	1.61870480555621	3.28796916593475	8.54741380372566	0.00346013466223347	0.0341834039700276	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g105340.1.1"	4.4577543652966	2.07372010995427	14.109958066241	0.000172428527201212	0.00333391953110335	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g112180.1.1"	3.0137485179925	2.05612305375671	9.25725308407894	0.00234564579636471	0.025853656414877	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g164680.1.1"	3.81671699728107	2.54531706938065	15.3586146301857	8.89145907733358e-05	0.00192113985982705	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g227860.1.1"	1.37590462100669	3.40707239792914	8.46913510228233	0.00361223143363707	0.0353560834262052	"UDP-glucosyltransferase (AHRD V1 ***- B3VI56_STERE); contains Interpro domain(s)  IPR002213  UDP-glucuronosyl/UDP-glucosyltransferase "	"AT2G22590"	NA	"glycosyltransferase family protein; similar to UDP-glucoronosyl/UDP-glucosyl transferase family protein [Arabidopsis thaliana] (TAIR:AT5G65550.1); similar to putative anthocyanidine rhamnosyl-transferase [Capsicum annuum] (GB:AAM12787.1); contains InterPro domain UDP-glucuronosyl/UDP-glucosyltransferase; (InterPro:IPR002213)"	55.68	458	2e-138	489	96.39065817
"Solyc00g229260.1.1"	3.84666180150938	1.68195830719236	11.9822182775464	0.000537106086136935	0.0084147842039598	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g316030.1.1"	3.60946692495033	1.6320075182107	10.9356094133734	0.00094333451292139	0.013008050515733	NA	NA	NA	NA	NA	NA	NA	NA	NA
