"","ITAG","SGN_annotation","AGI","symbol","gene_name","X..identity","alignment.length","e.value","bit.score","percent.query.align"
"1","Solyc01g008920.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Solyc01g009670.2.1","CCA-adding enzyme (AHRD V1 *-*- CCA_STAES); contains Interpro domain(s)  IPR002646  Polynucleotide adenylyltransferase region ","AT5G23690",NA,"polynucleotide adenylyltransferase family protein; similar to polynucleotide adenylyltransferase family protein / RNA recognition motif (RRM)-containing protein [Arabidopsis thaliana] (TAIR:AT3G48830.1); similar to Os03g0131400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001048863.1); similar to Putative poly(A) polymerase [Oryza sativa (japonica cultivar-group)] (GB:AAM22707.1); similar to Os04g0395900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001052662.1); contains InterPro domain Nucleotidyltransferase/Poly(A) polymerase; (InterPro:IPR012277); contains InterPro domain Polynucleotide adenylyltransferase region; (InterPro:IPR002646)",62.91,461,7e-163,570,88.73786408
"3","Solyc01g098240.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Solyc01g105690.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Solyc01g109650.2.1","Receptor like kinase, RLK","AT2G16250",NA,"leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT4G39270.1); similar to Os03g0724300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051121.1); similar to Os07g0134600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001058843.1); similar to putative receptor-like protein kinase [Oryza sativa (japonica cultivar-group)] (GB:AAP68881.1); contains InterPro domain Serine/threonine protein kinase; (InterPro:IPR002290); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Leucine-rich repeat, typical subtype; (InterPro:IPR003591); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Tyrosine protein kinase; (InterPro:IPR001245); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090)",58.14,817,0,803,89.00226757
"6","Solyc02g038740.2.1","3-hydroxy-3-methylglutaryl coenzyme A reductase (AHRD V1 **** Q9FS01_SOLTU); contains Interpro domain(s)  IPR004554  Hydroxymethylglutaryl-CoA reductase, class I, catalytic ","AT1G76490","HMG1","Encodes a 3-hydroxy-3-methylglutaryl coenzyme A reductase, which is involved in melavonate biosynthesis and performs the first committed step in isoprenoid biosynthesis. Expression is activated in dark in leaf tissue but not controlled by light in the root (confine",67.31,621,0,815,99.35587762
"7","Solyc02g065610.2.1","Leaf senescence protein-like (AHRD V1 ***- Q8RV74_ORYSJ); contains Interpro domain(s)  IPR004253  Protein of unknown function DUF231, plant ","AT5G15900","TBL19","similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G15890.1); similar to hypothetical protein [Cleome spinosa] (GB:ABD96865.1); contains InterPro domain Protein of unknown function DUF231, plant; (InterPro:IPR004253)",57.88,368,2e-130,462,78.07017544
"8","Solyc02g083660.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Solyc02g090720.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Solyc03g006900.1.1","Crinkler (CRN) family protein (AHRD V1 *-*- D0NJ10_PHYIN); contains Interpro domain(s)  IPR011009  Protein kinase-like ","AT5G51800",NA,"similar to gt-2-related [Arabidopsis thaliana] (TAIR:AT2G33550.1); similar to CRN-like CRN8 [Phytophthora infestans] (GB:AAY43402.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009)",51.44,935,0,856,91.10429448
