"ITAG"	"logFC"	"logCPM"	"PValue"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g006800.2.1"	2.90448958194678	9.23108058579771	0.000173455698360371	"Transaldolase (AHRD V1 ***- Q9FVH1_SOLLC); contains Interpro domain(s)  IPR014634  Transaldolase, bacterial/plant type "	"AT5G13420"	NA	"transaldolase, putative; similar to transaldolase [Solanum tuberosum] (GB:AAB54016.1); similar to transaldolase-like protein [Solanum tuberosum] (GB:ABB17002.1); similar to transaldolase [Lycopersicon esculentum] (GB:AAG16981.1); contains InterPro domain Transaldolase; (InterPro:IPR001585); contains InterPro domain Transaldolase subfamily; (InterPro:IPR004732)"	80.83	412	0	658	93.83561644
"Solyc00g020040.1.1"	2.07982541103902	9.55037908139704	0.0054521128583187	"Cytochrome c biogenesis (Fragment) (AHRD V1 ***- A4KXV6_9ROSI); contains Interpro domain(s)  IPR003544  Cytochrome c-type biogenesis protein CcmB "	"ATMG00110"	"CCB206"	"Encodes a mitochondria-encoded cytochrome c biogenesis protein."	94.66	206	7e-87	316	99.03381643
"Solyc00g021630.1.1"	1.84786531271682	7.77954556423889	0.0135399650889289	"NADH-ubiquinone oxidoreductase chain 6 (Fragment) (AHRD V1 ***- Q2PZB4_BRAOB); contains Interpro domain(s)  IPR001457  NADH:ubiquinone/plastoquinone oxidoreductase, chain 6 "	"ATMG00270"	"NAD6"	"NADH dehydrogenase subunit 6"	96.06	203	3e-103	370	92.66055046
"Solyc00g203660.1.1"	3.20270654256734	2.88133399285265	0.0054287033017353	"Ribulose bisphosphate carboxylase large chain (Fragment) (AHRD V1 ***- C9WX59_9GENT); contains Interpro domain(s)  IPR000685  Ribulose bisphosphate carboxylase, large subunit, C-terminal "	"ATCG00490"	"RBCL"	"large subunit of RUBISCO."	54.92	264	2e-72	268	97.96954315
"Solyc00g277510.1.1"	1.76627635328258	6.1798587445409	0.0229601854904885	"Photosystem Q(B) protein (AHRD V1 ***- Q95B48_PRUPE); contains Interpro domain(s)  IPR000484  Photosynthetic reaction centre, L/M "	"ATCG00020"	"PSBA"	"Encodes chlorophyll binding protein D1, a part of the photosystem II reaction center core"	91.04	67	4e-23	102	97.01492537
"Solyc01g005060.2.1"	2.24564716968825	4.56250037576315	0.00733129936331527	"Zinc finger protein (AHRD V1 *-*- Q764N7_MALDO); contains Interpro domain(s)  IPR007087  Zinc finger, C2H2-type "	"AT2G01940"	"ATIDD15"	"May be involved in an early event in shoot gravitropism such as gravity perception and/or a signaling process subsequent to amyloplast sedimentation as a putative transcription factor in gravity-perceptive cells."	55.61	374	4e-109	391	88.52941176
"Solyc01g005100.2.1"	3.25976633567678	5.07481094206697	0.00011496886993025	"Prolyl 3-hydroxylase 1 (AHRD V1 *--- P3H1_CHICK); contains Interpro domain(s)  IPR006620  Prolyl 4-hydroxylase, alpha subunit "	"AT1G68080"	NA	"oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors; similar to Os03g0238700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001049501.1); similar to hypothetical protein SwitDRAFT_3374 [Sphingomonas wittichii RW1] (GB:ZP_01607997.1); contains InterPro domain Prolyl 4-hydroxylase, alpha subunit; (InterPro:IPR006620)"	57.25	400	3e-119	425	98.01488834
"Solyc01g006090.2.1"	-2.85324816126834	6.6411318013165	0.000256856062130738	"rRNA processing protein Ebp2 (AHRD V1 **-- B6K460_SCHJY); contains Interpro domain(s)  IPR008610  Eukaryotic rRNA processing "	"AT3G22660"	NA	"rRNA processing protein-related; Identical to Probable rRNA-processing protein EBP2 homolog [Arabidopsis Thaliana] (GB:Q9LUJ5); similar to Os07g0475800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001059623.1); similar to Eukaryotic rRNA processing protein EBP2 [Medicago truncatula] (GB:ABE88182.1); contains InterPro domain Eukaryotic rRNA processing; (InterPro:IPR008610)"	65.89	258	5e-67	251	90.10600707
"Solyc01g006170.2.1"	-2.64476508158912	8.14808017876965	0.000638124954712441	"rRNA processing protein ebna1-binding protein-related (AHRD V1 *--* C4QG91_SCHMA); contains Interpro domain(s)  IPR008610  Eukaryotic rRNA processing "	"AT3G22660"	NA	"rRNA processing protein-related; Identical to Probable rRNA-processing protein EBP2 homolog [Arabidopsis Thaliana] (GB:Q9LUJ5); similar to Os07g0475800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001059623.1); similar to Eukaryotic rRNA processing protein EBP2 [Medicago truncatula] (GB:ABE88182.1); contains InterPro domain Eukaryotic rRNA processing; (InterPro:IPR008610)"	64.02	264	2e-69	259	90.31141869
"Solyc01g006360.2.1"	1.7978487150326	6.20022550494228	0.0178692453674166	"Glucan synthase like 7 (AHRD V1 ***- D8T771_SELML)"	"AT3G07160"	"ATGSL10"	"encodes a gene similar to callose synthase"	70.98	734	0	1031	94.89528796
"Solyc01g006690.2.1"	2.46787163238556	5.34512023474595	0.00197065817808277	"Unknown Protein (AHRD V1)"	"AT5G12900"	NA	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G12330.1); similar to Os08g0508100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001062195.1); similar to Peptidase M14, carboxypeptidase A [Medicago truncatula] (GB:ABE94280.1); similar to Os09g0488800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001063532.1)"	54.55	539	3e-152	535	86.53530378
"Solyc01g006860.2.1"	-1.52998489411331	4.89182903167016	0.0474789683201896	"Co-chaperone HscB-like protein (AHRD V1 ***- A8IK66_CHLRE); contains Interpro domain(s)  IPR001623  Heat shock protein DnaJ, N-terminal "	"AT5G06410"	NA	"DNAJ heat shock N-terminal domain-containing protein; similar to PREDICTED: similar to MGC82090 protein [Strongylocentrotus purpuratus] (GB:XP_796457.1); similar to Os12g0456200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001066729.1); contains InterPro domain HSC20, C-terminal oligomerisation; (InterPro:IPR009073); contains InterPro domain HSCB oligomerisation, C-terminal; (InterPro:IPR012895); contains InterPro domain Co-chaperone Hsc20; (InterPro:IPR004640); contains InterPro domain Heat shock protein DnaJ, N-terminal; (InterPro:IPR001623)"	58.85	209	1e-66	249	77.6119403
"Solyc01g007250.2.1"	4.70609330737278	7.60954904774138	3.56389779300979e-08	"U3 small nucleolar ribonucleoprotein protein IMP4 (AHRD V1 ***- D0N3A6_PHYIN); contains Interpro domain(s)  IPR007109  Brix domain "	"AT1G63780"	"IMP4"	"Small nucleolar ribonucleoprotein protein involved in ribosomal RNA processing. Located in nucleolus and cajal bodies."	77.89	294	8e-137	483	99.31972789
"Solyc01g007290.1.1"	1.62781588203838	5.25382043943359	0.040535069035012	"NAD(P)H-quinone oxidoreductase subunit J (AHRD V1 ***- NDHJ_TRIEI); contains Interpro domain(s)  IPR020396  NADH:ubiquinone oxidoreductase, 30 kDa subunit, conserved site  IPR001268  NADH:ubiquinone oxidoreductase, 30 kDa subunit "	"ATCG00420"	"NDHJ"	"Encodes NADH dehydrogenase subunit J.  Its transcription is increased upon sulfur depletion."	89.24	158	9e-82	298	98.74213836
"Solyc01g007330.2.1"	1.62449917134438	9.68986629763088	0.0275944047385464	"Ribulose bisphosphate carboxylase large chain (AHRD V1 ***- RBL_SOLLC); contains Interpro domain(s)  IPR000685  Ribulose bisphosphate carboxylase, large subunit, C-terminal "	"ATCG00490"	"RBCL"	"large subunit of RUBISCO."	93.49	476	0	901	99.37238494
"Solyc01g007520.2.1"	2.3621755620988	5.57590642508443	0.00276085312650286	"Photosystem II reaction center protein H (AHRD V1 ***- C6JT33_9MYRT); contains Interpro domain(s)  IPR001056  Photosystem II phosphoprotein PsbH "	"ATCG00710"	"PSBH"	"Encodes a 8 kD phosphoprotein that is a component of the photosystem II oxygen evolving core. Its exact molecular function has not been determined but it may play a role in mediating electron transfer between the secondary quinone acceptors, QA and QB, associated with the acceptor side of PSII."	93.15	73	8e-34	138	97.2972973
"Solyc01g007530.2.1"	2.1138497550819	9.09717015258671	0.00484982925845659	"Cytochrome b6 (AHRD V1 ***- B3TN79_BRADI); contains Interpro domain(s)  IPR005797  Cytochrome b/b6, N-terminal "	"ATCG00720"	"PETB"	"Encodes the cytochrome b(6) subunit of the cytochrome b6f complex."	98.58	212	3e-120	427	98.59813084
"Solyc01g007540.2.1"	2.33490325680884	5.73674987177345	0.00347687664177898	"Cytochrome b6-f complex subunit 4 (AHRD V1 ***- A1XFY6_NUPAD); contains Interpro domain(s)  IPR005870  Cytochrome b6/f complex, subunit IV "	"ATCG00730"	"PETD"	"A chloroplast gene encoding subunit IV of the cytochrome b6/f complex"	99.28	139	1e-74	274	98.57142857
