"","ITAG","SGN_annotation","AGI","symbol","gene_name","X..identity","alignment.length","e.value","bit.score","percent.query.align"
"1","Solyc00g014800.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Solyc00g112190.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Solyc01g005880.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Solyc01g095090.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Solyc01g095460.2.1","G-box binding factor 3 (AHRD V1 **** D7LDY1_ARALY); contains Interpro domain(s)  IPR012900  G-box binding, MFMR ","AT2G46270","GBF3","encodes a bZIP G-box binding protein whose expression is induced by ABA. It has been shown to bind to Adh that contains the G-box and is induced by cold and water deprivation. GBF3 has been shown to be expressed mostly in the root and dark-grown leaves. GBF3 can act as homodimers and as heterodimers with GFB1, GBF2 and GBF4. In addition, GBF3¡¯s DNA binding activity is enhanced by GIP1, GPRI1 and GPRI2.",50.59,423,9e-93,337,99.52267303
"6","Solyc01g096710.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Solyc01g104790.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Solyc02g021700.2.1","Alpha N-terminal protein methyltransferase 1 (AHRD V1 **** NTM1_ARATH); contains Interpro domain(s)  IPR008576  Protein of unknown function DUF858, methyltransferase-like ","AT5G44450",NA,"similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:AAK09232.1); contains InterPro domain SAM (and some other nucleotide) binding motif; (InterPro:IPR000051); contains InterPro domain Generic methyltransferase; (InterPro:IPR001601); contains InterPro domain Protein of unknown function DUF858, methyltransferase-like; (InterPro:IPR008576)",67.91,187,3e-73,271,80.43478261
"9","Solyc02g065030.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Solyc02g080170.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Solyc02g082210.2.1","Genomic DNA chromosome 3 P1 clone MOJ10 (AHRD V1 ***- Q9LSE0_ARATH)","AT3G26950",NA,"similar to Os11g0507400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001067953.1)",59.55,534,0,638,96.53284672
"12","Solyc03g123890.2.1","Calcium-transporting ATPase 1 (AHRD V1 ***- Q7XBH9_CERRI); contains Interpro domain(s)  IPR006408  ATPase, P-type, calcium-transporting, PMCA-type ","AT3G21180","ACA9","one of the type IIB calcium pump isoforms. encodes an autoinhibited Ca(2+)-ATPase that contains an N-terminal calmodulin binding autoinhibitory domain.",71.09,1062,0,1440,99.42748092
"13","Solyc04g008400.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Solyc04g011970.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Solyc05g026300.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Solyc06g036390.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Solyc06g070900.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Solyc06g072270.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Solyc07g045410.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Solyc07g055170.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Solyc07g062450.2.1","RAB3 GTPase activating protein subunit 2 (Non-catalytic) (AHRD V1 ***- A6H8V0_HUMAN)","AT3G14910",NA,"similar to Os09g0315800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001062848.1); similar to PREDICTED: similar to rGAP-iso [Gallus gallus] (GB:XP_419406.2); contains InterPro domain WD40-like; (InterPro:IPR011046)",71.58,461,0,681,99.56140351
