"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g085070.2.1"	-3.8803318018882	8.12173630173644	2.99682519605267e-06	0.00124567104939986	"Squalene monooxygenase (AHRD V1 ***- Q506K3_DATIN); contains Interpro domain(s)  IPR013698  Squalene epoxidase "	"AT4G37760"	"SQE3"	"squalene monooxygenase, putative / squalene epoxidase, putative; similar to XF1, oxidoreductase [Arabidopsis thaliana] (TAIR:AT1G58440.1); similar to squalene monooxygenase, putative / squalene epoxidase, putative [Arabidopsis thaliana] (TAIR:AT2G22830.1); similar to squalene monooxygenase [Datura innoxia] (GB:AAY22200.1); similar to squalene monooxygenase 2 [Medicago truncatula] (GB:CAD23248.1); similar to putative squalene epoxidase [Lycopersicon esculentum] (GB:AAQ13595.1); contains InterPro domain NAD-binding site; (InterPro:IPR000205); contains InterPro domain Squalene epoxidase; (InterPro:IPR013698); contains InterPro domain FAD dependent oxidoreductase; (InterPro:IPR006076); contains InterPro domain Aromatic-ring hydroxylase; (InterPro:IPR003042)"	81.45	442	0	753	95.04310345
"Solyc01g005280.2.1"	-3.79240208124922	5.42525041297766	1.3953751536881e-05	0.00423719619168927	"SEC14 cytosolic factor (AHRD V1 **-- B2W8N2_PYRTR); contains Interpro domain(s)  IPR001251  Cellular retinaldehyde-binding/triple function, C-terminal "	"AT1G14820"	NA	"SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein; similar to SEC14 cytosolic factor, putative / phosphoglyceride transfer protein, putative [Arabidopsis thaliana] (TAIR:AT1G01630.1); similar to Cellular retinaldehyde binding/alpha-tocopherol transport; Cellular retinaldehyde-binding/triple function, N-terminal [Medicago truncatula] (GB:ABE80207.1); contains InterPro domain Phosphatidylinositol transfer protein-like, N-terminal; (InterPro:IPR011074); contains InterPro domain Cellular retinaldehyde-binding/triple function, C-terminal; (InterPro:IPR001251)"	63.18	239	4e-91	330	98.34024896
"Solyc01g006260.2.1"	3.52048803914325	3.60665238235964	0.000254460171302193	0.0270433266077685	"Ribonuclease P/MRP protein subunit POP5 (AHRD V1 **** POP5_HUMAN); contains Interpro domain(s)  IPR002759  Ribonuclease P-related "	"AT1G04635"	"EMB1687"	"EMB1687 (EMBRYO DEFECTIVE 1687); ribonuclease P; Identical to Probable ribonuclease P protein subunit 2 (EC 3.1.26.5) [Arabidopsis Thaliana] (GB:Q6AWV1;GB:O23021); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:AAV67833.1); similar to Os04g0295100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001052398.1); similar to OSJNBa0041M21.1 [Oryza sativa (japonica cultivar-group)] (GB:CAD40443.2); contains InterPro domain Ribonuclease P-related protein; (InterPro:IPR002759)"	61.38	145	4e-48	186	98.62068966
"Solyc01g007870.2.1"	-2.80303198909174	5.5013890881178	0.000594885541098675	0.0479519657922804	"Cyclin B-like protein (AHRD V1 *-*- Q5U8T5_9SOLA)"	"AT3G11600"	NA	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G06270.1); similar to H0913C04.5 [Oryza sativa (indica cultivar-group)] (GB:CAJ86164.1); similar to Os04g0415000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001052757.1); similar to Os02g0536500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047044.1)"	56.52	115	4e-24	106	89.76377953
"Solyc01g008930.2.1"	-3.09237552286692	5.91892840418782	0.00017127377763123	0.0206384902045633	"Phycoerythrobilin ferredoxin oxidoreductase (AHRD V1 **** Q6E5A3_MAIZE); contains Interpro domain(s)  IPR009249  Ferredoxin-dependent bilin reductase "	"AT3G09150"	"ATHY2"	"Required for biosynthesis of the tetrapyrrole phytochrome chromophore phytochromobilin.  Encodes phytochromobilin synthase, a ferredoxin-dependent biliverdin reductase.  It is necessary for coupling the expression of some nuclear genes to the functional state of the chloroplast."	60.92	284	5e-106	381	82.50728863
"Solyc01g010510.2.1"	-3.26656662753948	5.5773960980671	7.98929657371007e-05	0.0130431709546925	"Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7KPN1_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat "	"AT1G26900"	NA	"pentatricopeptide (PPR) repeat-containing protein; similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT2G22410.1); similar to Pancreatic ribonuclease; Tetratricopeptide-like helical [Medicago truncatula] (GB:ABE87347.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990)"	50.36	556	3e-159	558	92.29480737
"Solyc01g010970.2.1"	-3.10193102709716	4.85770866836831	0.000313529226278516	0.0309111314453682	"ARGONAUTE 1 (AHRD V1 ***- D6RUV9_TOBAC); contains Interpro domain(s)  IPR003165  Stem cell self-renewal protein Piwi "	"AT1G69440"	"AGO7"	"Encodes ARGONAUTE7, a member of the ARGONAUTE family, characterised by the presence of PAZ and PIWI domains. Involved in the regulation of developmental timing. Required for the accumulation of TAS3 ta-siRNAs but not for accumulation of miR171, miR173, miR390 or mi391.   Localized in mature rosette leaves and floral buds."	69.13	865	0	1226	86.01398601
"Solyc01g020220.1.1"	-4.07036283291377	4.59158367664776	7.28020032659223e-06	0.00251216548996931	"Replication factor C subunit 5 (AHRD V1 ***- B6T5I0_MAIZE); contains Interpro domain(s)  IPR019483  DNA polymerase III, clamp-loader complex, subunit E, C-terminal "	"AT5G27740"	"EMB161"	"nucleoside-triphosphatase/ nucleotide binding; similar to EMB1968 (EMBRYO DEFECTIVE 1968), ATPase [Arabidopsis thaliana] (TAIR:AT1G21690.1); similar to Os03g0792600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051525.1); similar to replication factor C 38 kDa subunit [Oryza sativa (japonica cultivar-group)] (GB:BAC76086.1); contains InterPro domain Replication factor C conserved region; (InterPro:IPR000862); contains InterPro domain DNA polymerase III clamp loader subunit, C-terminal; (InterPro:IPR008921); contains InterPro domain AAA ATPase; (InterPro:IPR003593)"	74.18	337	9e-123	436	99.00990099
"Solyc01g058030.1.1"	-2.9747129309327	5.41918252498523	0.000291969409407483	0.0291642864673277	"Gibberellin 2-oxidase (AHRD V1 **** A4GVL5_SOLLC); contains Interpro domain(s)  IPR005123  Oxoglutarate and iron-dependent oxygenase "	"AT1G47990"	"ATGA2OX4"	"Encodes a gibberellin 2-oxidase. AtGA2OX4 expression is responsive to cytokinin and KNOX activities."	53.62	207	2e-50	195	89.90825688
"Solyc01g065550.2.1"	-3.40152869398897	5.44656074878084	5.61500716182194e-05	0.010396665089993	"Protein DEHYDRATION-INDUCED 19 homolog 4 (AHRD V1 ***- DI194_ARATH); contains Interpro domain(s)  IPR008598  Drought induced 19 "	"AT3G06760"	NA	"similar to HRB1 (HYPERSENSITIVE TO RED AND BLUE) [Arabidopsis thaliana] (TAIR:AT5G49230.1); similar to fiber protein Fb2 [Gossypium barbadense] (GB:AAN77145.1); contains InterPro domain Drought induced 19; (InterPro:IPR008598)"	57.07	191	2e-51	198	86.69724771
