"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005840.2.1"	-2.10463320263993	6.01579429881648	0.000848179659084323	0.0337781509813822	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g007140.1.1"	-3.42474864557822	4.62481354877687	4.09700274710971e-06	0.000778680339191522	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g023580.1.1"	-4.19034237673568	4.8655080707556	1.56316279671584e-08	9.25893492999884e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g099580.1.1"	-2.46050036353399	6.36636059970356	7.34620740771955e-05	0.00617945742738799	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g131710.1.1"	-2.41904754733898	6.52875171420618	0.000119757572333133	0.00848373529459944	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g166690.1.1"	-5.25959710376586	4.58366987451511	2.46411320063133e-09	2.02122127535997e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g187050.2.1"	2.20633897261644	5.70645632457451	0.000680648267778374	0.0289833422222021	"Leucyl aminopeptidase (AHRD V1 ***- D7DWG6_NOSA0); contains Interpro domain(s)  IPR011356  Peptidase M17, leucyl aminopeptidase "	"AT4G30920"	NA	"cytosol aminopeptidase family protein; Identical to Leucine aminopeptidase 3, chloroplast precursor (EC 3.4.11.1) (LAP 3) (Leucyl aminopeptidase 3) (Proline aminopeptidase 3) (EC 3.4.11.5) (Prolyl aminopeptidase 3) [Arabidopsis Thaliana] (GB:Q944P7;GB:O65557); similar to cytosol aminopeptidase [Arabidopsis thaliana] (TAIR:AT2G24200.1); similar to cytosol aminopeptidase family protein [Arabidopsis thaliana] (TAIR:AT4G30910.1); similar to Leucine aminopeptidase 2, chloroplast precursor (LAP 2) (Leucyl aminopeptidase 2) (Proline aminopeptidase 2) (Prolyl aminopeptidase 2) (GB:Q42876); similar to neutral leucine aminopeptidase preprotein; preLAP-N; metallo-exopeptidase; leucyl aminopeptidase; LAP [Lycopersicon esculentum] (GB:AAO15916.1); similar to Cytosol aminopeptidase family, catalytic domain, putative [Medicago truncatula] (GB:ABE88725.1); contains InterPro domain Peptidase M17, leucyl aminopeptidase, N-terminal; (InterPro:IPR008283); contains InterPro domain Peptidase M17, leucyl aminopeptidase, C-terminal; (InterPro:IPR000819)"	66.39	488	4e-177	617	95.08840864
"Solyc00g230060.1.1"	-2.74993242420839	7.20236172922979	9.7797036238468e-06	0.00150055355919985	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g311230.2.1"	-3.38354148215274	5.20267427222449	1.71160431923996e-06	0.000406411944218393	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g006320.2.1"	-2.27262623066355	5.19151399141111	0.000506382625923947	0.0237665177502662	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g007850.2.1"	-2.43810165695067	5.96372472720475	0.000123001981695308	0.00867414427475733	NA	NA	NA	NA	NA	NA	NA	NA	NA
