"","ITAG","SGN_annotation","AGI","symbol","gene_name","X..identity","alignment.length","e.value","bit.score","percent.query.align"
"1","Solyc01g099210.2.1","Lipoxygenase (AHRD V1 **** Q0ZDG1_ACTDE); contains Interpro domain(s)  IPR001246  Lipoxygenase, plant ","AT1G55020","ATLOX1","lipoxygenase, a defense gene conferring resistance Xanthomonas campestris",63.71,846,0,1063,96.99074074
"2","Solyc03g007260.2.1","Cyclic nucleotide-gated ion channel 1 (AHRD V1 **** B6U0R1_MAIZE); contains Interpro domain(s)  IPR005821  Ion transport ","AT5G53130","ATCNGC1","member of Cyclic nucleotide gated channel family",69.8,404,8e-165,576,97.53694581
"3","Solyc03g083380.2.1","Diacylglycerol O-acyltransferase (AHRD V1 ***- A5UWY0_ROSS1); contains Interpro domain(s)  IPR009721  Protein of unknown function DUF1298 ","AT5G53390",NA,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G38995.1); similar to Protein of unknown function DUF1298 [Medicago truncatula] (GB:ABE82755.1); contains InterPro domain Protein of unknown function UPF0089; (InterPro:IPR004255); contains InterPro domain Protein of unknown function DUF1298; (InterPro:IPR009721)",50.11,469,5e-137,484,92.41516966
"4","Solyc04g076630.2.1","Rhamnogalacturonate lyase (AHRD V1 **** A3XLZ2_LEEBM); contains Interpro domain(s)  IPR010325  Rhamnogalacturonate lyase ","AT1G09890",NA,"lyase; similar to lyase [Arabidopsis thaliana] (TAIR:AT1G09910.1); similar to Os08g0554100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001062464.1); similar to putative MYST1 [Oryza sativa (japonica cultivar-group)] (GB:BAD10227.1); contains InterPro domain Rhamnogalacturonate lyase; (InterPro:IPR010325)",64.3,619,0,827,94.62365591
"5","Solyc04g080780.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Solyc04g080970.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Solyc05g009770.1.1","Zinc finger family protein (AHRD V1 ***- D7KQE1_ARALY); contains Interpro domain(s)  IPR007087  Zinc finger, C2H2-type ","AT1G13290","DOT5","zinc finger (C2H2 type) family protein; similar to zinc finger (C2H2 type) protein (WIP2) [Arabidopsis thaliana] (TAIR:AT3G57670.1); similar to Zinc finger, C2H2-type [Medicago truncatula] (GB:ABE93767.1); contains InterPro domain Zinc finger, C2H2-type; (InterPro:IPR007087)",68.31,243,3e-90,328,82.92682927
"8","Solyc05g046320.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Solyc05g048830.2.1","MYB transcription factor (AHRD V1 *--* Q6R098_ARATH); contains Interpro domain(s)  IPR015495  Myb transcription factor ","AT3G61250","AtMYB17","Member of the R2R3 factor gene family.",60.91,307,4e-94,341,93.125
"10","Solyc05g051380.2.1","AP2-like ethylene-responsive transcription factor At1g16060 (AHRD V1 *-*- AP2L1_ARATH); contains Interpro domain(s)  IPR001471  Pathogenesis-related transcriptional factor and ERF, DNA-binding ","AT5G10510","AIL6","AIL6 (AINTEGUMENTA-LIKE 6); DNA binding / transcription factor; similar to AIL7 (AINTEGUMENTA-LIKE 7), DNA binding / transcription factor [Arabidopsis thaliana] (TAIR:AT5G65510.1); similar to 117M18_31 [Brassica rapa] (GB:AAZ66950.1); contains InterPro domain Pathogenesis-related transcriptional factor and ERF; (InterPro:IPR001471)",53.95,506,3e-112,402,81.2749004
"11","Solyc06g069240.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Solyc06g074320.2.1","BZIP transcription factor (AHRD V1 ***- Q93XM6_ARATH); contains Interpro domain(s)  IPR011616  bZIP transcription factor, bZIP-1 ","AT1G08320","TGA9","DNA binding; similar to bZIP family transcription factor [Arabidopsis thaliana] (TAIR:AT5G06839.1); similar to Os01g0859500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001044868.1); similar to TGACG-sequence-specific DNA-binding protein TGA-2.1, putative, expressed [Oryza sativa (japonica cultivar-group)] (GB:ABA95838.1); similar to Os12g0152900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001066179.1); contains InterPro domain bZIP transcription factor, bZIP_1; (InterPro:IPR011616); contains InterPro domain Basic-leucine zipper (bZIP) transcription factor; (InterPro:IPR004827)",64.06,498,4e-137,485,97.60956175
"13","Solyc07g045550.1.1","Transcriptional regulator STERILE APETALA (AHRD V1 ***- SAP_ARATH); contains Interpro domain(s)  IPR017986  WD40 repeat, region ","AT5G35770","SAP","A recessive mutation in the Arabidopsis STERILE APETALA (SAP) causes severe aberrations in inflorescence  and flower and ovule development.",53.81,381,2e-111,399,98.16753927
"14","Solyc08g061450.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Solyc09g074550.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Solyc09g082140.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Solyc09g091960.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Solyc09g097930.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Solyc10g076790.1.1","Auxin transporter-like protein 1 (AHRD V1 **** B6U1Y3_MAIZE); contains Interpro domain(s)  IPR013057  Amino acid transporter, transmembrane ","AT2G38120","AUX1","Encodes an auxin influx transporter.  AUX1 resides at the apical plasma membrane of protophloem cells and at highly dynamic subpopulations of Golgi apparatus and endosomes in all cell types.  AUX1 action in the lateral root cap and/or epidermal cells influences lateral root initiation and positioning.",85.68,468,0,803,95.47325103
"20","Solyc10g081230.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
