"","ITAG","SGN_annotation","AGI","symbol","gene_name","X..identity","alignment.length","e.value","bit.score","percent.query.align"
"1","Solyc00g006470.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Solyc00g006670.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Solyc00g006680.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Solyc00g006690.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Solyc00g006810.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Solyc00g009760.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Solyc00g010530.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Solyc00g011170.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Solyc00g012430.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Solyc00g012440.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Solyc00g013160.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Solyc00g013180.1.1","NADH-ubiquinone oxidoreductase chain 4 (AHRD V1 ***- Q5M9Z8_TOBAC); contains Interpro domain(s)  IPR001750  NADH:ubiquinone/plastoquinone oxidoreductase ","ATMG00580","NAD4","NADH dehydrogenase subunit 4",92.91,141,7e-70,259,79.0960452
"13","Solyc00g019990.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Solyc00g068970.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Solyc00g068980.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Solyc00g071180.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Solyc00g072100.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Solyc00g094520.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Solyc00g094540.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Solyc00g099580.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Solyc00g102000.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Solyc00g127660.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Solyc00g187050.2.1","Leucyl aminopeptidase (AHRD V1 ***- D7DWG6_NOSA0); contains Interpro domain(s)  IPR011356  Peptidase M17, leucyl aminopeptidase ","AT4G30920",NA,"cytosol aminopeptidase family protein; Identical to Leucine aminopeptidase 3, chloroplast precursor (EC 3.4.11.1) (LAP 3) (Leucyl aminopeptidase 3) (Proline aminopeptidase 3) (EC 3.4.11.5) (Prolyl aminopeptidase 3) [Arabidopsis Thaliana] (GB:Q944P7;GB:O65557); similar to cytosol aminopeptidase [Arabidopsis thaliana] (TAIR:AT2G24200.1); similar to cytosol aminopeptidase family protein [Arabidopsis thaliana] (TAIR:AT4G30910.1); similar to Leucine aminopeptidase 2, chloroplast precursor (LAP 2) (Leucyl aminopeptidase 2) (Proline aminopeptidase 2) (Prolyl aminopeptidase 2) (GB:Q42876); similar to neutral leucine aminopeptidase preprotein; preLAP-N; metallo-exopeptidase; leucyl aminopeptidase; LAP [Lycopersicon esculentum] (GB:AAO15916.1); similar to Cytosol aminopeptidase family, catalytic domain, putative [Medicago truncatula] (GB:ABE88725.1); contains InterPro domain Peptidase M17, leucyl aminopeptidase, N-terminal; (InterPro:IPR008283); contains InterPro domain Peptidase M17, leucyl aminopeptidase, C-terminal; (InterPro:IPR000819)",66.39,488,4e-177,617,95.08840864
"24","Solyc00g323130.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Solyc01g005060.2.1","Zinc finger protein (AHRD V1 *-*- Q764N7_MALDO); contains Interpro domain(s)  IPR007087  Zinc finger, C2H2-type ","AT2G01940","ATIDD15","May be involved in an early event in shoot gravitropism such as gravity perception and/or a signaling process subsequent to amyloplast sedimentation as a putative transcription factor in gravity-perceptive cells.",55.61,374,4e-109,391,88.52941176
"26","Solyc01g005120.2.1","Xyloglucan endotransglucosylase/hydrolase 13 (AHRD V1 **** C0IRH2_ACTDE); contains Interpro domain(s)  IPR016455  Xyloglucan endotransglucosylase/hydrolase ","AT1G14720","ATXTH28","member of Glycoside Hydrolase Family 16",68.54,302,1e-127,452,89.28571429
"27","Solyc01g005270.2.1","SEC14 cytosolic factor family protein (AHRD V1 **-- D7M8H6_ARALY); contains Interpro domain(s)  IPR001251  Cellular retinaldehyde-binding/triple function, C-terminal ","AT1G14820",NA,"SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein; similar to SEC14 cytosolic factor, putative / phosphoglyceride transfer protein, putative [Arabidopsis thaliana] (TAIR:AT1G01630.1); similar to Cellular retinaldehyde binding/alpha-tocopherol transport; Cellular retinaldehyde-binding/triple function, N-terminal [Medicago truncatula] (GB:ABE80207.1); contains InterPro domain Phosphatidylinositol transfer protein-like, N-terminal; (InterPro:IPR011074); contains InterPro domain Cellular retinaldehyde-binding/triple function, C-terminal; (InterPro:IPR001251)",66.24,237,1e-93,339,97.51037344
"28","Solyc01g005600.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Solyc01g005910.2.1","Acid phosphatase/vanadium-dependent haloperoxidase related (AHRD V1 *--- B2A528_NATTJ); contains Interpro domain(s)  IPR003832  Acid phosphatase/vanadium-dependent haloperoxidase related ","AT3G12685",NA,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G24350.1); similar to Acid phosphatase/vanadium-dependent haloperoxidase related [Medicago truncatula] (GB:ABE86902.1); contains InterPro domain Acid phosphatase/vanadium-dependent haloperoxidase; (InterPro:IPR008934); contains InterPro domain Acid phosphatase/vanadium-dependent haloperoxidase related; (InterPro:IPR003832)",52.4,208,6e-42,167,77.52808989
"30","Solyc01g005970.2.1","Kelch-like protein 3 (AHRD V1 *-*- KLHL3_PONAB); contains Interpro domain(s)  IPR015915  Kelch-type beta propeller ","AT1G55270",NA,"kelch repeat-containing F-box family protein; similar to kelch repeat-containing F-box family protein [Arabidopsis thaliana] (TAIR:AT1G22040.1); similar to Cyclin-like F-box; Serine/threonine protein phosphatase, BSU1 [Medicago truncatula] (GB:ABE78679.1); similar to Os10g0409900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001064574.1); similar to Cyclin-like F-box [Medicago truncatula] (GB:ABE86510.1); contains InterPro domain Cyclin-like F-box; (InterPro:IPR001810); contains InterPro domain Galactose oxidase, central; (InterPro:IPR011043); contains InterPro domain Kelch repeat; (InterPro:IPR006652)",79.68,438,0,746,99.543379
"31","Solyc01g006340.2.1","ATP dependent RNA helicase (AHRD V1 ***- B3LKV6_YEAS1); contains Interpro domain(s)  IPR011545  DNA/RNA helicase, DEAD/DEAH box type, N-terminal ","AT3G02065",NA,"ATP binding / ATP-dependent helicase; Identical to DEAD-box ATP-dependent RNA helicase 41 (EC 3.6.1.-) (RH41) [Arabidopsis Thaliana] (GB:Q3EBD3;GB:Q8VZ85); similar to DEAD box RNA helicase, putative [Arabidopsis thaliana] (TAIR:AT2G42520.1); similar to putative DEAD box [Oryza sativa (japonica cultivar-group)] (GB:BAD15860.1); contains InterPro domain DEAD/DEAH box helicase; (InterPro:IPR001410); contains InterPro domain Zinc finger, HIT-type; (InterPro:IPR007529); contains InterPro domain DEAD/DEAH box helicase, N-terminal; (InterPro:IPR011545); contains InterPro domain Helicase, C-terminal; (InterPro:IPR001650)",65.1,510,0,692,98.25242718
"32","Solyc01g006490.2.1","Protein YdiU (AHRD V1 ***- B5N5F2_SALET); contains Interpro domain(s)  IPR003846  Uncharacterised protein family UPF0061 ","AT5G13030",NA,"similar to Os06g0320700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001057514.1); similar to hypothetical protein ebA6654 [Azoarcus sp. EbN1] (GB:YP_160826.1); contains InterPro domain Protein of unknown function UPF0061; (InterPro:IPR003846)",77.64,568,0,959,98.60869565
"33","Solyc01g006940.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Solyc01g007070.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Solyc01g007260.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Solyc01g007650.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Solyc01g007870.2.1","Cyclin B-like protein (AHRD V1 *-*- Q5U8T5_9SOLA)","AT3G11600",NA,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G06270.1); similar to H0913C04.5 [Oryza sativa (indica cultivar-group)] (GB:CAJ86164.1); similar to Os04g0415000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001052757.1); similar to Os02g0536500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047044.1)",56.52,115,4e-24,106,89.76377953
"38","Solyc01g008230.2.1","TCP family transcription factor (AHRD V1 *-** A6MCZ2_9ORYZ); contains Interpro domain(s)  IPR005333  Transcription factor, TCP ","AT5G23280",NA,"TCP family transcription factor, putative; similar to TCP family transcription factor, putative [Arabidopsis thaliana] (TAIR:AT5G08330.1); similar to unknown [Brassica rapa] (GB:ABB97033.1); contains InterPro domain TCP transcription factor; (InterPro:IPR005333)",59.71,206,3e-57,218,77.2
"39","Solyc01g008780.2.1","Phospholipase A22 (AHRD V1 ***- B9SJ74_RICCO); contains Interpro domain(s)  IPR016090  Phospholipase A2 ","AT4G29070",NA,"similar to hypothetical protein [Platanus x acerifolia] (GB:CAL07987.1); contains domain Phospholipase A2, PLA2 (SSF48619); contains domain no description (G3D.1.20.90.10)",61.76,204,1e-68,256,81.32780083
"40","Solyc01g008840.2.1","COP9 signalosome complex subunit 2 (AHRD V1 ***- B6TIW9_MAIZE); contains Interpro domain(s)  IPR013143  PCI/PINT associated module ","AT2G26990","ATCSN2","Represses photomorphogenesis and induces skotomorphogenesis in the dark.",84.74,439,0,686,99.54545455
"41","Solyc01g008850.2.1","CBL-interacting protein kinase 18 (AHRD V1 ***- C4P7W7_VITVI); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase ","AT2G26980","CIPK3","encodes a serine-threonine protein kinase whose expression increases in response to abscisic acid, cold, drought, high salt, and wounding conditions. The gene is expressed in developing seeds and seedlings. Lines carrying a T-DNA insertions have reduced germination efficiency and expression of cold, high-salt, and abscisic acid marker genes are altered, but not drought-response markers.",81.73,427,0,751,96.81093394
"42","Solyc01g008970.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Solyc01g009240.2.1","Beta-D-glucosidase (AHRD V1 ***- O82074_TROMA); contains Interpro domain(s)  IPR001764  Glycoside hydrolase, family 3, N-terminal ","AT5G20950",NA,"glycosyl hydrolase family 3 protein; similar to glycosyl hydrolase family 3 protein [Arabidopsis thaliana] (TAIR:AT3G62710.1); similar to glycosyl hydrolase family 3 protein [Arabidopsis thaliana] (TAIR:AT5G20940.1); similar to glycosyl hydrolase family 3 protein [Arabidopsis thaliana] (TAIR:AT5G04885.1); similar to beta-D-glucan exohydrolase [Nicotiana tabacum] (GB:BAA33065.1); similar to beta-D-glucosidase [Tropaeolum majus] (GB:CAA07070.1); similar to beta-D-glucosidase [Gossypium hirsutum] (GB:AAQ17461.1); contains InterPro domain Glycoside hydrolase, family 3, C-terminal; (InterPro:IPR002772); contains InterPro domain Glycoside hydrolase, family 3, N-terminal; (InterPro:IPR001764)",73.24,624,0,904,98.11023622
"44","Solyc01g009340.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Solyc01g009900.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Solyc01g010180.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Solyc01g010200.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Solyc01g010640.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
