"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005050.2.1"	2.67110424634785	3.6405795720079	0.00126928119776056	0.0425801532475409	"Arabinogalactan protein (AHRD V1 ***- B6SST2_MAIZE)"	"AT5G11680"	NA	"similar to hypothetical protein TTHERM_00502170 [Tetrahymena thermophila SB210] (GB:XP_001022271.1); similar to Os09g0512900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001063646.1)"	76.96	204	1e-88	322	98.97959184
"Solyc00g007140.1.1"	-2.48430667572226	4.58553654906535	0.000801897352390363	0.0321953256161833	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g023580.1.1"	-3.29244025196919	5.07455311461359	4.47212454607265e-06	0.00102289685071989	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g166690.1.1"	-3.248408291391	4.90146161254489	2.82581925578652e-05	0.00334142037281803	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g230060.1.1"	-2.5405773480587	7.37517985279901	0.000113778661531381	0.00875070647777067	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g311230.2.1"	-2.72936619388683	5.23970902928147	0.000116937828597079	0.00887082140955532	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g313030.1.1"	-2.92157428584153	4.49285079738713	0.000664176895700922	0.0284034402762071	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g323130.2.1"	2.58563453606558	5.60811597250349	8.41381497692087e-05	0.00697619795713772	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g005430.2.1"	-2.17229460449631	6.43253831022687	0.000995648177377141	0.036392990037979	"UBX domain protein 6 (AHRD V1 ***- Q7SXA8_DANRE); contains Interpro domain(s)  IPR018997  PUB domain "	"AT2G01650"	"PUX2"	"encodes a peripheral membrane protein that contains UBX domain and interacts with AtCDC48 in vitro and co-fractionates with membrane-associated but not soluble AtCDC48 in vivo."	61.06	434	1e-123	440	92.34135667
"Solyc01g006320.2.1"	-2.37421500128104	5.3534719767506	0.000520529711601012	0.0236684232720749	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g006400.2.1"	-2.6908617381386	8.90424745244323	3.78054120461292e-05	0.00413558333513309	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g007850.2.1"	-2.13074243840356	6.40003716772344	0.00128245401895726	0.0429266649006183	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g007870.2.1"	-2.64475808189708	5.36833400850406	0.000187873344875075	0.012384753622783	"Cyclin B-like protein (AHRD V1 *-*- Q5U8T5_9SOLA)"	"AT3G11600"	NA	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G06270.1); similar to H0913C04.5 [Oryza sativa (indica cultivar-group)] (GB:CAJ86164.1); similar to Os04g0415000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001052757.1); similar to Os02g0536500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047044.1)"	56.52	115	4e-24	106	89.76377953
"Solyc01g008920.2.1"	-3.31553793210595	5.21329655243632	6.49394587686887e-06	0.00128990272312122	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g009670.2.1"	-3.36712581228948	6.33733453306919	1.37278983822336e-06	0.000431742404121246	"CCA-adding enzyme (AHRD V1 *-*- CCA_STAES); contains Interpro domain(s)  IPR002646  Polynucleotide adenylyltransferase region "	"AT5G23690"	NA	"polynucleotide adenylyltransferase family protein; similar to polynucleotide adenylyltransferase family protein / RNA recognition motif (RRM)-containing protein [Arabidopsis thaliana] (TAIR:AT3G48830.1); similar to Os03g0131400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001048863.1); similar to Putative poly(A) polymerase [Oryza sativa (japonica cultivar-group)] (GB:AAM22707.1); similar to Os04g0395900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001052662.1); contains InterPro domain Nucleotidyltransferase/Poly(A) polymerase; (InterPro:IPR012277); contains InterPro domain Polynucleotide adenylyltransferase region; (InterPro:IPR002646)"	62.91	461	7e-163	570	88.73786408
"Solyc01g010250.2.1"	2.7703212399153	4.09425039857517	0.000424723632723258	0.0209530325476807	"6-phosphogluconolactonase (AHRD V1 ***- B6U0H2_MAIZE); contains Interpro domain(s)  IPR005900  6-phosphogluconolactonase "	"AT1G13700"	"PGL1"	"glucosamine/galactosamine-6-phosphate isomerase family protein; similar to EMB2024 (EMBRYO DEFECTIVE 2024), catalytic [Arabidopsis thaliana] (TAIR:AT5G24400.1); similar to putative 6-phosphogluconolactonase [Oryza sativa (japonica cultivar-group)] (GB:BAC83870.1); contains InterPro domain 6-phosphogluconolactonase; (InterPro:IPR005900); contains InterPro domain Glucosamine/galactosamine-6-phosphate isomerase; (InterPro:IPR006148)"	65.3	268	3e-95	344	99.25093633
"Solyc01g010910.1.1"	-4.58608931607835	5.0429449211259	1.71483630380037e-08	1.43817604678725e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g020200.1.1"	-2.41587661571472	6.75680036602716	0.000250529963592153	0.0149469797597902	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g058030.1.1"	-2.54692912154946	3.94293062516853	0.00119736172811209	0.0417445095787068	"Gibberellin 2-oxidase (AHRD V1 **** A4GVL5_SOLLC); contains Interpro domain(s)  IPR005123  Oxoglutarate and iron-dependent oxygenase "	"AT1G47990"	"ATGA2OX4"	"Encodes a gibberellin 2-oxidase. AtGA2OX4 expression is responsive to cytokinin and KNOX activities."	53.62	207	2e-50	195	89.90825688
"Solyc01g059930.2.1"	2.24127939216738	5.16244509585605	0.000821045997616722	0.0324463622513666	"Universal stress protein (AHRD V1 ***- D6BRD7_9ROSI); contains Interpro domain(s)  IPR006016  UspA "	"AT3G17020"	NA	"universal stress protein (USP) family protein; similar to universal stress protein (USP) family protein / early nodulin ENOD18 family protein [Arabidopsis thaliana] (TAIR:AT3G03270.2); similar to Os05g0157200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001054704.1); similar to USP family protein [Triticum aestivum] (GB:AAX13276.1); contains InterPro domain Universal stress protein (Usp); (InterPro:IPR006015); contains InterPro domain UspA; (InterPro:IPR006016)"	65.82	158	2e-60	227	95.73170732
"Solyc01g059940.2.1"	-4.20522244731902	5.70998891588506	2.87924722790582e-08	2.17325580762331e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g066440.2.1"	-3.70958968215726	4.49877692413555	7.43018584007652e-06	0.00141982386635184	"Unknown Protein (AHRD V1)"	"AT3G06840"	NA	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G49170.1)"	52.33	193	1e-38	155	98.91891892
"Solyc01g067530.2.1"	-2.12529601092626	6.43415450223232	0.00125732425711483	0.0425801532475409	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g067710.2.1"	3.27185310540895	4.74617103341981	0.000469995800478682	0.0224511659877013	"Sodium/hydrogen exchanger (AHRD V1 **** Q1JRA3_SOLLC); contains Interpro domain(s)  IPR018407  Na+/H+ exchanger, isoforms 1-4, conserved region "	"AT3G05030"	"ATNHX2"	"member of Sodium proton exchanger family"	75.28	538	0	749	98.88475836
"Solyc01g067790.2.1"	-2.16962629128137	7.11118880968949	0.000854910484030927	0.0329221714205327	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g079880.2.1"	2.73598048032364	7.00739233962025	4.66779975902816e-05	0.00468294210573957	"Asparagine synthetase (AHRD V1 *--- Q9ZST6_ARATH)"	"AT5G19140"	"AILP1"	"auxin/aluminum-responsive protein, putative; similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G43830.1); similar to aluminum-induced [Brassica napus] (GB:BAA25999.1); contains domain ASPARAGINE SYNTHETASE (PTHR11772); contains domain no description (G3D.3.60.20.10); contains domain N-terminal nucleophile aminohydrolases (Ntn hydrolases) (SSF56235)"	79.83	233	6e-112	399	97.89029536
