"","ITAG","SGN_annotation","AGI","symbol","gene_name","X..identity","alignment.length","e.value","bit.score","percent.query.align"
"1","Solyc01g103530.2.1","Receptor like kinase, RLK","AT4G20270","BAM3","Encodes a CLAVATA1-related receptor kinase-like protein required for both shoot and flower meristem function.  It has a broad expression pattern and is involved in vascular strand development in the leaf, control of leaf shape, size and symmetry, male gametophyte development and ovule specification and function.",57.22,977,0,1010,95.48192771
"2","Solyc01g105720.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Solyc02g080520.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Solyc02g080530.2.1","Peroxidase (AHRD V1 **** C7DYB2_9ERIC); contains Interpro domain(s)  IPR002016  Haem peroxidase, plant/fungal/bacterial ","AT4G21960","PRXR1","Encodes AT4g21960 (AT4g21960/T8O5_170).",84.59,305,1e-156,549,92.96636086
"5","Solyc02g084950.2.1","Carboxyl methyltransferase 4 (AHRD V1 **** B0ZB58_HUMLU); contains Interpro domain(s)  IPR005299  SAM dependent carboxyl methyltransferase ","AT4G36470",NA,"S-adenosyl-L-methionine:carboxyl methyltransferase family protein; similar to JMT (JASMONIC ACID CARBOXYL METHYLTRANSFERASE), jasmonate O-methyltransferase [Arabidopsis thaliana] (TAIR:AT1G19640.1); similar to putative S-adenosyl-L-methionine:jasmonic acid carboxyl methyltransferase [Oryza sativa (japonica cultivar-group)] (GB:BAB64171.1); contains InterPro domain SAM dependent carboxyl methyltransferase; (InterPro:IPR005299)",57.8,372,2e-127,452,98.92183288
"6","Solyc02g089250.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Solyc03g080100.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Solyc03g081260.2.1","Subtilisin-like protease-like protein (AHRD V1 **-- Q9T0B5_ARATH); contains Interpro domain(s)  IPR015500  Peptidase S8, subtilisin-related ","AT1G32960","ATSBT3.3","subtilase family protein; similar to subtilase family protein [Arabidopsis thaliana] (TAIR:AT1G32950.1); similar to subtilase family protein [Arabidopsis thaliana] (TAIR:AT4G10540.1); similar to subtilase family protein [Arabidopsis thaliana] (TAIR:AT1G32940.1); similar to Os09g0530800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001063751.1); similar to Protease-associated PA; Proteinase inhibitor I9, subtilisin propeptide [Medicago truncatula] (GB:ABE90461.1); contains InterPro domain Protease-associated PA; (InterPro:IPR003137); contains InterPro domain Peptidase S8 and S53, subtilisin, kexin, sedolisin; (InterPro:IPR000209); contains InterPro domain Proteinase inhibitor I9, subtilisin propeptide; (InterPro:IPR010259); contains InterPro domain Proteinase inhibitor, propeptide; (InterPro:IPR009020)",56.28,741,0,811,99.04502046
"9","Solyc04g082200.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Solyc05g007980.2.1","High affinity sulfate transporter 2 (AHRD V1 **** SUT2_STYHA); contains Interpro domain(s)  IPR001902  Sulphate anion transporter ","AT1G23090","AST91","Encodes AST91 mRNA for sulfate transporter.",76.33,621,0,960,95.82043344
"11","Solyc05g053080.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Solyc06g065970.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Solyc06g076140.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Solyc06g076820.1.1","Transcription factor (Fragment) (AHRD V1 *-** D6MKQ1_9ASPA); contains Interpro domain(s)  IPR007087  Zinc finger, C2H2-type ","AT2G29660",NA,"zinc finger (C2H2 type) family protein; similar to zinc finger (C2H2 type) family protein [Arabidopsis thaliana] (TAIR:AT1G75710.1); similar to H0814G11.16 [Oryza sativa (indica cultivar-group)] (GB:CAJ86349.1); similar to CAA30374.1 protein [Oryza sativa] (GB:CAB53477.1); similar to Os03g0264600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001049642.1); contains InterPro domain Zinc finger, C2H2-type; (InterPro:IPR007087)",55.31,320,8e-84,307,80.05249344
"15","Solyc07g006700.1.1","Pathogenesis-related protein PR-1 (AHRD V1 **-- B4FQY0_MAIZE); contains Interpro domain(s)  IPR002413  Ves allergen ","AT4G25780",NA,"pathogenesis-related protein, putative; similar to allergen V5/Tpx-1-related family protein [Arabidopsis thaliana] (TAIR:AT5G57625.1); similar to Allergen V5/Tpx-1 related [Medicago truncatula] (GB:ABE83411.1); contains InterPro domain Ves allergen; (InterPro:IPR002413); contains InterPro domain Allergen V5/Tpx-1 related; (InterPro:IPR001283)",64.94,154,2e-60,228,77.66497462
"16","Solyc07g007160.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Solyc07g007980.2.1","ATP binding / serine-threonine kinase (AHRD V1 **** C5DB71_VITVI); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase ","AT5G15080",NA,"protein kinase, putative; similar to kinase [Arabidopsis thaliana] (TAIR:AT3G28690.2); similar to protein kinase, putative [Arabidopsis thaliana] (TAIR:AT3G01300.1); similar to Os01g0588500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001043435.1); similar to serine/threonine protein kinase-like [Solanum tuberosum] (GB:AAU89742.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271)",62.19,402,1e-133,473,90.24943311
"18","Solyc07g008010.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
