"","ITAG","SGN_annotation","AGI","symbol","gene_name","X..identity","alignment.length","e.value","bit.score","percent.query.align"
"1","Solyc01g081640.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Solyc01g086710.2.1","DNA-directed RNA polymerase (AHRD V1 ***- B9SVH7_RICCO); contains Interpro domain(s)  IPR015712  DNA-directed RNA polymerase, subunit 2 ","AT1G29940","NRPA2","Encodes a subunit of RNA polymerase 1 (aka RNA polymerase A).",70.61,1099,0,1618,99.63536919
"3","Solyc01g090420.2.1","Armadillo/beta-catenin repeat family protein (AHRD V1 **-- D7LBT5_ARALY); contains Interpro domain(s)  IPR011989  Armadillo-like helical ","AT2G44900","ARABIDILLO-1","ARABIDILLO-1 and its homolog, ARABIDILLO -2, are unique among Arabidopsis Arm-repeat proteins in having an F-box motif and fall into a phylogenetically distinct subgroup from other plant Arm-repeat proteins Similar to arm repeat protein in rice and armadillo/beta-catenin repeat family protein / F-box family protein in Dictyostelium. ARABIDILLO-1 promote lateral root development. Mutant plants form fewer lateral roots, while ARABIDILLO-1-overexpressing lines produce more lateral roots than wild-type seedlings.",72.75,734,0,927,97.2299169
"4","Solyc01g094850.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Solyc01g098610.2.1","Glutathione synthetase (AHRD V1 **** Q6F4I7_ZINEL); contains Interpro domain(s)  IPR005615  Glutathione synthase, eukaryotic ","AT5G27380","GSH2","Encodes a protein with similarity to glutathione synthetases, which catalyzes one of the early steps in glutathione biosynthesis. Two transcripts have been detected; the longer transcript is less abundant and the protein is localized to the chloroplast. The smaller transcript, in which the transit peptide is truncated, is localized to the cytosol.",66.87,504,0,719,91.95612431
"6","Solyc01g098910.2.1","Mitochondrial carrier protein (AHRD V1 ***- C5P0Z3_COCP7); contains Interpro domain(s)  IPR001993  Mitochondrial substrate carrier ","AT3G05290","PNC1","mitochondrial substrate carrier family protein; similar to mitochondrial substrate carrier family protein [Arabidopsis thaliana] (TAIR:AT5G27520.1); similar to Os05g0392700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001055452.1); similar to Mitochondrial FAD carrier protein (ISS) [Ostreococcus tauri] (GB:CAL50155.1); contains InterPro domain Mitochondrial carrier protein; (InterPro:IPR002067); contains InterPro domain Mitochondrial substrate carrier; (InterPro:IPR001993)",76.08,301,4e-119,424,93.39622642
"7","Solyc02g055330.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Solyc02g055370.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Solyc02g065290.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Solyc02g068890.2.1","Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7MTZ6_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat ","AT4G19890",NA,NA,60.31,650,0,820,90.51603905
"11","Solyc02g070630.2.1","60S ribosomal protein L18A (AHRD V1 *-*- B6T286_MAIZE)","AT1G17080",NA,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G53560.1); similar to Os01g0667100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001043806.1); similar to Os05g0564800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001056334.1); similar to Os01g0242900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001042559.1); contains domain 60S RIBOSOMAL PROTEIN L18A (PTHR10052); contains domain 60S RIBOSOMAL PROTEIN L18A, PLANT (PTHR10052:SF2)",56.41,156,4e-30,127,98.06451613
"12","Solyc02g072080.1.1","U-box domain-containing protein 17 (AHRD V1 **-- PUB17_ARATH); contains Interpro domain(s)  IPR011989  Armadillo-like helical ","AT1G29340","ATPUB17","Has E3 ubiquitin ligase activity. Required for cell death and full resistance specified by Arabidopsis RPM1 and RPS4 resistance proteins  against Pseudomonas syringae pv tomato.",67.53,736,0,820,99.72413793
"13","Solyc02g080260.2.1","Homeobox leucine-zipper protein (AHRD V1 ***- Q8H962_ZINEL); contains Interpro domain(s)  IPR002913  Lipid-binding START ","AT4G04890","PDF2","Encodes a homeodomain protein that is expressed in the LI layer of the vegetative, floral and inflorescence meristems. Binds to the L1 box promoter element which is required in some proteins for L1 specific expression.",72,750,0,1061,97.34042553
"14","Solyc02g080340.2.1","Patatin-like phospholipase family protein (AHRD V1 *--* A8PYJ4_BRUMA); contains Interpro domain(s)  IPR002641  Patatin ","AT1G61850",NA,"patatin family protein; similar to leucine-rich repeat family protein [Arabidopsis thaliana] (TAIR:AT2G19330.1); similar to phospholipase, patatin family, putative [Medicago truncatula] (GB:ABE77790.1); similar to Os07g0520900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001059805.1); similar to putative calcium-independent phospholipase A2 [Oryza sativa (japonica cultivar-group)] (GB:BAD30421.1); contains InterPro domain Armadillo; (InterPro:IPR000225); contains InterPro domain Patatin; (InterPro:IPR002641); contains InterPro domain Armadillo-like helical; (InterPro:IPR011989); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611)",68.77,1297,0,1759,94.66271312
"15","Solyc02g080350.1.1","Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7KUG5_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat ","AT1G77170",NA,"pentatricopeptide (PPR) repeat-containing protein; similar to binding [Arabidopsis thaliana] (TAIR:AT4G21065.1); similar to Tetratricopeptide-like helical [Medicago truncatula] (GB:ABE81261.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940)",56.17,454,3e-160,561,97.15536105
"16","Solyc02g084640.2.1","Aldehyde dehydrogenase (AHRD V1 **** Q71LY7_ORYSI); contains Interpro domain(s)  IPR012394  Aldehyde dehydrogenase NAD(P)-dependent  IPR015590  Aldehyde dehydrogenase ","AT4G36250","ALDH3F1","Encodes a putative aldehyde dehydrogenase. The gene is not responsive to osmotic stress and is expressed constitutively at a low level in plantlets and root cultures.",61.64,464,0,637,94.48979592
"17","Solyc03g093600.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Solyc03g112860.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Solyc03g112910.2.1","Pantothenate kinase (AHRD V1 *-** C1FDA4_9CHLO); contains Interpro domain(s)  IPR015844  Pantothenate kinase, acetyl-CoA regulated, two-domain type ","AT4G32180","ATPANK2","Encodes a protein with pantothenate kinase activity.",86.04,874,0,1428,96.45232816
"20","Solyc03g113010.1.1","Kelch repeat-containing F-box family protein (AHRD V1 ***- D7KS27_ARALY); contains Interpro domain(s)  IPR015915  Kelch-type beta propeller ","AT2G02870",NA,"kelch repeat-containing F-box family protein; similar to kelch repeat-containing F-box family protein [Arabidopsis thaliana] (TAIR:AT1G14330.1); similar to kelch repeat-containing F-box family protein, putative [Solanum demissum] (GB:AAT40540.1); contains InterPro domain Cyclin-like F-box; (InterPro:IPR001810); contains InterPro domain Kelch motif; (InterPro:IPR006651); contains InterPro domain Galactose oxidase, central; (InterPro:IPR011043); contains InterPro domain Kelch repeat; (InterPro:IPR006652)",61.5,426,1e-141,499,91.85520362
"21","Solyc03g113710.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
