"","ITAG","SGN_annotation","AGI","symbol","gene_name","X..identity","alignment.length","e.value","bit.score","percent.query.align"
"1","Solyc00g005070.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Solyc00g005080.1.1","Ycf2 (AHRD V1 ***- A6YA23_9MAGN)","ATCG01280","YCF2.2","Identical to Protein ycf2 (ycf2-B) [Arabidopsis Thaliana] (GB:P56786); similar to hypothetical chloroplast RF2 [Vitis vinifera] (GB:YP_567121.1); similar to Hypothetical protein [Gossypium barbadense] (GB:BAF41290.1); similar to hypothetical chloroplast RF2 [Gossypium hirsutum] (GB:YP_538978.1); contains InterPro domain Chloroplast Ycf2; (InterPro:IPR008543); contains InterPro domain AAA ATPase; (InterPro:IPR003593); contains InterPro domain AAA ATPase, central region; (InterPro:IPR003959)",91.25,80,2e-38,153,79.7979798
"3","Solyc00g005870.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Solyc00g014790.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Solyc00g014800.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Solyc00g026160.2.1","Ferric reductase oxidase (AHRD V1 **** D6RVS5_HORVU); contains Interpro domain(s)  IPR013121  Ferric reductase, NAD binding ","AT5G23980","ATFRO4","Encodes a ferric chelate reductase that is expressed at low levels in roots,shoots and cotyledons, but not flowers. Its transcription is regulated by FIT1.",58.46,455,3e-140,495,99.5505618
"7","Solyc00g036520.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Solyc00g069880.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Solyc00g121730.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Solyc00g131710.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Solyc00g166690.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Solyc00g195360.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Solyc00g206460.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Solyc00g212260.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Solyc00g281110.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Solyc01g005080.2.1","Microtubule-associated protein MAP65-1a (AHRD V1 **** C0J9Z7_ORYNI); contains Interpro domain(s)  IPR007145  MAP65/ASE1 ","AT2G01910","ATMAP65-6","Binds microtubules. Induces a crisscross mesh of microtubules, not bundles.  Not involved in microtubule polymerization nor nucleation. Localizes to mitochondria.",67.2,567,0,732,99.64285714
"17","Solyc01g005450.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
