"Row.names"	"logFC"	"logCPM"	"PValue"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005070.1.1"	-2.43931408132282	3.96177238076757	0.000211322278610407	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006470.1.1"	-2.95381925347119	11.6737513155401	4.06840104778514e-08	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006670.2.1"	-4.25292735010544	5.72790430978777	2.41935794043507e-12	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006680.1.1"	-3.68184032150083	12.3337990748014	2.06949098557275e-11	"Plant senescence-associated protein (Fragment) (AHRD V1 *-*- D7PDP5_9HYPO)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006690.2.1"	-3.60893887422496	7.8665909568096	9.84012662634309e-11	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006810.2.1"	1.90047766128623	4.61435101657106	0.00405889359149309	"Peptidyl-prolyl cis-trans isomerase (AHRD V1 *-*- Q8DJW8_THEEB); contains Interpro domain(s)  IPR001179  Peptidyl-prolyl cis-trans isomerase, FKBP-type "	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008580.1.1"	-2.34371286446049	7.95468156198043	1.46218802835082e-05	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009090.2.1"	-1.4217112757205	5.06099814579919	0.0137273432371093	"Receptor like kinase, RLK"	"AT1G34110"	NA	"leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT3G24240.1); similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT5G48940.1); similar to ATP binding / protein serine/threonine kinase [Arabidopsis thaliana] (TAIR:AT5G56040.2); similar to putative Receptor-like protein kinase precursor [Oryza sativa (japonica cultivar-group)] (GB:BAD46328.1); similar to receptor protein kinase [Pinus sylvestris] (GB:CAC20842.1); similar to CLAVATA-like kinase [Triticum aestivum] (GB:CAJ19346.1); contains InterPro domain Serine/threonine protein kinase; (InterPro:IPR002290); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Leucine-rich repeat, typical subtype; (InterPro:IPR003591); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271); contains InterPro domain Leucine rich repeat, N-terminal; (InterPro:IPR013210)"	73.97	1064	0	1330	96.41873278
"Solyc00g009760.2.1"	-2.12246366990161	10.8450475031334	6.14285510020161e-05	"Cytochrome P450 monooxygenase (Fragment) (AHRD V1 *-*- Q6T4Q1_PYRCO)"	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010530.1.1"	-2.36983512294322	6.62663167188466	1.8670306379828e-05	"Unknown Protein (AHRD V1)"	NA	NA	NA	NA	NA	NA	NA	NA
