"","ITAG","SGN_annotation","AGI","symbol","gene_name","X..identity","alignment.length","e.value","bit.score","percent.query.align"
"1","functions.\""""",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Solyc00g005840.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Solyc00g006800.2.1","Transaldolase (AHRD V1 ***- Q9FVH1_SOLLC); contains Interpro domain(s)  IPR014634  Transaldolase, bacterial/plant type ","AT5G13420",NA,"transaldolase, putative; similar to transaldolase [Solanum tuberosum] (GB:AAB54016.1); similar to transaldolase-like protein [Solanum tuberosum] (GB:ABB17002.1); similar to transaldolase [Lycopersicon esculentum] (GB:AAG16981.1); contains InterPro domain Transaldolase; (InterPro:IPR001585); contains InterPro domain Transaldolase subfamily; (InterPro:IPR004732)",80.83,412,0,658,93.83561644
"4","Solyc00g008580.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Solyc00g011150.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Solyc00g011160.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Solyc00g082550.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Solyc01g005100.2.1","Prolyl 3-hydroxylase 1 (AHRD V1 *--- P3H1_CHICK); contains Interpro domain(s)  IPR006620  Prolyl 4-hydroxylase, alpha subunit ","AT1G68080",NA,"oxidoreductase, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors; similar to Os03g0238700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001049501.1); similar to hypothetical protein SwitDRAFT_3374 [Sphingomonas wittichii RW1] (GB:ZP_01607997.1); contains InterPro domain Prolyl 4-hydroxylase, alpha subunit; (InterPro:IPR006620)",57.25,400,3e-119,425,98.01488834
"9","Solyc01g006400.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Solyc01g006690.2.1","Unknown Protein (AHRD V1)","AT5G12900",NA,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G12330.1); similar to Os08g0508100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001062195.1); similar to Peptidase M14, carboxypeptidase A [Medicago truncatula] (GB:ABE94280.1); similar to Os09g0488800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001063532.1)",54.55,539,3e-152,535,86.53530378
"11","Solyc01g006990.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Solyc01g007230.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Solyc01g007250.2.1","U3 small nucleolar ribonucleoprotein protein IMP4 (AHRD V1 ***- D0N3A6_PHYIN); contains Interpro domain(s)  IPR007109  Brix domain ","AT1G63780","IMP4","Small nucleolar ribonucleoprotein protein involved in ribosomal RNA processing. Located in nucleolus and cajal bodies.",77.89,294,8e-137,483,99.31972789
"14","Solyc01g007510.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Solyc01g007640.2.1","Ycf2 (AHRD V1 ***- D2KLP5_OLEEU); contains Interpro domain(s)  IPR008543  Chloroplast Ycf2 ","ATCG01280","YCF2.2","Identical to Protein ycf2 (ycf2-B) [Arabidopsis Thaliana] (GB:P56786); similar to hypothetical chloroplast RF2 [Vitis vinifera] (GB:YP_567121.1); similar to Hypothetical protein [Gossypium barbadense] (GB:BAF41290.1); similar to hypothetical chloroplast RF2 [Gossypium hirsutum] (GB:YP_538978.1); contains InterPro domain Chloroplast Ycf2; (InterPro:IPR008543); contains InterPro domain AAA ATPase; (InterPro:IPR003593); contains InterPro domain AAA ATPase, central region; (InterPro:IPR003959)",87.1,2310,0,3842,99.91224221
