"","ITAG","SGN_annotation","AGI","symbol","gene_name","X..identity","alignment.length","e.value","bit.score","percent.query.align"
"1","Solyc00g005070.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Solyc00g005880.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Solyc00g020010.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Solyc00g023600.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Solyc00g052430.2.1","Cytochrome c biogenesis FC (AHRD V1 ***- D5I3C4_CITLA)","ATMG00180","CCB452","cytochrome c biogenesis orf452",89.29,364,4e-167,584,94.47368421
"6","Solyc00g069880.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Solyc00g112190.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Solyc00g126000.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Solyc00g166690.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Solyc00g195360.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Solyc00g206460.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Solyc00g281110.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Solyc01g005450.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Solyc01g005850.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Solyc01g005960.2.1","ATP dependent RNA helicase (AHRD V1 ***- B3LKV6_YEAS1); contains Interpro domain(s)  IPR011545  DNA/RNA helicase, DEAD/DEAH box type, N-terminal ","AT2G42520",NA,"DEAD box RNA helicase, putative; Identical to DEAD-box ATP-dependent RNA helicase 37 (EC 3.6.1.-) (RH37) [Arabidopsis Thaliana] (GB:Q84W89;GB:Q9SIN6); similar to ATP-dependent helicase [Arabidopsis thaliana] (TAIR:AT3G58510.3); similar to DEAD box RNA helicase, putative [Arabidopsis thaliana] (TAIR:AT3G58570.1); similar to Os07g0202100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001059135.1); similar to Os03g0805200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051626.1); similar to Helicase, C-terminal [Medicago truncatula] (GB:ABE89166.1); contains InterPro domain DEAD/DEAH box helicase; (InterPro:IPR001410); contains InterPro domain DEAD/DEAH box helicase, N-terminal; (InterPro:IPR011545); contains InterPro domain Helicase, C-terminal; (InterPro:IPR001650)",72.49,567,0,802,89.58677686
