"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g010770.1.1"	-3.26307795321173	3.9663806866359	1.6033356069035e-06	0.000228650233322683	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g019970.2.1"	-2.66150234659487	6.53259774877391	2.65003920822517e-06	0.000352298008978206	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g023580.1.1"	-2.76128556843449	5.3168401265807	2.7412310053436e-06	0.000358451577126176	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g072100.2.1"	-3.10218990156336	4.11640333289024	8.09778756963316e-07	0.000132322910005037	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g085070.2.1"	-4.44214871517664	7.86862323233657	9.88920114871737e-14	2.21616997742756e-10	"Squalene monooxygenase (AHRD V1 ***- Q506K3_DATIN); contains Interpro domain(s)  IPR013698  Squalene epoxidase "	"AT4G37760"	"SQE3"	"squalene monooxygenase, putative / squalene epoxidase, putative; similar to XF1, oxidoreductase [Arabidopsis thaliana] (TAIR:AT1G58440.1); similar to squalene monooxygenase, putative / squalene epoxidase, putative [Arabidopsis thaliana] (TAIR:AT2G22830.1); similar to squalene monooxygenase [Datura innoxia] (GB:AAY22200.1); similar to squalene monooxygenase 2 [Medicago truncatula] (GB:CAD23248.1); similar to putative squalene epoxidase [Lycopersicon esculentum] (GB:AAQ13595.1); contains InterPro domain NAD-binding site; (InterPro:IPR000205); contains InterPro domain Squalene epoxidase; (InterPro:IPR013698); contains InterPro domain FAD dependent oxidoreductase; (InterPro:IPR006076); contains InterPro domain Aromatic-ring hydroxylase; (InterPro:IPR003042)"	81.45	442	0	753	95.04310345
"Solyc00g121730.1.1"	-2.33858737272086	4.66505793781416	8.52667808575929e-05	0.006079909051423	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g131710.1.1"	-2.10380094672328	6.02146553918046	0.000157997222473645	0.0096816501130628	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g166690.1.1"	-2.39769568014856	3.01333197732381	0.000870944834944186	0.0380867170450448	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g005280.2.1"	-2.49794957841213	5.39859739475185	3.74515392683018e-05	0.00304405334975052	"SEC14 cytosolic factor (AHRD V1 **-- B2W8N2_PYRTR); contains Interpro domain(s)  IPR001251  Cellular retinaldehyde-binding/triple function, C-terminal "	"AT1G14820"	NA	"SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein; similar to SEC14 cytosolic factor, putative / phosphoglyceride transfer protein, putative [Arabidopsis thaliana] (TAIR:AT1G01630.1); similar to Cellular retinaldehyde binding/alpha-tocopherol transport; Cellular retinaldehyde-binding/triple function, N-terminal [Medicago truncatula] (GB:ABE80207.1); contains InterPro domain Phosphatidylinositol transfer protein-like, N-terminal; (InterPro:IPR011074); contains InterPro domain Cellular retinaldehyde-binding/triple function, C-terminal; (InterPro:IPR001251)"	63.18	239	4e-91	330	98.34024896
"Solyc01g006110.2.1"	-2.14437385353653	7.58251843594938	0.000107570624931463	0.00724231928454872	"PP2A regulatory subunit TAP46 (AHRD V1 **-- B6TVR5_MAIZE); contains Interpro domain(s)  IPR007304  TAP42-like protein "	"AT5G53000"	"TAP46"	"PP2A-associated protein with a possible function in the chilling response"	71.11	405	2e-133	472	99.50738916
