"","ITAG","SGN_annotation","AGI","symbol","gene_name","X..identity","alignment.length","e.value","bit.score","percent.query.align"
"1","Solyc00g006810.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Solyc00g072100.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Solyc00g323130.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Solyc01g005000.2.1","Glutamate decarboxylase (AHRD V1 ***- Q1I1D8_CITSI); contains Interpro domain(s)  IPR010107  Glutamate decarboxylase ","AT2G02010","GAD4","glutamate decarboxylase, putative; similar to GAD (Glutamate decarboxylase 1), calmodulin binding [Arabidopsis thaliana] (TAIR:AT5G17330.1); similar to glutamate decarboxylase, putative [Arabidopsis thaliana] (TAIR:AT3G17760.1); similar to glutamate decarboxylase, putative [Arabidopsis thaliana] (TAIR:AT2G02000.1); similar to glutamate decarboxylase 4b [Brassica juncea] (GB:AAS79671.1); similar to glutamate decarboxylase 4a [Brassica juncea] (GB:AAS79670.1); similar to glutamate decarboxylase isozyme 1 [Nicotiana tabacum] (GB:AAC24195.1); contains InterPro domain Glutamate decarboxylase; (InterPro:IPR010107); contains InterPro domain Pyridoxal-dependent decarboxylase; (InterPro:IPR002129)",82.42,495,0,816,99.58762887
"5","Solyc01g005060.2.1","Zinc finger protein (AHRD V1 *-*- Q764N7_MALDO); contains Interpro domain(s)  IPR007087  Zinc finger, C2H2-type ","AT2G01940","ATIDD15","May be involved in an early event in shoot gravitropism such as gravity perception and/or a signaling process subsequent to amyloplast sedimentation as a putative transcription factor in gravity-perceptive cells.",55.61,374,4e-109,391,88.52941176
"6","Solyc01g005120.2.1","Xyloglucan endotransglucosylase/hydrolase 13 (AHRD V1 **** C0IRH2_ACTDE); contains Interpro domain(s)  IPR016455  Xyloglucan endotransglucosylase/hydrolase ","AT1G14720","ATXTH28","member of Glycoside Hydrolase Family 16",68.54,302,1e-127,452,89.28571429
"7","Solyc01g005910.2.1","Acid phosphatase/vanadium-dependent haloperoxidase related (AHRD V1 *--- B2A528_NATTJ); contains Interpro domain(s)  IPR003832  Acid phosphatase/vanadium-dependent haloperoxidase related ","AT3G12685",NA,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G24350.1); similar to Acid phosphatase/vanadium-dependent haloperoxidase related [Medicago truncatula] (GB:ABE86902.1); contains InterPro domain Acid phosphatase/vanadium-dependent haloperoxidase; (InterPro:IPR008934); contains InterPro domain Acid phosphatase/vanadium-dependent haloperoxidase related; (InterPro:IPR003832)",52.4,208,6e-42,167,77.52808989
"8","Solyc01g007070.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Solyc01g007260.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Solyc01g008230.2.1","TCP family transcription factor (AHRD V1 *-** A6MCZ2_9ORYZ); contains Interpro domain(s)  IPR005333  Transcription factor, TCP ","AT5G23280",NA,"TCP family transcription factor, putative; similar to TCP family transcription factor, putative [Arabidopsis thaliana] (TAIR:AT5G08330.1); similar to unknown [Brassica rapa] (GB:ABB97033.1); contains InterPro domain TCP transcription factor; (InterPro:IPR005333)",59.71,206,3e-57,218,77.2
"11","Solyc01g008850.2.1","CBL-interacting protein kinase 18 (AHRD V1 ***- C4P7W7_VITVI); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase ","AT2G26980","CIPK3","encodes a serine-threonine protein kinase whose expression increases in response to abscisic acid, cold, drought, high salt, and wounding conditions. The gene is expressed in developing seeds and seedlings. Lines carrying a T-DNA insertions have reduced germination efficiency and expression of cold, high-salt, and abscisic acid marker genes are altered, but not drought-response markers.",81.73,427,0,751,96.81093394
"12","Solyc01g009240.2.1","Beta-D-glucosidase (AHRD V1 ***- O82074_TROMA); contains Interpro domain(s)  IPR001764  Glycoside hydrolase, family 3, N-terminal ","AT5G20950",NA,"glycosyl hydrolase family 3 protein; similar to glycosyl hydrolase family 3 protein [Arabidopsis thaliana] (TAIR:AT3G62710.1); similar to glycosyl hydrolase family 3 protein [Arabidopsis thaliana] (TAIR:AT5G20940.1); similar to glycosyl hydrolase family 3 protein [Arabidopsis thaliana] (TAIR:AT5G04885.1); similar to beta-D-glucan exohydrolase [Nicotiana tabacum] (GB:BAA33065.1); similar to beta-D-glucosidase [Tropaeolum majus] (GB:CAA07070.1); similar to beta-D-glucosidase [Gossypium hirsutum] (GB:AAQ17461.1); contains InterPro domain Glycoside hydrolase, family 3, C-terminal; (InterPro:IPR002772); contains InterPro domain Glycoside hydrolase, family 3, N-terminal; (InterPro:IPR001764)",73.24,624,0,904,98.11023622
"13","Solyc01g009340.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Solyc01g009900.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Solyc01g010180.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Solyc01g010200.2.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Solyc01g028830.2.1","ATP binding / serine-threonine kinase (AHRD V1 **** C5DB71_VITVI); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase ","AT5G56460",NA,"protein kinase, putative; similar to protein kinase family protein [Arabidopsis thaliana] (TAIR:AT5G01020.1); similar to Protein kinase [Medicago truncatula] (GB:ABE87464.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271)",76.92,390,3e-173,604,98.4496124
