"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g006470.1.1"	3.43562385692797	11.7593619910834	9.82729091239289e-07	0.000161567518849213	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006670.2.1"	4.51691153260372	6.46583530666685	3.23219147081227e-09	1.47419210341338e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006680.1.1"	3.94675389327027	12.4671276629622	3.54987611836899e-08	1.04566038411706e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006690.2.1"	3.51557289043601	8.26794765593615	1.47656969494168e-06	0.000215229060997737	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008580.1.1"	3.07962721191942	8.14115617037602	1.29082358038527e-05	0.00128527849317376	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009760.2.1"	3.30028557471312	10.7622434810186	2.3350432689924e-06	0.00032367820372827	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010530.1.1"	3.23773153898199	6.92156810816666	3.32208917525508e-06	0.000430926778430565	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011150.1.1"	2.89796500719362	9.57164427130431	2.64874492512684e-05	0.00234066278102302	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011160.1.1"	4.99400679949391	11.3533511127306	4.15127302696171e-11	7.33685616602645e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011170.1.1"	2.82568569329532	10.4866299035659	4.29189894101629e-05	0.00347052480262309	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g012430.1.1"	3.76983138597004	9.2812262703433	1.33751950112662e-07	3.00177590895703e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g012440.1.1"	4.01365571938122	13.3646819079399	2.22750892034562e-08	7.29503154203422e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g013180.1.1"	2.65422019584681	8.0244207140594	0.000113493962505665	0.00764138636127424	"NADH-ubiquinone oxidoreductase chain 4 (AHRD V1 ***- Q5M9Z8_TOBAC); contains Interpro domain(s)  IPR001750  NADH:ubiquinone/plastoquinone oxidoreductase "	"ATMG00580"	"NAD4"	"NADH dehydrogenase subunit 4"	92.91	141	7e-70	259	79.0960452
"Solyc00g014800.1.1"	-4.26387527720982	7.66922277448396	1.58213688837071e-06	0.000228263606782383	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g019990.1.1"	3.02353199918402	5.8308916228633	5.74445022991843e-05	0.00446268031872619	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g068970.2.1"	4.66804726194683	13.1437672990472	2.44305911472756e-10	2.65710867870254e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g071180.2.1"	4.21453807573121	6.7934849010786	1.07521372667647e-08	4.10876942742665e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g102000.1.1"	4.48496566996982	12.1493888554799	9.18340158077519e-10	6.00369118253145e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g112190.2.1"	-4.19449932672677	6.14201200058445	1.08168544246647e-06	0.000171842140123971	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g127660.2.1"	2.36892215027269	4.82371723519661	0.00090049880857372	0.0404195322362661	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g187050.2.1"	6.57190549021233	6.619014422431	4.08465036162842e-13	1.92509571543547e-09	"Leucyl aminopeptidase (AHRD V1 ***- D7DWG6_NOSA0); contains Interpro domain(s)  IPR011356  Peptidase M17, leucyl aminopeptidase "	"AT4G30920"	NA	"cytosol aminopeptidase family protein; Identical to Leucine aminopeptidase 3, chloroplast precursor (EC 3.4.11.1) (LAP 3) (Leucyl aminopeptidase 3) (Proline aminopeptidase 3) (EC 3.4.11.5) (Prolyl aminopeptidase 3) [Arabidopsis Thaliana] (GB:Q944P7;GB:O65557); similar to cytosol aminopeptidase [Arabidopsis thaliana] (TAIR:AT2G24200.1); similar to cytosol aminopeptidase family protein [Arabidopsis thaliana] (TAIR:AT4G30910.1); similar to Leucine aminopeptidase 2, chloroplast precursor (LAP 2) (Leucyl aminopeptidase 2) (Proline aminopeptidase 2) (Prolyl aminopeptidase 2) (GB:Q42876); similar to neutral leucine aminopeptidase preprotein; preLAP-N; metallo-exopeptidase; leucyl aminopeptidase; LAP [Lycopersicon esculentum] (GB:AAO15916.1); similar to Cytosol aminopeptidase family, catalytic domain, putative [Medicago truncatula] (GB:ABE88725.1); contains InterPro domain Peptidase M17, leucyl aminopeptidase, N-terminal; (InterPro:IPR008283); contains InterPro domain Peptidase M17, leucyl aminopeptidase, C-terminal; (InterPro:IPR000819)"	66.39	488	4e-177	617	95.08840864
"Solyc00g323130.2.1"	-3.5535052275237	4.16380337012735	0.000409733747459368	0.0212986229975294	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g005600.2.1"	2.79601285837095	5.69640392227939	6.48700103951956e-05	0.0048787078562642	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g005970.2.1"	3.03200828401086	4.66864569837507	0.000445598046969321	0.0229102210403608	"Kelch-like protein 3 (AHRD V1 *-*- KLHL3_PONAB); contains Interpro domain(s)  IPR015915  Kelch-type beta propeller "	"AT1G55270"	NA	"kelch repeat-containing F-box family protein; similar to kelch repeat-containing F-box family protein [Arabidopsis thaliana] (TAIR:AT1G22040.1); similar to Cyclin-like F-box; Serine/threonine protein phosphatase, BSU1 [Medicago truncatula] (GB:ABE78679.1); similar to Os10g0409900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001064574.1); similar to Cyclin-like F-box [Medicago truncatula] (GB:ABE86510.1); contains InterPro domain Cyclin-like F-box; (InterPro:IPR001810); contains InterPro domain Galactose oxidase, central; (InterPro:IPR011043); contains InterPro domain Kelch repeat; (InterPro:IPR006652)"	79.68	438	0	746	99.543379
"Solyc01g006340.2.1"	4.07381681983021	5.32843468927426	2.23560096919315e-06	0.00031296200102398	"ATP dependent RNA helicase (AHRD V1 ***- B3LKV6_YEAS1); contains Interpro domain(s)  IPR011545  DNA/RNA helicase, DEAD/DEAH box type, N-terminal "	"AT3G02065"	NA	"ATP binding / ATP-dependent helicase; Identical to DEAD-box ATP-dependent RNA helicase 41 (EC 3.6.1.-) (RH41) [Arabidopsis Thaliana] (GB:Q3EBD3;GB:Q8VZ85); similar to DEAD box RNA helicase, putative [Arabidopsis thaliana] (TAIR:AT2G42520.1); similar to putative DEAD box [Oryza sativa (japonica cultivar-group)] (GB:BAD15860.1); contains InterPro domain DEAD/DEAH box helicase; (InterPro:IPR001410); contains InterPro domain Zinc finger, HIT-type; (InterPro:IPR007529); contains InterPro domain DEAD/DEAH box helicase, N-terminal; (InterPro:IPR011545); contains InterPro domain Helicase, C-terminal; (InterPro:IPR001650)"	65.1	510	0	692	98.25242718
