"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g007200.2.1"	-1.1570315331647	4.95254968011255	0.0415218184241063	0.433949676434907	"MLO-like protein 3 (AHRD V1 ***- C6EWE6_VITVI); contains Interpro domain(s)  IPR004326  Mlo-related protein "	"AT2G17480"	"ATMLO8"	"A member of a large family of seven-transmembrane domain proteins specific to plants, homologs of the barley mildew resistance locus o (MLO) protein. The Arabidopsis genome contains 15 genes encoding MLO proteins, with localization in plasma membrane. Phylogenetic analysis revealed four clades of closely-related AtMLO genes. ATMLO8 belongs to the clade III, with AtMLO5, AtMLO7, AtMLO9, and AtMLO10. The gene is expressed during seedling growth, in cotyledons and hypocotyl, and in fruit abscission zone, as shown by GUS activity patterns. The expression of several phylogenetically closely-related AtMLO genes showed similar or overlapping tissue specificity and analogous responsiveness to external stimuli, suggesting functional redundancy, co-function, or antagonistic function(s)."	62.21	561	0	651	97.65765766
"Solyc00g011880.2.1"	-1.79257731393501	4.59265688371318	0.003305617069329	0.0954976334559189	"AIG2-like protein (AHRD V1 ***- B4FVZ7_MAIZE); contains Interpro domain(s)  IPR009288  AIG2-like "	"AT2G24390"	NA	"similar to avirulence-responsive protein-related / avirulence induced gene (AIG) protein-related [Arabidopsis thaliana] (TAIR:AT4G31310.1); similar to Os02g0141000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001045856.1); similar to hypothetical protein SNOG_11054 [Phaeosphaeria nodorum SN15] (GB:EAT81553.1); similar to conserved hypothetical protein [Caldicellulosiruptor saccharolyticus DSM 8903] (GB:ZP_00885054.1); contains InterPro domain AIG2-like; (InterPro:IPR009288)"	60.14	148	5e-48	186	92.99363057
"Solyc00g011890.2.1"	-1.44251342307652	5.62021282552574	0.0100542412664273	0.198873688558162	"Galactokinase like protein (AHRD V1 **** O23461_ARATH); contains Interpro domain(s)  IPR012369  Galactokinase, glycosyltransferase "	"AT4G16130"	"ARA1"	"Similar to galactokinase."	79.22	977	0	1513	92.28543877
"Solyc00g021630.1.1"	1.14172606983786	6.17534836746952	0.0561359353940372	0.49820797672706	"NADH-ubiquinone oxidoreductase chain 6 (Fragment) (AHRD V1 ***- Q2PZB4_BRAOB); contains Interpro domain(s)  IPR001457  NADH:ubiquinone/plastoquinone oxidoreductase, chain 6 "	"ATMG00270"	"NAD6"	"NADH dehydrogenase subunit 6"	96.06	203	3e-103	370	92.66055046
"Solyc00g052430.2.1"	-1.56457261975458	4.13010752126531	0.00769687442106585	0.16794780871234	"Cytochrome c biogenesis FC (AHRD V1 ***- D5I3C4_CITLA)"	"ATMG00180"	"CCB452"	"cytochrome c biogenesis orf452"	89.29	364	4e-167	584	94.47368421
"Solyc00g085070.2.1"	-4.44214871517555	7.87186414099158	9.88920114092038e-14	2.21616997568026e-10	"Squalene monooxygenase (AHRD V1 ***- Q506K3_DATIN); contains Interpro domain(s)  IPR013698  Squalene epoxidase "	"AT4G37760"	"SQE3"	"squalene monooxygenase, putative / squalene epoxidase, putative; similar to XF1, oxidoreductase [Arabidopsis thaliana] (TAIR:AT1G58440.1); similar to squalene monooxygenase, putative / squalene epoxidase, putative [Arabidopsis thaliana] (TAIR:AT2G22830.1); similar to squalene monooxygenase [Datura innoxia] (GB:AAY22200.1); similar to squalene monooxygenase 2 [Medicago truncatula] (GB:CAD23248.1); similar to putative squalene epoxidase [Lycopersicon esculentum] (GB:AAQ13595.1); contains InterPro domain NAD-binding site; (InterPro:IPR000205); contains InterPro domain Squalene epoxidase; (InterPro:IPR013698); contains InterPro domain FAD dependent oxidoreductase; (InterPro:IPR006076); contains InterPro domain Aromatic-ring hydroxylase; (InterPro:IPR003042)"	81.45	442	0	753	95.04310345
"Solyc00g110870.2.1"	-1.42791084775335	5.68453180158409	0.0113047381109039	0.210749530500225	"Receptor like kinase, RLK"	"AT4G23740"	NA	"leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT1G64210.1); similar to putative receptor-like kinase [Oryza sativa (japonica cultivar-group)] (GB:BAA94519.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Leucine rich repeat, N-terminal; (InterPro:IPR013210)"	53.68	421	3e-116	415	92.92237443
"Solyc01g005080.2.1"	-1.60457454177993	4.33779234590707	0.00820553122143178	0.175847224413388	"Microtubule-associated protein MAP65-1a (AHRD V1 **** C0J9Z7_ORYNI); contains Interpro domain(s)  IPR007145  MAP65/ASE1 "	"AT2G01910"	"ATMAP65-6"	"Binds microtubules. Induces a crisscross mesh of microtubules, not bundles.  Not involved in microtubule polymerization nor nucleation. Localizes to mitochondria."	67.2	567	0	732	99.64285714
"Solyc01g005280.2.1"	-2.49794957841194	5.41561247943414	3.74515392596013e-05	0.00304405334904334	"SEC14 cytosolic factor (AHRD V1 **-- B2W8N2_PYRTR); contains Interpro domain(s)  IPR001251  Cellular retinaldehyde-binding/triple function, C-terminal "	"AT1G14820"	NA	"SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein; similar to SEC14 cytosolic factor, putative / phosphoglyceride transfer protein, putative [Arabidopsis thaliana] (TAIR:AT1G01630.1); similar to Cellular retinaldehyde binding/alpha-tocopherol transport; Cellular retinaldehyde-binding/triple function, N-terminal [Medicago truncatula] (GB:ABE80207.1); contains InterPro domain Phosphatidylinositol transfer protein-like, N-terminal; (InterPro:IPR011074); contains InterPro domain Cellular retinaldehyde-binding/triple function, C-terminal; (InterPro:IPR001251)"	63.18	239	4e-91	330	98.34024896
"Solyc01g005690.2.1"	1.33885295769417	5.12957527441625	0.0246297823275845	0.329383968774781	"Unknown Protein (AHRD V1)"	"AT4G08810"	"SUB1"	"Calcium binding protein involved in cryptochrome and phytochrome coaction"	68.8	391	3e-131	465	86.93693694
