"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g023580.1.1"	-3.72797585751506	4.87875823441984	4.73674365766734e-05	0.0130324588834385	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g166690.1.1"	-5.50669157614823	4.65178703832092	1.06975790578068e-06	0.00100370035509872	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g323130.2.1"	2.85536224975237	5.62439706589732	0.000496627958316317	0.0484115513652244	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g014500.1.1"	-3.56471615685342	4.10995895830237	0.000171537440355779	0.0263873288652726	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g020200.1.1"	-3.40769691828399	6.69329133170355	7.92732983718331e-05	0.0167893250157581	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g022780.1.1"	-3.45407379508371	4.89789201726001	0.000279587616948167	0.0361824940140162	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g028970.1.1"	-3.01676862990953	6.11683996647845	0.00042907166773432	0.045102122567863	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g049700.2.1"	-3.39747851008835	4.76805059489303	0.000154352080688651	0.0254630047834949	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g066440.2.1"	-4.55142949702835	4.07140606098151	3.54726826633528e-05	0.0113301257902607	"Unknown Protein (AHRD V1)"	"AT3G06840"	NA	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G49170.1)"	52.33	193	1e-38	155	98.91891892
"Solyc01g080580.2.1"	3.35455303163723	4.39086259337537	0.000359652758057459	0.0415315938766044	"Inosine-uridine preferring nucleoside hydrolase family protein (AHRD V1 **** D7LYI5_ARALY); contains Interpro domain(s)  IPR001910  Inosine/uridine-preferring nucleoside hydrolase "	"AT5G18860"	NA	"inosine-uridine preferring nucleoside hydrolase family protein; similar to inosine-uridine preferring nucleoside hydrolase family protein [Arabidopsis thaliana] (TAIR:AT5G18890.1); similar to putative inosine-uridine preferring nucleoside hydrolase [Oryza sativa (japonica cultivar-group)] (GB:AAT38028.1); similar to hypothetical protein [Cleome spinosa] (GB:ABD96887.1); similar to putative inosine-uridine preferring nucleoside hydrolase [Oryza sativa (japonica cultivar-group)] (GB:AAT38027.1); contains InterPro domain Inosine/uridine-preferring nucleoside hydrolase; (InterPro:IPR001910)"	58.23	857	0	936	95.06781751
"Solyc01g087050.2.1"	7.31978064982335	4.1855041820449	5.11314292122915e-06	0.00274137505476757	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g094650.2.1"	-3.70856148759896	4.15582753682886	0.000171537440355779	0.0263873288652726	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g096260.2.1"	3.94665866902325	4.60725557700257	4.94837567516651e-05	0.0130324588834385	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g098190.2.1"	5.69436899266601	4.53516579854259	3.60970919495271e-06	0.00225787310144292	"Sodium/hydrogen exchanger (AHRD V1 **** Q1JRA2_SOLLC); contains Interpro domain(s)  IPR018407  Na+/H+ exchanger, isoforms 1-4, conserved region "	"AT3G05030"	"ATNHX2"	"member of Sodium proton exchanger family"	76.91	537	0	754	98.88268156
"Solyc01g100510.2.1"	6.74496806894896	3.71412012111088	5.89742561681037e-05	0.0142793795741221	"Knotted-like homeobox protein (AHRD V1 ***- Q49RB7_POPTO); contains Interpro domain(s)  IPR001356  Homeobox  IPR005539  ELK  IPR017970  Homeobox, conserved site "	"AT1G23380"	"KNAT6"	"homeodomain transcription factor KNAT6, belonging to class I of KN transcription factor family (which also includes KNAT1 and KNAT2). Expression is increased in as and bop1 leaf mutants."	51.1	272	7e-63	237	80.35714286
"Solyc01g102340.2.1"	7.58707442951461	4.64040175358321	1.63486499317385e-06	0.00129807844239966	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g105680.2.1"	3.63713735738774	4.46123174107595	0.000115041543063483	0.0210610200545001	"Phototropic-responsive NPH3 family protein (AHRD V1 **-- D7KEU3_ARALY); contains Interpro domain(s)  IPR004249  NPH3 "	"AT5G64330"	"JK218"	"Involved in blue light response signaling pathway; interacts with the blue light photoreceptor NPH1.Null mutations abolish phototrophic responses of etiolated seedlings to low fluence blue light.  Protein contains multiple protein-protein interaction domains."	70.68	723	0	955	96.86567164
"Solyc01g105690.2.1"	-3.96129237762121	5.78229852001349	7.5009222780411e-06	0.00331187780111626	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g106910.2.1"	3.35202568239897	5.9748736534865	8.9981671455559e-05	0.0182541196201466	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g107430.2.1"	3.6210782928938	3.90420893067325	0.000295064319917433	0.0378590219709445	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g108000.2.1"	3.97676420726908	4.18842867987621	0.000171537440355779	0.0263873288652726	"Receptor-like kinase (AHRD V1 *-*- A7VM68_9VIRI); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase "	"AT1G49730"	NA	"protein kinase family protein; similar to protein kinase family protein [Arabidopsis thaliana] (TAIR:AT3G19300.1); similar to H0814G11.12 [Oryza sativa (indica cultivar-group)] (GB:CAJ86345.1); similar to Os04g0689400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001054345.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Protein kinase; (InterPro:IPR000719)"	60.3	592	0	672	87.1641791
"Solyc01g109650.2.1"	-3.54601222387795	6.07086567784392	5.16195913529784e-05	0.0133605742308778	"Receptor like kinase, RLK"	"AT2G16250"	NA	"leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT4G39270.1); similar to Os03g0724300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051121.1); similar to Os07g0134600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001058843.1); similar to putative receptor-like protein kinase [Oryza sativa (japonica cultivar-group)] (GB:AAP68881.1); contains InterPro domain Serine/threonine protein kinase; (InterPro:IPR002290); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Leucine-rich repeat, typical subtype; (InterPro:IPR003591); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Tyrosine protein kinase; (InterPro:IPR001245); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090)"	58.14	817	0	803	89.00226757
"Solyc01g111340.2.1"	6.95616510893272	3.8861152129327	2.47541536781066e-05	0.00864207802362179	"Endo-1 4-beta-xylanase (AHRD V1 **-- B6SW51_MAIZE); contains Interpro domain(s)  IPR013781  Glycoside hydrolase, subgroup, catalytic core "	"AT4G38650"	NA	"glycosyl hydrolase family 10 protein; similar to glycosyl hydrolase family 10 protein [Arabidopsis thaliana] (TAIR:AT4G38300.1); similar to Glycosyl hydrolase family 10 protein, expressed [Oryza sativa (japonica cultivar-group)] (GB:ABF94920.1); similar to Glycosyl hydrolase family 10 protein, expressed [Oryza sativa (japonica cultivar-group)] (GB:ABF94921.1); contains InterPro domain Glycoside hydrolase, family 10; (InterPro:IPR001000); contains InterPro domain Galactose-binding like; (InterPro:IPR008979)"	56.87	531	0	643	94.89051095
