"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc01g066440.2.1"	-4.55142949702835	4.07140606098151	3.54726826633528e-05	0.0113301257902607	"Unknown Protein (AHRD V1)"	"AT3G06840"	NA	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G49170.1)"	52.33	193	1e-38	155	98.91891892
"Solyc01g080580.2.1"	3.35455303163723	4.39086259337537	0.000359652758057459	0.0415315938766044	"Inosine-uridine preferring nucleoside hydrolase family protein (AHRD V1 **** D7LYI5_ARALY); contains Interpro domain(s)  IPR001910  Inosine/uridine-preferring nucleoside hydrolase "	"AT5G18860"	NA	"inosine-uridine preferring nucleoside hydrolase family protein; similar to inosine-uridine preferring nucleoside hydrolase family protein [Arabidopsis thaliana] (TAIR:AT5G18890.1); similar to putative inosine-uridine preferring nucleoside hydrolase [Oryza sativa (japonica cultivar-group)] (GB:AAT38028.1); similar to hypothetical protein [Cleome spinosa] (GB:ABD96887.1); similar to putative inosine-uridine preferring nucleoside hydrolase [Oryza sativa (japonica cultivar-group)] (GB:AAT38027.1); contains InterPro domain Inosine/uridine-preferring nucleoside hydrolase; (InterPro:IPR001910)"	58.23	857	0	936	95.06781751
"Solyc01g098190.2.1"	5.69436899266601	4.53516579854259	3.60970919495271e-06	0.00225787310144292	"Sodium/hydrogen exchanger (AHRD V1 **** Q1JRA2_SOLLC); contains Interpro domain(s)  IPR018407  Na+/H+ exchanger, isoforms 1-4, conserved region "	"AT3G05030"	"ATNHX2"	"member of Sodium proton exchanger family"	76.91	537	0	754	98.88268156
"Solyc01g100510.2.1"	6.74496806894896	3.71412012111088	5.89742561681037e-05	0.0142793795741221	"Knotted-like homeobox protein (AHRD V1 ***- Q49RB7_POPTO); contains Interpro domain(s)  IPR001356  Homeobox  IPR005539  ELK  IPR017970  Homeobox, conserved site "	"AT1G23380"	"KNAT6"	"homeodomain transcription factor KNAT6, belonging to class I of KN transcription factor family (which also includes KNAT1 and KNAT2). Expression is increased in as and bop1 leaf mutants."	51.1	272	7e-63	237	80.35714286
"Solyc01g105680.2.1"	3.63713735738774	4.46123174107595	0.000115041543063483	0.0210610200545001	"Phototropic-responsive NPH3 family protein (AHRD V1 **-- D7KEU3_ARALY); contains Interpro domain(s)  IPR004249  NPH3 "	"AT5G64330"	"JK218"	"Involved in blue light response signaling pathway; interacts with the blue light photoreceptor NPH1.Null mutations abolish phototrophic responses of etiolated seedlings to low fluence blue light.  Protein contains multiple protein-protein interaction domains."	70.68	723	0	955	96.86567164
"Solyc01g108000.2.1"	3.97676420726908	4.18842867987621	0.000171537440355779	0.0263873288652726	"Receptor-like kinase (AHRD V1 *-*- A7VM68_9VIRI); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase "	"AT1G49730"	NA	"protein kinase family protein; similar to protein kinase family protein [Arabidopsis thaliana] (TAIR:AT3G19300.1); similar to H0814G11.12 [Oryza sativa (indica cultivar-group)] (GB:CAJ86345.1); similar to Os04g0689400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001054345.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Protein kinase; (InterPro:IPR000719)"	60.3	592	0	672	87.1641791
"Solyc01g109650.2.1"	-3.54601222387795	6.07086567784392	5.16195913529784e-05	0.0133605742308778	"Receptor like kinase, RLK"	"AT2G16250"	NA	"leucine-rich repeat transmembrane protein kinase, putative; similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT4G39270.1); similar to Os03g0724300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051121.1); similar to Os07g0134600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001058843.1); similar to putative receptor-like protein kinase [Oryza sativa (japonica cultivar-group)] (GB:AAP68881.1); contains InterPro domain Serine/threonine protein kinase; (InterPro:IPR002290); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Leucine-rich repeat, typical subtype; (InterPro:IPR003591); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Tyrosine protein kinase; (InterPro:IPR001245); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090)"	58.14	817	0	803	89.00226757
"Solyc01g111340.2.1"	6.95616510893272	3.8861152129327	2.47541536781066e-05	0.00864207802362179	"Endo-1 4-beta-xylanase (AHRD V1 **-- B6SW51_MAIZE); contains Interpro domain(s)  IPR013781  Glycoside hydrolase, subgroup, catalytic core "	"AT4G38650"	NA	"glycosyl hydrolase family 10 protein; similar to glycosyl hydrolase family 10 protein [Arabidopsis thaliana] (TAIR:AT4G38300.1); similar to Glycosyl hydrolase family 10 protein, expressed [Oryza sativa (japonica cultivar-group)] (GB:ABF94920.1); similar to Glycosyl hydrolase family 10 protein, expressed [Oryza sativa (japonica cultivar-group)] (GB:ABF94921.1); contains InterPro domain Glycoside hydrolase, family 10; (InterPro:IPR001000); contains InterPro domain Galactose-binding like; (InterPro:IPR008979)"	56.87	531	0	643	94.89051095
"Solyc02g068900.2.1"	6.35414657338438	3.83150209907521	0.000250469251471625	0.0338100156539796	"Glutathione transferase (AHRD V1 **** Q2KKB6_THLCA); contains Interpro domain(s)  IPR016639  Glutathione S-transferase, predicted "	"AT4G19880"	NA	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G45020.1); similar to Glutathione S-transferase, C-terminal-like [Medicago truncatula] (GB:ABC75353.1); contains InterPro domain Thioredoxin-like fold; (InterPro:IPR012336); contains InterPro domain Glutathione S-transferase, C-terminal-like; (InterPro:IPR010987); contains InterPro domain Glutathione S-transferase, C-terminal; (InterPro:IPR004046)"	79.75	316	4e-156	547	99.05660377
"Solyc02g071710.2.1"	4.34216135976069	7.38671195718322	7.47620870844703e-07	0.000748218967541379	"GDSL esterase/lipase At1g29670 (AHRD V1 ***- GDL15_ARATH); contains Interpro domain(s)  IPR001087  Lipase, GDSL "	"AT1G29670"	NA	"GDSL-motif lipase/hydrolase family protein; similar to GDSL-motif lipase/hydrolase family protein [Arabidopsis thaliana] (TAIR:AT1G29660.1); similar to GDSL-lipase 1 [Capsicum annuum] (GB:AAZ23955.1); contains InterPro domain Lipolytic enzyme, G-D-S-L; (InterPro:IPR001087)"	50.41	367	5e-101	364	95.01312336
"Solyc02g082510.1.1"	4.06104963351804	5.1461821172765	4.39252338986267e-05	0.0125720769912992	"Amino acid transporter family protein (AHRD V1 **** D7LI10_ARALY); contains Interpro domain(s)  IPR013057  Amino acid transporter, transmembrane "	"AT4G38250"	NA	"amino acid transporter family protein; similar to amino acid transporter family protein [Arabidopsis thaliana] (TAIR:AT2G42005.1); similar to amino acid transport protein (GB:AAB82307.1); similar to OSIGBa0158F05.8 [Oryza sativa (indica cultivar-group)] (GB:CAH66759.1); similar to OSJNBa0017B10.14 [Oryza sativa (japonica cultivar-group)] (GB:CAE03099.2); contains InterPro domain Amino acid/polyamine transporter II; (InterPro:IPR002422); contains InterPro domain Amino acid transporter, transmembrane; (InterPro:IPR013057)"	67.2	436	6e-156	547	99.29577465
"Solyc03g006900.1.1"	-3.3274896605945	5.8554467916046	9.93908647059851e-05	0.0191289187303365	"Crinkler (CRN) family protein (AHRD V1 *-*- D0NJ10_PHYIN); contains Interpro domain(s)  IPR011009  Protein kinase-like "	"AT5G51800"	NA	"similar to gt-2-related [Arabidopsis thaliana] (TAIR:AT2G33550.1); similar to CRN-like CRN8 [Phytophthora infestans] (GB:AAY43402.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009)"	51.44	935	0	856	91.10429448
"Solyc03g025700.1.1"	-3.88509203744828	4.29938222240579	6.24515944521284e-05	0.0147333457647299	"Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7KHY5_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat "	"AT4G25270"	NA	"pentatricopeptide (PPR) repeat-containing protein; similar to CRR2 (CHLORORESPIRATORY REDUCTION 2), binding [Arabidopsis thaliana] (TAIR:AT3G46790.1); similar to Os03g0852700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051926.1); similar to hypothetical protein [Oryza sativa (japonica cultivar-group)] (GB:AAO20081.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990)"	53.01	515	3e-171	598	95.18518519
"Solyc03g026080.2.1"	6.19166717856878	3.73959871661522	0.000487954260452539	0.0478769239079315	"Rhomboid family protein (AHRD V1 **-- D7M0H4_ARALY); contains Interpro domain(s)  IPR002610  Peptidase S54, rhomboid "	"AT1G63120"	"ATRBL2"	"AtRBL2 has been identified as a rhomboid protein involved in regulated intramembrane proteolysis (RIP). The enzyme has the proteolytic activity and substrate specificity comparable to the Drosophila Rho-1 protein."	66.46	319	7e-81	297	98.43260188
"Solyc03g098340.2.1"	-3.1261441036493	5.30918886912813	0.000382725557874121	0.0422461476088698	"Unknown Protein (AHRD V1)"	"AT1G73240"	NA	"similar to hypothetical protein SDM1_56t00017 [Solanum demissum] (GB:AAU90340.1)"	52.79	538	5e-128	454	96.06440072
"Solyc03g112640.2.1"	-5.89620395630678	6.63599953378816	3.62258037412054e-09	1.81273921920992e-05	"CRAL/TRIO domain containing protein (AHRD V1 **-- B6UD95_MAIZE); contains Interpro domain(s)  IPR001251  Cellular retinaldehyde-binding/triple function, C-terminal "	"AT5G63060"	NA	"transporter; similar to SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein [Arabidopsis thaliana] (TAIR:AT4G08690.1); similar to Os02g0321500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001046687.1); similar to Phosphatidylinositol transfer protein PDR16 and related proteins (ISS) [Ostreococcus tauri] (GB:CAL56738.1); contains InterPro domain Phosphatidylinositol transfer protein-like, N-terminal; (InterPro:IPR011074); contains InterPro domain Cellular retinaldehyde-binding/triple function, C-terminal; (InterPro:IPR001251)"	67.81	233	7e-95	343	88.21292776
"Solyc03g115400.1.1"	-3.66323285961344	3.73362234187777	0.000330163698673032	0.040123126204056	"Pre-mRNA-splicing factor ATP-dependent RNA helicase-like protein cdc28 (AHRD V1 ***- CDC28_SCHPO)"	"AT2G35340"	"MEE29"	"MEE29 (maternal effect embryo arrest 29); ATP-dependent RNA helicase; similar to RNA helicase, putative [Arabidopsis thaliana] (TAIR:AT4G16680.1); similar to ATP-dependent RNA helicase, putative [Arabidopsis thaliana] (TAIR:AT3G26560.1); similar to EMB2733/ESP3 (EMBRYO DEFECTIVE 2733), ATP-dependent RNA helicase [Arabidopsis thaliana] (TAIR:AT1G32490.1); similar to PREDICTED: similar to Putative pre-mRNA splicing factor RNA helicase (ATP-dependent RNA helicase #3) (DEAH-box protein 16) isoform 1 [Canis familiaris] (GB:XP_538827.2); similar to PREDICTED: similar to Putative pre-mRNA splicing factor RNA helicase (ATP-dependent RNA helicase #3) (DEAH-box protein 16) isoform 6 [Bos taurus] (GB:XP_872459.1); similar to RNA helicase-like [Oryza sativa (japonica cultivar-group)] (GB:BAD01767.1); contains InterPro domain ATP-dependent helicase, DEAH-box; (InterPro:IPR002464); contains InterPro domain Helicase-associated region; (InterPro:IPR007502); contains InterPro domain DEAD/DEAH box helicase; (InterPro:IPR001410); contains InterPro domain Protein of unknown function DUF1605; (InterPro:IPR011709); contains InterPro domain DEAD/DEAH box helicase, N-terminal; (InterPro:IPR011545); contains InterPro domain Helicase, C-terminal; (InterPro:IPR001650)"	53.68	136	8e-31	129	97.10144928
"Solyc03g123540.2.1"	-3.45613762244655	5.32028102680859	0.00011921169248599	0.0215615171999961	"class II heat shock protein (AHRD V1 ***- B6U175_MAIZE); contains Interpro domain(s)  IPR002068  Heat shock protein Hsp20 "	"AT1G54050"	NA	"17.4 kDa class III heat shock protein (HSP17.4-CIII); similar to AT-HSP17.6A (Arabidopsis thaliana heat shock protein 17.6A) [Arabidopsis thaliana] (TAIR:AT5G12030.1); similar to small heat stress protein class CIII [Lycopersicon peruvianum] (GB:AAK84869.1); contains InterPro domain HSP20-like chaperone; (InterPro:IPR008978); contains InterPro domain Heat shock protein Hsp20; (InterPro:IPR002068)"	54.55	154	6e-28	119	97.24137931
"Solyc04g006970.2.1"	4.35654004725879	5.05134235843225	5.66538638847661e-06	0.00283495934879369	"Phosphoenolpyruvate carboxylase (AHRD V1 **** A6YM33_RICCO); contains Interpro domain(s)  IPR015813  Pyruvate/Phosphoenolpyruvate kinase, catalytic core "	"AT1G68750"	"ATPPC4"	"Encodes one of four Arabidopsis phosphoenolpyruvate carboxylase proteins."	75.71	1050	0	1570	99.80970504
"Solyc04g011540.2.1"	4.27723634202428	5.36159950264125	4.60441935447599e-06	0.00260242414465139	"Elicitor-responsive protein 1 (AHRD V1 **-- B6T411_MAIZE); contains Interpro domain(s)  IPR018029  C2 membrane targeting protein "	"AT3G55470"	NA	"C2 domain-containing protein; similar to C2 domain-containing protein [Arabidopsis thaliana] (TAIR:AT1G63220.1); similar to Os-FIERG2 gene product [Oryza sativa] (GB:AAC04628.1); contains InterPro domain C2; (InterPro:IPR000008); contains InterPro domain C2 calcium/lipid-binding region, CaLB; (InterPro:IPR008973)"	50.33	151	3e-41	164	93.75
"Solyc04g050440.2.1"	4.04600784384544	4.89588949244069	0.000127716973723139	0.0224501324847347	"Ammonium transporter (AHRD V1 **** B9IPE2_POPTR); contains Interpro domain(s)  IPR001905  Ammonium transporter "	"AT1G64780"	"AMT1;2"	"encodes an ammonium transporter gene"	81.5	481	0	664	92.23300971
"Solyc04g074380.2.1"	4.10237228653203	4.72233560993656	5.5983919133206e-05	0.0140071765671281	"UDP-glucuronosyltransferase (AHRD V1 **-* Q5UB81_ARATH); contains Interpro domain(s)  IPR002213  UDP-glucuronosyl/UDP-glucosyltransferase "	"AT1G22380"	"AtUGT85A3"	"transcription factor/ transferase, transferring glycosyl groups; similar to UDP-glucoronosyl/UDP-glucosyl transferase family protein [Arabidopsis thaliana] (TAIR:AT1G22360.1); similar to UDP-glucoronosyl/UDP-glucosyl transferase family protein [Arabidopsis thaliana] (TAIR:AT1G22340.1); similar to UGT85A1 (UDP-glucosyl transferase 85A1), UDP-glycosyltransferase/ transferase, transferring glycosyl groups / transferase, transferring hexosyl groups [Arabidopsis thaliana] (TAIR:AT1G22400.1); similar to glycosyltransferase NTGT5b [Nicotiana tabacum] (GB:BAD93690.1); similar to glycosyltransferase NTGT5a [Nicotiana tabacum] (GB:BAD93689.1); contains InterPro domain UDP-glucuronosyl/UDP-glucosyltransferase; (InterPro:IPR002213)"	61.78	484	5e-178	620	99.17184265
"Solyc04g074390.2.1"	4.39625571672543	4.11285205211419	9.4641846209662e-05	0.0189435119373259	"UDP-glucuronosyltransferase (AHRD V1 **-* Q5UB81_ARATH); contains Interpro domain(s)  IPR002213  UDP-glucuronosyl/UDP-glucosyltransferase "	"AT1G22360"	"AtUGT85A2"	"UDP-glucoronosyl/UDP-glucosyl transferase family protein; similar to UDP-glucoronosyl/UDP-glucosyl transferase family protein [Arabidopsis thaliana] (TAIR:AT1G22340.1); similar to transcription factor/ transferase, transferring glycosyl groups [Arabidopsis thaliana] (TAIR:AT1G22380.1); similar to UGT85A1 (UDP-glucosyl transferase 85A1), UDP-glycosyltransferase/ transferase, transferring glycosyl groups / transferase, transferring hexosyl groups [Arabidopsis thaliana] (TAIR:AT1G22400.1); similar to glycosyltransferase NTGT5b [Nicotiana tabacum] (GB:BAD93690.1); similar to glycosyltransferase NTGT5a [Nicotiana tabacum] (GB:BAD93689.1); contains InterPro domain UDP-glucuronosyl/UDP-glucosyltransferase; (InterPro:IPR002213)"	62.08	480	5e-175	610	98.3436853
"Solyc04g080940.2.1"	3.30567154886599	5.960421165895	0.000112676140187752	0.0210610200545001	"Nodulin-like protein (AHRD V1 ***- Q94AP3_ARATH); contains Interpro domain(s)  IPR000620  Protein of unknown function DUF6, transmembrane "	"AT1G75500"	"WAT1"	"nodulin MtN21 family protein; similar to nodulin MtN21 family protein [Arabidopsis thaliana] (TAIR:AT3G53210.1); similar to putative MtN21 [Oryza sativa (japonica cultivar-group)] (GB:BAD13218.1); contains InterPro domain Protein of unknown function DUF6, transmembrane; (InterPro:IPR000620)"	74.74	392	2e-140	495	99.22279793
"Solyc05g009990.2.1"	-4.55063113433099	7.75869696042609	3.81185990955811e-07	0.000440181853556049	"LRR receptor-like serine/threonine-protein kinase, RLP"	"AT1G68780"	NA	"leucine-rich repeat family protein; similar to leucine-rich repeat family protein [Arabidopsis thaliana] (TAIR:AT3G25670.1); similar to unnamed protein product; contains similarity to elicitor-inducible receptor EIR gene_id:T5M7.12 [Medicago truncatula] (GB:ABE90677.1); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090)"	56.93	404	7e-114	407	84.89361702
