"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005070.1.1"	-7.03556517019817	8.46846665492959	3.65004998285417e-10	1.0040392207553e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g005870.1.1"	-6.2272187115269	6.261859616469	1.7306256189702e-08	2.80342121099629e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g014800.1.1"	-6.57753660976992	8.12528871227325	2.88035264274676e-09	6.36252442100075e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g020010.1.1"	-10.2014304159467	10.8387627689932	6.81680611808548e-16	3.31274054651894e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g023600.1.1"	-3.68267644665206	5.94870504514295	0.000204568139456816	0.00965177639204179	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g023710.1.1"	-6.4166557278555	7.09536726044151	9.1538030691937e-09	1.66944130116849e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g069880.2.1"	-4.46951910733838	4.16730129902825	4.44479687362159e-05	0.00264994904533165	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g075440.1.1"	-8.33421151651554	8.73976338786881	5.34367813418643e-12	2.78233869708228e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g112190.2.1"	-7.64786821399461	8.28556955746356	3.69190478779645e-11	1.41642841845486e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g121730.1.1"	-8.50344977175315	11.0047858488574	4.89462986013134e-13	4.75725391539032e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g131710.1.1"	-8.29475167346935	11.6435937168848	8.8628267899142e-13	6.1529119890552e-10	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g142160.1.1"	-6.31330687735981	6.90579505129493	1.4265634268056e-08	2.36339411356804e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g195360.1.1"	-6.5750045870257	9.47681581396534	1.4550112719605e-09	3.4213886022439e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g206460.1.1"	-6.72790067997637	10.0207068039628	6.80187127369846e-10	1.77079430891518e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g281110.1.1"	-4.94680502351935	6.77139734017829	1.42265449842475e-06	0.000128938740218725	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g323130.2.1"	3.66951851737711	5.73161717940731	0.000691870695324537	0.02599686305963	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g005450.2.1"	-4.36681112230535	5.66075936977733	2.64084221750703e-05	0.00171091066872305	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g005850.1.1"	-6.2874539161925	7.78964458256407	9.16080006128534e-09	1.66944130116849e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g006330.2.1"	-3.16500952283439	6.1052983157783	0.00113540860689659	0.0395062579473638	"PAP fibrillin family protein (AHRD V1 *-*- B7KDB3_CYAP7); contains Interpro domain(s)  IPR006843  PAP fibrillin "	"AT1G51110"	NA	"plastid-lipid associated protein PAP / fibrillin family protein; similar to plastid-lipid associated protein PAP / fibrillin family protein [Arabidopsis thaliana] (TAIR:AT3G26070.1); similar to PAP fibrillin [Medicago truncatula] (GB:ABE81557.1); contains InterPro domain PAP fibrillin; (InterPro:IPR006843)"	65.93	361	2e-139	492	88.47117794
"Solyc01g007280.2.1"	-3.07961559888916	7.18126706698505	0.0010842696237649	0.0380905225177555	"30S ribosomal protein S4 chloroplastic (AHRD V1 ***- B5MF80_PETIN); contains Interpro domain(s)  IPR005709  Ribosomal protein S4, bacterial-type "	"ATCG00380"	"RPS4"	"Chloroplast encoded ribosomal protein S4"	88.06	201	9e-98	352	99.00990099
"Solyc01g007690.2.1"	-6.66620739217523	7.06605162821415	3.9153367550239e-09	8.15452779307048e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g008530.2.1"	-3.06918387425673	7.40952360537152	0.00114393514710008	0.0397081678799334	"Cinnamoyl CoA reductase-like protein (AHRD V1 ***- B9HNY0_POPTR); contains Interpro domain(s)  IPR016040  NAD(P)-binding domain "	"AT1G51410"	NA	"similar to Eucalyptus gunnii alcohol dehydrogenase of unknown physiological function (GI:1143445), apple tree, PIR:T16995; NOT a cinnamyl-alcohol dehydrogenase"	74.45	317	1e-144	509	96.04863222
"Solyc01g008660.2.1"	-5.43227333860331	6.7438271631508	2.55523251916968e-07	2.95656626166467e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g009550.1.1"	-3.8753474178551	6.11625338553608	9.53636794212586e-05	0.00514928548993529	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g010510.2.1"	-5.50707771800235	7.24653080961495	1.5987606867497e-07	1.99216513266017e-05	"Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7KPN1_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat "	"AT1G26900"	NA	"pentatricopeptide (PPR) repeat-containing protein; similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT2G22410.1); similar to Pancreatic ribonuclease; Tetratricopeptide-like helical [Medicago truncatula] (GB:ABE87347.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990)"	50.36	556	3e-159	558	92.29480737
"Solyc01g011410.1.1"	-4.5010610179544	8.30616140927778	5.82412170658063e-06	0.00046146668674043	"NADH-quinone oxidoreductase subunit D (AHRD V1 ***- NUOD_DEIGD); contains Interpro domain(s)  IPR001135  NADH-quinone oxidoreductase, subunit D "	"ATCG01110"	"NDHH"	"Encodes the 49KDa plastid NAD(P)H dehydrogenase subunit H protein.  Its transcription is regulated by an ndhF-specific plastid sigma factor, SIG4."	89.04	73	2e-35	143	97.2972973
"Solyc01g014290.1.1"	7.7099107945091	4.476988806411	0.000127779457821706	0.00655949547740371	NA	NA	NA	NA	NA	NA	NA	NA	NA
